Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                            - Link
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria - 7.10  - 2017 - 12 episode(s)      - 25 min. per ep.       - Action, Adventure, Fantasy                                                          - https://myanimelist.net/anime/32887
Dyogrammaton                                                                    - 5.36  - 2006 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/3793
EDEN                                                                            - 5.65  - 2011 - 1 episode(s)       - 4 min.                - Music                                                                               - https://myanimelist.net/anime/19137
Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?                       - 6.53  - 2007 - 1 episode(s)       - 1 hr. 27 min.         - Kids                                                                                - https://myanimelist.net/anime/6518
Elysium                                                                         - 5.48  - 2003 - 1 episode(s)       - 1 hr. 15 min.         - Action, Mecha, Sci-Fi                                                               - https://myanimelist.net/anime/2941
Escha Chron                                                                     - 6.72  - 2017 - 2 episode(s)       - 25 min. per ep.       - Sci-Fi, Music, Slice of Life                                                        - https://myanimelist.net/anime/34208
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa                             - 7.49  - 2013 - 1 episode(s)       - 12 min.               - Fantasy, Magic, Shounen                                                             - https://myanimelist.net/anime/17535
Fairy Tail OVA                                                                  - 7.75  - 2011 - 5 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                              - https://myanimelist.net/anime/9982
Fight Tension☆Depart                                                            - 6.33  - 2007 - 11 episode(s)      - 6 min. per ep.        - Comedy                                                                              - https://myanimelist.net/anime/36881
Flanders no Inu (Movie)                                                         - 8.01  - 1997 - 1 episode(s)       - 1 hr. 42 min.         - Drama, Historical                                                                   - https://myanimelist.net/anime/2623
Force Live                                                                      - 6.82  - 2017 - 1 episode(s)       - 4 min.                - Music                                                                               - https://myanimelist.net/anime/36685
Fuku-chan no Kishuu                                                             - 6.89  - 1942 - 1 episode(s)       - 11 min.               - Comedy, Historical                                                                  - https://myanimelist.net/anime/23969
Funi Funi Marshmallow                                                           - 5.17  - 2017 - Unknown episode(s) - 1 min.                - Kids                                                                                - https://myanimelist.net/anime/34931
Fushigi Mahou Fun Fun Pharmacy                                                  - 6.73  - 1998 - 48 episode(s)      - 11 min. per ep.       - Kids, Magic                                                                         - https://myanimelist.net/anime/8503
Futatsu no Kurumi                                                               - 6.54  - 2007 - 1 episode(s)       - 46 min.               - Drama                                                                               - https://myanimelist.net/anime/7775
Future GPX Cyber Formula                                                        - 7.49  - 1991 - 37 episode(s)      - 24 min. per ep.       - Adventure, Sci-Fi, Shounen, Sports                                                  - https://myanimelist.net/anime/1391
Gakkou no Kaidan Recaps                                                         - 6.19  - 2000 - 2 episode(s)       - 25 min. per ep.       - Horror, Mystery, Supernatural                                                       - https://myanimelist.net/anime/22055
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!                                     - 6.51  - 1994 - 35 episode(s)      - 5 min. per ep.        - Horror                                                                              - https://myanimelist.net/anime/6472
Ganbare! Kickers                                                                - 6.89  - 1986 - 23 episode(s)      - 23 min. per ep.       - Comedy, Sports, Drama, Shounen                                                      - https://myanimelist.net/anime/3053
Gararin to Gororin                                                              - 3.86  - 2006 - 1 episode(s)       - 5 min.                - Music, Kids                                                                         - https://myanimelist.net/anime/29503
Gegege no Kitarou: Youkai Daisensou                                             - 6.29  - 1986 - 1 episode(s)       - 40 min.               - Adventure, Fantasy, Comedy, Supernatural, Horror                                    - https://myanimelist.net/anime/8153
Getter Robo G                                                                   - 6.73  - 1975 - 39 episode(s)      - 24 min. per ep.       - Action, Mecha, Sci-Fi, Shounen                                                      - https://myanimelist.net/anime/4486
Ginga Tetsudou 999: Glass no Clair                                              - 6.69  - 1980 - 1 episode(s)       - 15 min.               - Drama, Sci-Fi, Space                                                                - https://myanimelist.net/anime/6653
Gintama: Shinyaku Benizakura-hen                                                - 8.33  - 2010 - 1 episode(s)       - 11 min.               - Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen                        - https://myanimelist.net/anime/9735
Guilstein                                                                       - 5.31  - 2002 - 1 episode(s)       - 1 hr. 30 min.         - Action, Horror, Sci-Fi                                                              - https://myanimelist.net/anime/11995
Gunslinger Stratos                                                              - 6.15  - 2014 - 1 episode(s)       - 9 min.                - Action, Sci-Fi                                                                      - https://myanimelist.net/anime/29975
Gyo                                                                             - 5.61  - 2012 - 1 episode(s)       - 1 hr. 10 min.         - Horror                                                                              - https://myanimelist.net/anime/10417
Hachimitsu to Clover                                                            - 8.14  - 2005 - 24 episode(s)      - 23 min. per ep.       - Comedy, Drama, Josei, Romance, Slice of Life                                        - https://myanimelist.net/anime/16
Hacka Doll                                                                      - 5.71  - 2014 - 2 episode(s)       - 1 min. per ep.        - Fantasy                                                                             - https://myanimelist.net/anime/25943
Haikyuu!! Movie 3: Sainou to Sense                                              - 8.01  - 2017 - 1 episode(s)       - 1 hr. 29 min.         - Comedy, Drama, School, Shounen, Sports                                              - https://myanimelist.net/anime/35110
Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special                       - 6.24  - 2011 - 1 episode(s)       - 5 min.                - Comedy, Sci-Fi                                                                      - https://myanimelist.net/anime/10477
