Title                                                                                         - Score - Year - Num Eps            - Duration             - Genre(s)                                                                              - Link
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou                                      - 7.21  - 1991 - 1 episode(s)       - 48 min.              - Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen                                   - https://myanimelist.net/anime/898
Dragon Fist                                                                                   - 4.84  - 1991 - 1 episode(s)       - 39 min.              - Drama, Martial Arts, Fantasy, Shoujo                                                  - https://myanimelist.net/anime/21179
Dragon Quest Retsuden: Roto no Monshou                                                        - 6.14  - 1996 - 1 episode(s)       - 45 min.              - Adventure, Fantasy, Magic, Shounen                                                    - https://myanimelist.net/anime/7491
Dragon Quest: Dai no Daibouken (1991)                                                         - 6.87  - 1991 - 1 episode(s)       - 50 min.              - Adventure, Demons, Magic, Fantasy, Shounen                                            - https://myanimelist.net/anime/7435
Evidence                                                                                      - 5.60  - 2011 - 1 episode(s)       - 4 min.               - Music                                                                                 - https://myanimelist.net/anime/11511
First Squad                                                                                   - 5.94  - 2005 - 1 episode(s)       - 3 min.               - Action, Music                                                                         - https://myanimelist.net/anime/4012
Fluximation                                                                                   - 6.63  - 2005 - 14 episode(s)      - 1 min. per ep.       - Music                                                                                 - https://myanimelist.net/anime/5016
Fuichin-san                                                                                   - 6.33  - 2004 - 1 episode(s)       - 1 hr.                - Drama, Historical, Kids, Shoujo                                                       - https://myanimelist.net/anime/23983
Full Metal Panic! Movie 3                                                                     - N/A   - 2018 - 1 episode(s)       - 2 hr.                - Action, Comedy, Mecha, Military, Sci-Fi                                               - https://myanimelist.net/anime/36344
Fuse: Teppou Musume no Torimonochou                                                           - 7.46  - 2012 - 1 episode(s)       - 1 hr. 50 min.        - Action, Drama, Historical, Supernatural                                               - https://myanimelist.net/anime/13335
Fushigi na Taiko                                                                              - 5.21  - 1957 - 1 episode(s)       - 18 min.              - Kids                                                                                  - https://myanimelist.net/anime/29919
Futa-bu!!                                                                                     - 7.28  - 2015 - 2 episode(s)       - 20 min. per ep.      - Hentai, School, Yuri                                                                  - https://myanimelist.net/anime/28779
Futari Daka                                                                                   - 6.12  - 1984 - 36 episode(s)      - 25 min. per ep.      - Cars, Sports, Shounen                                                                 - https://myanimelist.net/anime/3808
GS Mikami: Gokuraku Daisakusen!!                                                              - 6.72  - 1994 - 1 episode(s)       - 59 min.              - Comedy, Fantasy                                                                       - https://myanimelist.net/anime/3037
Gakuen Handsome Special                                                                       - 5.75  - 2016 - 1 episode(s)       - 3 min.               - Comedy, Parody, School, Shounen Ai                                                    - https://myanimelist.net/anime/33457
Gamba to Kawauso no Bouken                                                                    - 6.61  - 1991 - 1 episode(s)       - 1 hr. 15 min.        - Kids, Adventure                                                                       - https://myanimelist.net/anime/20175
Gambo                                                                                         - 6.70  - 2013 - 1 episode(s)       - 12 min.              - Demons, Historical                                                                    - https://myanimelist.net/anime/17679
