Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Classroom☆Crisis                                                                - 7.11  - 2015 - 13 episode(s)      - 24 min. per ep.       - School, Sci-Fi                                                                                           - https://myanimelist.net/anime/30383
Claymore                                                                        - 7.87  - 2007 - 26 episode(s)      - 23 min. per ep.       - Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen                                   - https://myanimelist.net/anime/1818
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara                        - 7.43  - 2015 - 1 episode(s)       - 59 min.               - Action, Mecha, Military                                                                                  - https://myanimelist.net/anime/15201
Code-E                                                                          - 6.49  - 2007 - 12 episode(s)      - 24 min. per ep.       - Comedy, Romance, School, Sci-Fi, Slice of Life                                                           - https://myanimelist.net/anime/2564
Color Noise                                                                     - 4.64  - 2010 - 1 episode(s)       - 30 sec.               - Dementia                                                                                                 - https://myanimelist.net/anime/33312
Colosseum no Senki: Another Story                                               - 5.91  - 2015 - 2 episode(s)       - 20 min. per ep.       - Hentai, Fantasy                                                                                          - https://myanimelist.net/anime/31403
Comet Lucifer                                                                   - 5.95  - 2015 - 12 episode(s)      - 23 min. per ep.       - Action, Adventure, Fantasy, Mecha                                                                        - https://myanimelist.net/anime/31318
Comic Party Revolution                                                          - 6.63  - 2005 - 13 episode(s)      - 24 min. per ep.       - Comedy, Drama                                                                                            - https://myanimelist.net/anime/706
Concrete Revolutio: Choujin Gensou                                              - 6.81  - 2015 - 13 episode(s)      - 24 min. per ep.       - Action, Demons, Drama, Fantasy, Mystery, Sci-Fi, Super Power, Supernatural                               - https://myanimelist.net/anime/31147
Coyote Ragtime Show                                                             - 6.71  - 2006 - 12 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Mecha, Sci-Fi, Shounen                                                        - https://myanimelist.net/anime/1194
Cuticle Tantei Inaba                                                            - 7.41  - 2013 - 12 episode(s)      - 23 min. per ep.       - Action, Mystery, Comedy, Supernatural, Shounen                                                           - https://myanimelist.net/anime/15109
Cynical Hysterie Hour: Henshin!                                                 - 5.10  - 1989 - 1 episode(s)       - 8 min.                - Comedy                                                                                                   - https://myanimelist.net/anime/6760
Daisuki! Nendomama                                                              - 5.83  - 1994 - 9 episode(s)       - 5 min. per ep.        - Kids, Slice of Life, Fantasy                                                                             - https://myanimelist.net/anime/29469
Dame Oyaji                                                                      - 6.32  - 1974 - 26 episode(s)      - 25 min. per ep.       - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/10887
Dance with Devils: Fortuna                                                      - 6.93  - 2017 - 1 episode(s)       - 2 hr.                 - Harem, Demons, Supernatural, Romance, Vampire, Shoujo                                                    - https://myanimelist.net/anime/34830
Dansai Bunri no Crime Edge                                                      - 6.82  - 2013 - 13 episode(s)      - 24 min. per ep.       - Action, Romance, Fantasy, Seinen                                                                         - https://myanimelist.net/anime/16355
Dash! Kappei                                                                    - 7.30  - 1981 - 65 episode(s)      - 25 min. per ep.       - Comedy, Sports, Ecchi, Shounen                                                                           - https://myanimelist.net/anime/2748
Death Note                                                                      - 8.67  - 2006 - 37 episode(s)      - 23 min. per ep.       - Mystery, Police, Psychological, Supernatural, Thriller, Shounen                                          - https://myanimelist.net/anime/1535
Denpa Kyoushi (TV)                                                              - 6.98  - 2015 - 24 episode(s)      - 23 min. per ep.       - Comedy, Romance, School, Shounen                                                                         - https://myanimelist.net/anime/29589
Denpa-teki na Kanojo                                                            - 7.70  - 2009 - 2 episode(s)       - 42 min. per ep.       - Mystery, Thriller, School                                                                                - https://myanimelist.net/anime/5177
Digimon Adventure: Bokura no War Game!                                          - 7.81  - 2000 - 1 episode(s)       - 40 min.               - Sci-Fi, Adventure, Comedy, Kids                                                                          - https://myanimelist.net/anime/2397
Dokidoki♡Densetsu: Mahoujin Guruguru                                            - 7.38  - 2000 - 38 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Magic, Fantasy, Shounen                                                               - https://myanimelist.net/anime/332
Dolphin Ouji                                                                    - 5.48  - 1965 - 3 episode(s)       - 23 min. per ep.       - Action, Adventure, Kids, Sci-Fi                                                                          - https://myanimelist.net/anime/8879
Donten ni Warau                                                                 - 7.60  - 2014 - 12 episode(s)      - 23 min. per ep.       - Action, Historical, Shoujo, Supernatural                                                                 - https://myanimelist.net/anime/21743
Doraemon (1979)                                                                 - 7.73  - 1979 - 1787 episode(s)    - 11 min. per ep.       - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                        - https://myanimelist.net/anime/2471
Doraemon Movie 16: Nobita no Sousei Nikki                                       - 7.18  - 1995 - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                        - https://myanimelist.net/anime/2674
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu                                 - 7.52  - 2000 - 1 episode(s)       - 1 hr. 31 min.         - Adventure, Comedy, Fantasy, Historical, Kids, Shounen                                                    - https://myanimelist.net/anime/7045
Doraemon Movie 26: Nobita no Kyouryuu 2006                                      - 7.54  - 2006 - 1 episode(s)       - 1 hr. 47 min.         - Adventure, Comedy, Kids                                                                                  - https://myanimelist.net/anime/2392
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken                      - 7.44  - 2017 - 1 episode(s)       - 1 hr. 41 min.         - Adventure, Comedy, Kids, Fantasy, Shounen                                                                - https://myanimelist.net/anime/33672
Doraemon: 2112-nen Doraemon Tanjou                                              - 7.36  - 1995 - 1 episode(s)       - 30 min.               - Kids, Fantasy, Comedy                                                                                    - https://myanimelist.net/anime/2648
Doraemon: It's Autumn!                                                          - 6.46  - 1986 - 1 episode(s)       - 23 min.               - Kids, Adventure, Fantasy, Comedy, Shounen                                                                - https://myanimelist.net/anime/2637
Doraemon: It's Summer!                                                          - 6.54  - 1986 - 1 episode(s)       - 23 min.               - Kids, Adventure, Fantasy, Comedy, Shounen                                                                - https://myanimelist.net/anime/2640
Doraemon: It's Winter!                                                          - 6.67  - 1986 - 1 episode(s)       - 23 min.               - Kids, Adventure, Fantasy, Comedy, Shounen                                                                - https://myanimelist.net/anime/2641
Doraemon: Obaachan no Omoide                                                    - 7.46  - 2000 - 1 episode(s)       - 27 min.               - Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                   - https://myanimelist.net/anime/2649
Dororon Enma-kun                                                                - 6.30  - 1973 - 25 episode(s)      - 24 min. per ep.       - Comedy, Demons, Fantasy, Horror, Shounen, Supernatural                                                   - https://myanimelist.net/anime/1337
Doubutsu Olympic Taikai                                                         - 5.49  - 1928 - 1 episode(s)       - 13 min.               - Comedy, Sports                                                                                           - https://myanimelist.net/anime/7498
Doujin Work                                                                     - 6.86  - 2007 - 12 episode(s)      - 13 min. per ep.       - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/2166
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta                    - 7.69  - 1995 - 1 episode(s)       - 55 min.               - Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen                                                      - https://myanimelist.net/anime/905
Dragon Drive                                                                    - 6.83  - 2002 - 38 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen                                              - https://myanimelist.net/anime/296
Dragonaut: The Resonance                                                        - 6.76  - 2007 - 25 episode(s)      - 25 min. per ep.       - Action, Drama, Fantasy, Mecha, Romance, Sci-Fi                                                           - https://myanimelist.net/anime/2795
Druaga no Tou: The Aegis of Uruk - Jil no Bouken                                - 7.22  - 2008 - 1 episode(s)       - 24 min.               - Adventure, Fantasy                                                                                       - https://myanimelist.net/anime/4798
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka                        - 7.83  - 2015 - 13 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Romance, Fantasy                                                              - https://myanimelist.net/anime/28121
Durarara!!x2 Ten                                                                - 8.10  - 2015 - 12 episode(s)      - 24 min. per ep.       - Action, Mystery, Supernatural                                                                            - https://myanimelist.net/anime/27831
Element Hunters                                                                 - 6.68  - 2009 - 39 episode(s)      - 24 min. per ep.       - Sci-Fi, Shounen                                                                                          - https://myanimelist.net/anime/5945
