Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                               - Link
Dorei Maid Princess                                                                                  - 6.64  - 2007 - 4 episode(s)       - 30 min. per ep.       - Fantasy, Hentai                                                        - https://myanimelist.net/anime/3999
Dotto Koni-chan                                                                                      - 7.43  - 2000 - 26 episode(s)      - 25 min. per ep.       - Comedy                                                                 - https://myanimelist.net/anime/1684
Dr. Slump                                                                                            - 7.07  - 1997 - 74 episode(s)      - 25 min. per ep.       - Slice of Life, Comedy, Sci-Fi, Shounen                                 - https://myanimelist.net/anime/3312
Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu                                          - 6.69  - 1997 - 1 episode(s)       - 44 min.               - Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen - https://myanimelist.net/anime/987
Dragon Ball                                                                                          - 8.15  - 1986 - 153 episode(s)     - 24 min. per ep.       - Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power         - https://myanimelist.net/anime/223
Dragon Half                                                                                          - 7.00  - 1993 - 2 episode(s)       - 27 min. per ep.       - Comedy, Fantasy, Parody                                                - https://myanimelist.net/anime/870
Dropout                                                                                              - 7.22  - 2016 - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/31886
Earthian                                                                                             - 6.23  - 1989 - 4 episode(s)       - 45 min. per ep.       - Drama, Shoujo, Shounen Ai                                              - https://myanimelist.net/anime/1324
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA                                                       - 6.45  - 2013 - 1 episode(s)       - 26 min.               - Comedy, Ecchi, Parody, School, Shounen                                 - https://myanimelist.net/anime/14889
El Hazard: The Magnificent World                                                                     - 7.41  - 1995 - 7 episode(s)       - 34 min. per ep.       - Adventure, Comedy, Fantasy, Romance                                    - https://myanimelist.net/anime/117
Enkou Shoujo: Rikujoubu Yukki no Baai The Animation                                                  - 6.65  - 2016 - 1 episode(s)       - 29 min.               - Hentai                                                                 - https://myanimelist.net/anime/33393
Eroge! H mo Game mo Kaihatsu Zanmai                                                                  - 7.70  - 2011 - 6 episode(s)       - 30 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/10779
Explorer Woman Ray                                                                                   - 5.40  - 1989 - 2 episode(s)       - 30 min. per ep.       - Action, Adventure                                                      - https://myanimelist.net/anime/4252
Eyedrops                                                                                             - 5.23  - 2016 - 4 episode(s)       - 5 min. per ep.        - Space                                                                  - https://myanimelist.net/anime/34140
FLCL                                                                                                 - 8.06  - 2000 - 6 episode(s)       - 25 min. per ep.       - Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha         - https://myanimelist.net/anime/227
Fantasia                                                                                             - 5.54  - 1993 - 1 episode(s)       - 25 min.               - Fantasy, Magic, Comedy, Romance, Drama                                 - https://myanimelist.net/anime/3597
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai                                                - 8.05  - 2017 - 1 episode(s)       - 1 hr. 29 min.         - Action, Comedy, Fantasy, Magic                                         - https://myanimelist.net/anime/34100
Fire Emblem                                                                                          - 5.83  - 1996 - 2 episode(s)       - 27 min. per ep.       - Action, Adventure, Fantasy, Magic, Shounen                             - https://myanimelist.net/anime/2782
Forsaken                                                                                             - 5.87  - 2008 - 1 episode(s)       - 5 min.                - Music, Vampire                                                         - https://myanimelist.net/anime/11795
