Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                          - Link
Chikyuu Bouei Kigyou Dai-Guard                                                                       - 7.21  - 1999 - 26 episode(s)      - 25 min. per ep.      - Adventure, Comedy, Mecha, Military, Sci-Fi                                        - https://myanimelist.net/anime/1312
Choco to Watashi                                                                                     - 4.74  - 2014 - 1 episode(s)       - 3 min.               - Kids, Music                                                                       - https://myanimelist.net/anime/33526
Chou Dendou Robo Tetsujin 28-gou FX                                                                  - 6.44  - 1992 - 47 episode(s)      - 24 min. per ep.      - Action, Adventure, Mecha, Sci-Fi                                                  - https://myanimelist.net/anime/10319
Chou Hatsumei Boy Kanipan                                                                            - 6.91  - 1999 - 21 episode(s)      - 30 min. per ep.      - Adventure, Comedy, Mecha, Romance                                                 - https://myanimelist.net/anime/3690
Chou Kuse ni Narisou                                                                                 - 6.51  - 1994 - 39 episode(s)      - 25 min. per ep.      - Slice of Life, Comedy, Romance, School, Shoujo                                    - https://myanimelist.net/anime/2771
Choujikuu Romanesque Samy: Missing 99                                                                - 4.71  - 1986 - 1 episode(s)       - 59 min.              - Action, Sci-Fi                                                                    - https://myanimelist.net/anime/7192
Choujikuu Seiki Orguss 02                                                                            - 6.88  - 1993 - 6 episode(s)       - 30 min. per ep.      - Action, Sci-Fi, Adventure, Romance, Mecha                                         - https://myanimelist.net/anime/2090
Choujuu Kishin Dancougar                                                                             - 6.75  - 1985 - 38 episode(s)      - 25 min. per ep.      - Action, Mecha, Sci-Fi, Shounen                                                    - https://myanimelist.net/anime/2255
City Hunter: The Secret Service                                                                      - 7.51  - 1996 - 1 episode(s)       - 1 hr. 30 min.        - Action, Comedy, Mystery, Shounen                                                  - https://myanimelist.net/anime/1477
Clannad                                                                                              - 8.22  - 2007 - 23 episode(s)      - 24 min. per ep.      - Slice of Life, Comedy, Romance, Supernatural, School, Drama                       - https://myanimelist.net/anime/2167
Cluster Edge                                                                                         - 6.45  - 2005 - 25 episode(s)      - 24 min. per ep.      - Action, Fantasy, Military, Sci-Fi                                                 - https://myanimelist.net/anime/69
Cocolors                                                                                             - 7.44  - 2017 - 1 episode(s)       - 45 min.              - Sci-Fi                                                                            - https://myanimelist.net/anime/34167
Compiler: Music Clips in Trackdown                                                                   - N/A   - 1992 - 6 episode(s)       - 4 min. per ep.       - Music, Sci-Fi                                                                     - https://myanimelist.net/anime/34482
Compiler                                                                                             - 5.40  - 1994 - 2 episode(s)       - 30 min. per ep.      - Romance, Comedy, Sci-Fi, Drama                                                    - https://myanimelist.net/anime/3026
Cross Ange: Tenshi to Ryuu no Rondo                                                                  - 7.48  - 2014 - 25 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Mecha                                                             - https://myanimelist.net/anime/25731
Cross Game                                                                                           - 8.50  - 2009 - 50 episode(s)      - 23 min. per ep.      - Comedy, Drama, Romance, School, Sports                                            - https://myanimelist.net/anime/5941
Crusher Joe OVA                                                                                      - 6.66  - 1989 - 2 episode(s)       - 57 min. per ep.      - Action, Sci-Fi, Adventure                                                         - https://myanimelist.net/anime/2696
Cyborg 009 (TV)                                                                                      - 7.08  - 1968 - 26 episode(s)      - 24 min. per ep.      - Action, Adventure, Mecha, Sci-Fi, Shounen                                         - https://myanimelist.net/anime/8394
Cyborg 009: The Reopening                                                                            - 5.69  - 2010 - 1 episode(s)       - 4 min.               - Action, Adventure, Mecha, Sci-Fi, Shounen                                         - https://myanimelist.net/anime/9629
D-Spray                                                                                              - 6.47  - 2013 - 1 episode(s)       - 26 min.              - Hentai                                                                            - https://myanimelist.net/anime/17543
D.C.: Da Capo                                                                                        - 6.88  - 2003 - 26 episode(s)      - 24 min. per ep.      - Harem, Drama, Magic, Romance                                                      - https://myanimelist.net/anime/62
D.C.S.S: Da Capo Second Season Omake                                                                 - 6.76  - 2005 - 7 episode(s)       - 7 min. per ep.       - Comedy, Harem, Romance                                                            - https://myanimelist.net/anime/4508
D.Gray-man Hallow                                                                                    - 7.92  - 2016 - 13 episode(s)      - 24 min. per ep.      - Action, Adventure, Super Power, Demons, Shounen                                   - https://myanimelist.net/anime/32370
Dainiji Ura Nyuugakushiken The Animation                                                             - 6.02  - 2017 - Unknown episode(s) - 23 min.              - Hentai                                                                            - https://myanimelist.net/anime/35238
