Title                                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Bakuretsu Hunters OVA                                                                              - 6.66  - 1996 - 3 episode(s)       - 28 min. per ep.       - Action, Adventure, Harem, Comedy, Super Power, Magic, Romance, Ecchi, Fantasy, Shounen                                                                         - https://myanimelist.net/anime/808
BanG Dream!                                                                                        - 6.84  - 2017 - 13 episode(s)      - 24 min. per ep.       - Music                                                                                                                                                          - https://myanimelist.net/anime/33573
Bannou Bunka Neko-Musume                                                                           - 6.76  - 1992 - 6 episode(s)       - 28 min. per ep.       - Sci-Fi, Adventure, Comedy, Mecha, Seinen                                                                                                                       - https://myanimelist.net/anime/373
Ben-To Picture Drama                                                                               - 6.15  - 2011 - 6 episode(s)       - 9 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/12447
Bible Black                                                                                        - 6.84  - 2001 - 6 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/368
Birth                                                                                              - 6.04  - 1984 - 1 episode(s)       - 1 hr. 19 min.         - Action, Sci-Fi, Adventure, Comedy                                                                                                                              - https://myanimelist.net/anime/2607
Black Jack                                                                                         - 7.84  - 1993 - 12 episode(s)      - 50 min. per ep.       - Drama                                                                                                                                                          - https://myanimelist.net/anime/1520
Bleach Colorful!: Gotei Juusan Yatai Daisakusen!                                                   - 6.62  - 2008 - 1 episode(s)       - 12 min.               - Comedy, Shounen                                                                                                                                                - https://myanimelist.net/anime/35118
Bloody Night                                                                                       - 3.99  - 2006 - 1 episode(s)       - 5 min.                - Horror, Psychological, Supernatural, Thriller                                                                                                                  - https://myanimelist.net/anime/11869
Blue Seed 1.5                                                                                      - 6.69  - 1996 - 2 episode(s)       - 30 min. per ep.       - Comedy, Romance, Sci-Fi                                                                                                                                        - https://myanimelist.net/anime/3952
Blue Seed Omake                                                                                    - 7.05  - 1995 - 14 episode(s)      - 5 min. per ep.        - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/3620
Boku wa Konomama Kaeranai                                                                          - 5.59  - 1994 - 1 episode(s)       - 30 min.               - Drama, Romance, Shounen Ai                                                                                                                                     - https://myanimelist.net/anime/1216
Boku wa Ou-sama                                                                                    - 5.42  - 1996 - 4 episode(s)       - 10 min. per ep.       - Kids                                                                                                                                                           - https://myanimelist.net/anime/24791
Boku wa Robot-goshi no Kimi ni Koi wo Suru                                                         - 6.47  - 2017 - 1 episode(s)       - 1 min.                - Sci-Fi, Romance                                                                                                                                                - https://myanimelist.net/anime/36542
Boku wa Shitteru yo.                                                                               - 4.28  - 2017 - 1 episode(s)       - 3 min.                - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/36580
Bokura no Saibanin Monogatari                                                                      - 5.54  - 2009 - 1 episode(s)       - 22 min.               - School                                                                                                                                                         - https://myanimelist.net/anime/6568
