Title                                                                                       - Score - Year - Num Eps      - Duration           - Genre(s)                                                                              - Link

** Kouhai                                                                                   - 7.26  - 2020 - 8 episodes   - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                     - https://myanimelist.net/anime/40658
Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!                                   - 6.50  - 1993 - 1 episode    - 5 min              - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Slice of Life, Super Power - https://myanimelist.net/anime/22699
Dudadakung 2nd Season                                                                       - None  - 2015 - 26 episodes  - 10 min per ep      - Anthropomorphic, Fantasy, Kids                                                        - https://myanimelist.net/anime/48170
Dungeon Meshi PV                                                                            - 5.90  - 2017 - 2 episodes   - 58 sec per ep      - Fantasy, Gourmet                                                                      - https://myanimelist.net/anime/36577
Ekimemo!                                                                                    - None  - 2018 - 3 episodes   - 3 min per ep       - Video Game                                                                            - https://myanimelist.net/anime/36973
Elf no Futagohime: Willan to Arsura                                                         - 6.00  - 2009 - 1 episode    - 27 min             - Hentai                                                                                - https://myanimelist.net/anime/6691
Endless Vide                                                                                - 5.98  - 2021 - 1 episode    - 2 min              - Idols (Male), Mecha, Music                                                            - https://myanimelist.net/anime/49122
Ero Semi: Ecchi ni Yaruki ni ABC - The Animation                                            - 6.59  - 2017 - 1 episode    - 26 min             - Hentai                                                                                - https://myanimelist.net/anime/34639
Error                                                                                       - 5.96  - 2019 - 1 episode    - 3 min              - Idols (Female), Music, Sci-Fi                                                         - https://myanimelist.net/anime/51572
Euphoria (Music)                                                                            - None  - 2021 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/55025
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan                                                   - 7.26  - 2021 - 4 episodes   - 18 min per ep      - Action, Adventure, Fantasy, Historical, Martial Arts                                  - https://myanimelist.net/anime/45558
Fantastic World                                                                             - None  - 2016 - 2 episodes   - 1 min per ep       - Adventure, Fantasy, Music                                                             - https://myanimelist.net/anime/40844
Fatal Fury 2: The New Battle                                                                - 6.69  - 1993 - 1 episode    - 1 hr 11 min        - Action, Adventure, Drama, Martial Arts                                                - https://myanimelist.net/anime/1800
Fate/Grand Carnival                                                                         - 7.79  - 2020 - 4 episodes   - 15 min per ep      - Comedy, Fantasy, Supernatural                                                         - https://myanimelist.net/anime/44248
Fate/Grand Order: First Order                                                               - 6.73  - 2016 - 1 episode    - 1 hr 14 min        - Action, Fantasy, Supernatural, Time Travel                                            - https://myanimelist.net/anime/34321
