Title                                                                                                    - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                 - Link

#Compass                                                                                                 - None  - 2018 - 10 episodes  - 4 min per ep       - Strategy Game                                                                            - https://myanimelist.net/anime/38603
Chou Robot Seimeitai Transformers Micron Densetsu                                                        - 6.81  - 2003 - 52 episodes  - 24 min per ep      - Action, Mecha, Sci-Fi                                                                    - https://myanimelist.net/anime/1675
Choujigen Kakumei Anime: Dimension High School                                                           - 5.12  - 2019 - 11 episodes  - 10 min per ep      - Fantasy, School                                                                          - https://myanimelist.net/anime/38449
Choujin Densetsu Urotsukidouji: Inferno Road Jain Kanzenban                                              - None  - 1995 - 1 episode    - 1 hr 46 min        - Action, Hentai, Horror, Supernatural                                                     - https://myanimelist.net/anime/55309
Choukadou Girl ⅙: Nona Omoide Kiroku                                                                     - None  - 2019 - 12 episodes  - 35 sec per ep      - Comedy                                                                                   - https://myanimelist.net/anime/40008
Chuan Shu Zijiu Zhinan                                                                                   - 7.75  - 2020 - 10 episodes  - 19 min per ep      - Comedy, Drama, Fantasy, Historical, Isekai, Mythology                                    - https://myanimelist.net/anime/38990
Cine Mileage Card x Asa da yo! Kaishain                                                                  - None  - 2017 - 1 episode    - 15 sec             - Comedy, Music                                                                            - https://myanimelist.net/anime/34911
Circles                                                                                                  - 5.22  - 2012 - 1 episode    - 4 min              - Music                                                                                    - https://myanimelist.net/anime/32762
Code Geass: Hangyaku no Lelouch II - Handou                                                              - 7.65  - 2018 - 1 episode    - 2 hr 12 min        - Action, Mecha, Military, School, Sci-Fi, Super Power                                     - https://myanimelist.net/anime/34439
Code Geass: Soubou no Oz Picture Drama                                                                   - 6.23  - 2013 - 5 episodes   - 3 min per ep       - Action, Drama, Mecha, Military, School, Supernatural                                     - https://myanimelist.net/anime/17277
Color Cycling                                                                                            - 5.20  - 2019 - 1 episode    - 2 min              - Avant Garde                                                                              - https://myanimelist.net/anime/39000
Conception                                                                                               - 4.60  - 2018 - 12 episodes  - 23 min per ep      - Action, Comedy, Fantasy, Harem, Isekai, Parody, Romance                                  - https://myanimelist.net/anime/37823
