Title                                                              - Score - Year - Num Eps            - Duration             - Genre(s)                                                                 - Link
Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!   - 6.67  - 2006 - 1 episode(s)       - 20 min.              - Action, Adventure, Comedy, Fantasy, Shounen                              - https://myanimelist.net/anime/2606
Document Taiyou no Kiba Dagram                                     - 6.16  - 1983 - 1 episode(s)       - 1 hr. 20 min.        - Drama, Mecha, Military, Sci-Fi, Shounen                                  - https://myanimelist.net/anime/9972
Donburi Kazoku                                                     - 5.97  - 2006 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/3422
Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma                  - N/A   - 2018 - 1 episode(s)       - Unknown              - Action, Historical, Shoujo, Supernatural                                 - https://myanimelist.net/anime/35424
Doraemon Movie 12: Nobita no Dorabian Nights                       - 7.29  - 1991 - 1 episode(s)       - 1 hr. 40 min.        - Adventure, Comedy, Fantasy, Kids, Shounen                                - https://myanimelist.net/anime/2670
Doraemon Movie 23: Nobita to Robot Kingdom                         - 7.30  - 2002 - 1 episode(s)       - 1 hr. 21 min.        - Adventure, Comedy, Fantasy, Kids, Shounen                                - https://myanimelist.net/anime/2655
Doraemon Movie 33: Nobita no Himitsu Dougu Museum                  - 7.44  - 2013 - 1 episode(s)       - 1 hr. 44 min.        - Adventure, Comedy, Fantasy, Kids, Shounen                                - https://myanimelist.net/anime/15925
Doraemon: The Day When I Was Born                                  - 7.14  - 2002 - 1 episode(s)       - 28 min.              - Kids, Fantasy, Comedy, Sci-Fi, Shounen                                   - https://myanimelist.net/anime/2652
Dorami-chan: Wow, The Kid Gang of Bandits                          - 5.58  - 1991 - 1 episode(s)       - 40 min.              - Fantasy                                                                  - https://myanimelist.net/anime/2636
Dr. Slump Movie 09: Arale-chan N-cha!! Wakuwaku Hot no Natsuyasumi - 6.37  - 1994 - 1 episode(s)       - 20 min.              - Comedy, Sci-Fi, Shounen                                                  - https://myanimelist.net/anime/7158
Dragon Ball Movie 3: Makafushigi Daibouken                         - 7.05  - 1988 - 1 episode(s)       - 45 min.              - Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power         - https://myanimelist.net/anime/892
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da   - 6.20  - 1994 - 1 episode(s)       - 50 min.              - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power   - https://myanimelist.net/anime/904
Druaga no Tou: The Sword of Uruk                                   - 7.34  - 2009 - 12 episode(s)      - 24 min. per ep.      - Adventure, Fantasy                                                       - https://myanimelist.net/anime/4726
E no Umakatta Tomodachi                                            - 5.51  - 2014 - 1 episode(s)       - 4 min.               - Music                                                                    - https://myanimelist.net/anime/24197
Eat-Man                                                            - 6.62  - 1997 - 12 episode(s)      - 24 min. per ep.      - Action, Adventure, Sci-Fi, Shounen, Super Power                          - https://myanimelist.net/anime/1704
Enkou JK Bitch Gal: Ojisan to Namapako Seikatsu                    - 7.07  - 2018 - Unknown episode(s) - Unknown              - Hentai                                                                   - https://myanimelist.net/anime/37088
Entaku no Kishi Monogatari: Moero Arthur                           - 6.60  - 1979 - 30 episode(s)      - 24 min. per ep.      - Adventure, Romance, Historical, Drama                                    - https://myanimelist.net/anime/4199
Eromanga-sensei                                                    - 6.91  - 2017 - 12 episode(s)      - 23 min. per ep.      - Comedy, Drama, Romance, Ecchi                                            - https://myanimelist.net/anime/32901
Etotama                                                            - 6.98  - 2015 - 12 episode(s)      - 24 min. per ep.      - Action, Comedy, Fantasy                                                  - https://myanimelist.net/anime/28221
F                                                                  - 6.96  - 1988 - 31 episode(s)      - 25 min. per ep.      - Cars, Sports, Shounen                                                    - https://myanimelist.net/anime/6055
Fortune Arterial: Akai Yakusoku                                    - 6.84  - 2010 - 12 episode(s)      - 24 min. per ep.      - Comedy, Romance, School, Supernatural, Vampire                           - https://myanimelist.net/anime/8536
Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi                - 6.32  - 1993 - 4 episode(s)       - 25 min. per ep.      - Adventure, Comedy, Fantasy, Magic                                        - https://myanimelist.net/anime/6557
Fr/day Night                                                       - 5.23  - 2015 - 1 episode(s)       - 4 min.               - Comedy, Music                                                            - https://myanimelist.net/anime/32854
Fuku-chan no Sensuikan                                             - 5.22  - 1944 - 1 episode(s)       - 30 min.              - Comedy, Military, Historical                                             - https://myanimelist.net/anime/7523
Funny Pets 2nd Season                                              - 3.76  - 2006 - 12 episode(s)      - 6 min. per ep.       - Comedy                                                                   - https://myanimelist.net/anime/22345
Fussa Shi PR Anime                                                 - 4.73  - 2017 - Unknown episode(s) - 4 min.               - Slice of Life                                                            - https://myanimelist.net/anime/34746
Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!     - 6.92  - 2006 - 1 episode(s)       - 51 min.              - Magic, Fantasy, Kids, Shoujo                                             - https://myanimelist.net/anime/4124
Gabriel DropOut                                                    - 7.57  - 2017 - 12 episode(s)      - 23 min. per ep.      - Comedy, Demons, Supernatural, School, Shounen                            - https://myanimelist.net/anime/33731
Gakkougurashi!                                                     - 7.69  - 2015 - 12 episode(s)      - 24 min. per ep.      - Slice of Life, Mystery, Horror, Psychological, School, Seinen            - https://myanimelist.net/anime/24765
Galo Sengen                                                        - 6.27  - 2011 - 1 episode(s)       - 3 min.               - Music, Comedy                                                            - https://myanimelist.net/anime/20929
Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season              - 7.91  - 2016 - 12 episode(s)      - 23 min. per ep.      - Action, Military, Adventure, Fantasy                                     - https://myanimelist.net/anime/31637
Gensei Shugoshin P-hyoro Ikka                                      - 5.57  - 1988 - 1 episode(s)       - 30 min.              - Adventure, Fantasy                                                       - https://myanimelist.net/anime/2691
Ginban Kaleidoscope                                                - 7.44  - 2005 - 12 episode(s)      - 24 min. per ep.      - Sports, Supernatural, Drama, Romance                                     - https://myanimelist.net/anime/476
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari     - 8.17  - 1998 - 24 episode(s)      - 26 min. per ep.      - Action, Military, Sci-Fi, Space                                          - https://myanimelist.net/anime/3371
Ginga Tetsudou 999: Diamond Ring no Kanata e                       - 6.69  - 2009 - 1 episode(s)       - 16 min.              - Adventure, Drama, Sci-Fi                                                 - https://myanimelist.net/anime/7285
Gintama.                                                           - 9.03  - 2017 - 12 episode(s)      - 24 min. per ep.      - Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen             - https://myanimelist.net/anime/34096
Girls und Panzer                                                   - 7.65  - 2012 - 12 episode(s)      - 24 min. per ep.      - Action, Military, Sports, School                                         - https://myanimelist.net/anime/14131
Glass no Hana to Kowasu Sekai                                      - 6.86  - 2016 - 1 episode(s)       - 1 hr. 7 min.         - Sci-Fi                                                                   - https://myanimelist.net/anime/25907
Glass no Kamen                                                     - 7.46  - 1984 - 23 episode(s)      - 24 min. per ep.      - Drama, Romance, Shoujo                                                   - https://myanimelist.net/anime/506
Golden Kamuy                                                       - N/A   - 2018 - Unknown episode(s) - Unknown              - Action, Adventure, Historical, Seinen                                    - https://myanimelist.net/anime/36028
Grappler Baki (TV)                                                 - 7.42  - 2001 - 24 episode(s)      - 25 min. per ep.      - Action, Sports, Martial Arts, Shounen                                    - https://myanimelist.net/anime/287
Green Saver                                                        - 5.80  - 2009 - 26 episode(s)      - 30 min. per ep.      - Adventure, Kids                                                          - https://myanimelist.net/anime/19457
Gun-dou Musashi                                                    - 6.09  - 2006 - 26 episode(s)      - 24 min. per ep.      - Adventure, Samurai, Fantasy                                              - https://myanimelist.net/anime/1200
Gunslinger Girl                                                    - 7.52  - 2003 - 13 episode(s)      - 24 min. per ep.      - Action, Psychological, Military, Drama, Sci-Fi                           - https://myanimelist.net/anime/134
