Title                                                                                               - Score - Year - Num Eps       - Duration           - Genre(s)                                                                        - Link

"Bungaku Shoujo" Movie                                                                              - 7.34  - 2010 - 1 episode     - 1 hr 40 min        - Drama, Mystery, Romance, School                                                 - https://myanimelist.net/anime/6408
Beniimo Musume                                                                                      - None  - 2005 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/42682
Berserk: Ougon Jidai-hen III - Kourin                                                               - 8.20  - 2013 - 1 episode     - 1 hr 50 min        - Action, Adventure, Drama, Fantasy, Gore, Horror, Military, Seinen               - https://myanimelist.net/anime/12115
Berserk                                                                                             - 6.31  - 2016 - 12 episodes   - 24 min per ep      - Action, Adventure, Drama, Fantasy, Gore, Horror, Military, Seinen               - https://myanimelist.net/anime/32379
Bessatsu Kamen Rider Saber: Tanpen Katsudou Manga Shuu                                              - None  - 2021 - 6 episodes    - 9 min per ep       - Comedy                                                                          - https://myanimelist.net/anime/47425
Best Friend                                                                                         - None  - 1992 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/41633
Biao Ren: Blades of the Guardians                                                                   - 7.36  - 2023 - 14 episodes   - 20 min per ep      - Action, Historical                                                              - https://myanimelist.net/anime/44388
Bidulgi Habchang                                                                                    - None  - 1988 - 1 episode     - 1 hr 16 min        - Kids                                                                            - https://myanimelist.net/anime/48164
Bikkuriman 2000                                                                                     - 6.10  - 1999 - 68 episodes   - 24 min per ep      - Adventure, Fantasy, Kids                                                        - https://myanimelist.net/anime/5478
Blade                                                                                               - 6.21  - 2011 - 12 episodes   - 24 min per ep      - Action, Drama, Horror, Vampire                                                  - https://myanimelist.net/anime/6920
Bloodivores                                                                                         - 5.47  - 2016 - 12 episodes   - 24 min per ep      - Action, Mystery, Supernatural, Survival, Vampire                                - https://myanimelist.net/anime/33985
Boku dake no Hentai Kanojo Motto♥ The Animation                                                     - 6.32  - 2017 - 1 episode     - 17 min             - Hentai                                                                          - https://myanimelist.net/anime/36109
Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e                                                   - 6.62  - 1995 - 1 episode     - 1 hr 38 min        - Drama, Romance, Sci-Fi, Shoujo                                                  - https://myanimelist.net/anime/7366
Boku no Hero Academia 2nd Season                                                                    - 8.10  - 2017 - 25 episodes   - 23 min per ep      - Action, School, Shounen, Super Power                                            - https://myanimelist.net/anime/33486
Boku no Hero Academia 6th Season                                                                    - 8.35  - 2022 - 25 episodes   - 23 min per ep      - Action, School, Shounen, Super Power                                            - https://myanimelist.net/anime/49918
Boku no Kachi                                                                                       - 5.35  - 1994 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/39910
Boku to Sakana no Monogatari                                                                        - None  - 2017 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/37010
Boku wa Kimi no Namida                                                                              - 5.98  - 1998 - 1 episode     - 4 min              - Kids, Music                                                                     - https://myanimelist.net/anime/35587
Boku wa Koko de Ikiteiku                                                                            - 6.02  - 2015 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/33523
Boku wa Mirai no Soccer Senshu                                                                      - None  - 1994 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53898
Bokura no Hero                                                                                      - 5.32  - 2010 - 1 episode     - 2 min              - Music                                                                           - https://myanimelist.net/anime/15525
