Title                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                      - Link
Binan Koukou Chikyuu Bouei-bu LOVE!                                                - 7.05  - 2015 - 12 episode(s)      - 24 min. per ep.       - Comedy, Magic, Parody, School, Slice of Life                                                                                  - https://myanimelist.net/anime/27727
Bishoujo Senshi Sailor Moon Memorial                                               - 7.44  - 1998 - 5 episode(s)       - 1 hr. 30 min. per ep. - Demons, Magic, Romance, Shoujo                                                                                                - https://myanimelist.net/anime/8756
Bishoujo Senshi Sailor Moon                                                        - 7.73  - 1992 - 46 episode(s)      - 24 min. per ep.       - Magic, Romance, Demons, Shoujo                                                                                                - https://myanimelist.net/anime/530
Black Cat                                                                          - 7.49  - 2005 - 23 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Sci-Fi, Shounen, Super Power                                                                               - https://myanimelist.net/anime/68
Blame! Prologue                                                                    - 5.67  - 2007 - 2 episode(s)       - 4 min. per ep.        - Action, Mecha, Sci-Fi                                                                                                         - https://myanimelist.net/anime/3430
Blue Dragon                                                                        - 6.52  - 2007 - 51 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Fantasy, Supernatural                                                                                      - https://myanimelist.net/anime/2142
Boku no Hero Academia 3rd Season                                                   - N/A   - 2018 - 25 episode(s)      - 23 min. per ep.       - Action, Comedy, School, Shounen, Super Power                                                                                  - https://myanimelist.net/anime/36456
Boku no Pico                                                                       - 5.00  - 2006 - 1 episode(s)       - 34 min.               - Hentai, Yaoi                                                                                                                  - https://myanimelist.net/anime/1639
Boku wa Tomodachi ga Sukunai                                                       - 7.48  - 2011 - 12 episode(s)      - 24 min. per ep.       - Ecchi, Slice of Life, Comedy, Harem, Romance, School                                                                          - https://myanimelist.net/anime/10719
Bomberman B-Daman Bakugaiden Victory                                               - 6.62  - 1999 - 50 episode(s)      - 26 min. per ep.       - Sci-Fi, Shounen                                                                                                               - https://myanimelist.net/anime/1673
Bomberman B-Daman Bakugaiden                                                       - 6.67  - 1998 - 48 episode(s)      - 26 min. per ep.       - Comedy, Sci-Fi, Shounen                                                                                                       - https://myanimelist.net/anime/1672
Boruto: Naruto the Movie                                                           - 7.88  - 2015 - 1 episode(s)       - 1 hr. 35 min.         - Action, Comedy, Super Power, Martial Arts, Shounen                                                                            - https://myanimelist.net/anime/28755
Boukyaku no Senritsu                                                               - 6.40  - 2004 - 24 episode(s)      - 23 min. per ep.       - Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural                                        - https://myanimelist.net/anime/159
Bungou Stray Dogs                                                                  - 7.81  - 2016 - 12 episode(s)      - 23 min. per ep.       - Action, Mystery, Comedy, Supernatural, Seinen                                                                                 - https://myanimelist.net/anime/31478
Busou Shinki Moon Angel                                                            - 6.65  - 2011 - 10 episode(s)      - 5 min. per ep.        - Action, Sci-Fi                                                                                                                - https://myanimelist.net/anime/11103
Captain Future                                                                     - 7.14  - 1978 - 52 episode(s)      - 23 min. per ep.       - Action, Adventure, Sci-Fi, Shounen                                                                                            - https://myanimelist.net/anime/2561
Captain Herlock                                                                    - 7.49  - 2013 - 1 episode(s)       - 1 hr. 55 min.         - Action, Sci-Fi, Space, Drama                                                                                                  - https://myanimelist.net/anime/17269
Captain Tsubasa: Road to 2002                                                      - 7.45  - 2001 - 52 episode(s)      - 24 min. per ep.       - Action, Shounen, Sports                                                                                                       - https://myanimelist.net/anime/1614
Cardcaptor Sakura                                                                  - 8.21  - 1998 - 70 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo                                                             - https://myanimelist.net/anime/232
Carnival Phantasm: HibiChika Special                                               - 7.44  - 2012 - 1 episode(s)       - 26 min.               - Comedy, Supernatural                                                                                                          - https://myanimelist.net/anime/15927
Catchy-kun no Nice Catch!                                                          - 4.00  - 2017 - 13 episode(s)      - Unknown               - Comedy                                                                                                                        - https://myanimelist.net/anime/35914
Cheburashka Arere?                                                                 - 6.52  - 2009 - 26 episode(s)      - 3 min. per ep.        - Kids, Slice of Life, Comedy                                                                                                   - https://myanimelist.net/anime/7176
Chibi Maruko-chan                                                                  - 7.79  - 1990 - 142 episode(s)     - 23 min. per ep.       - Comedy, Slice of Life, Shoujo                                                                                                 - https://myanimelist.net/anime/951
Chikasugi Idol Akae-chan                                                           - 4.55  - 2014 - 12 episode(s)      - 2 min. per ep.        - Game, Comedy, Parody                                                                                                          - https://myanimelist.net/anime/22755
Chobitto Zukan                                                                     - 4.50  - 2016 - 52 episode(s)      - 5 min. per ep.        - Fantasy, Kids                                                                                                                 - https://myanimelist.net/anime/33262
Chokin no Susume                                                                   - 6.80  - 1917 - 1 episode(s)       - Unknown               - Comedy                                                                                                                        - https://myanimelist.net/anime/23191
Chou Zenmairobo: Patrasche                                                         - 4.55  - 2013 - 13 episode(s)      - 2 min. per ep.        - Comedy, Historical, Mecha, Parody, Sci-Fi                                                                                     - https://myanimelist.net/anime/21433
Christmas Morgue                                                                   - 4.44  - 2010 - 1 episode(s)       - 4 min.                - Music                                                                                                                         - https://myanimelist.net/anime/36181
ClassicaLoid 2nd Season                                                            - 6.41  - 2017 - 25 episode(s)      - 24 min. per ep.       - Music, Comedy                                                                                                                 - https://myanimelist.net/anime/35334
Clockwork Planet                                                                   - 6.58  - 2017 - 12 episode(s)      - 24 min. per ep.       - Sci-Fi, Fantasy                                                                                                               - https://myanimelist.net/anime/32407
Code:Realize - Sousei no Himegimi                                                  - 6.66  - 2017 - 12 episode(s)      - 23 min. per ep.       - Military, Historical, Romance, Fantasy, Josei                                                                                 - https://myanimelist.net/anime/31456
Cofun Gal no Coffy Campus Life                                                     - 5.82  - 2009 - 11 episode(s)      - 10 min. per ep.       - Comedy                                                                                                                        - https://myanimelist.net/anime/13505
Coral no Tanken                                                                    - 5.75  - 1979 - 50 episode(s)      - 25 min. per ep.       - Adventure, Kids, Music                                                                                                        - https://myanimelist.net/anime/32630
Cross Fight B-Daman eS                                                             - 6.69  - 2012 - 52 episode(s)      - 12 min. per ep.       - Game, Kids                                                                                                                    - https://myanimelist.net/anime/15547
Cybot Robocchi                                                                     - 6.21  - 1982 - 39 episode(s)      - 24 min. per ep.       - Comedy, Sci-Fi                                                                                                                - https://myanimelist.net/anime/7956
