Title                                                                                       - Score - Year - Num Eps            - Duration             - Genre(s)                                                                        - Link
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa                                               - 6.33  - 1992 - 1 episode(s)       - 59 min.              - Action, Drama, Military, Sci-Fi, Shounen, Space                                 - https://myanimelist.net/anime/3015
God Eater                                                                                   - 7.50  - 2015 - 13 episode(s)      - 23 min. per ep.      - Action, Military, Sci-Fi, Fantasy                                               - https://myanimelist.net/anime/27631
Gokuu no Daibouken Pilot                                                                    - 5.71  - 1966 - 1 episode(s)       - 23 min.              - Comedy, Fantasy                                                                 - https://myanimelist.net/anime/23815
Golgo 13 (TV)                                                                               - 7.59  - 2008 - 50 episode(s)      - 24 min. per ep.      - Action, Adventure, Drama, Thriller, Seinen                                      - https://myanimelist.net/anime/4039
Green Green                                                                                 - 6.37  - 2003 - 12 episode(s)      - 24 min. per ep.      - Comedy, Ecchi, Romance, School, Slice of Life                                   - https://myanimelist.net/anime/133
Grendizer Giga                                                                              - 5.64  - 2015 - 1 episode(s)       - 1 min.               - Action, Mecha                                                                   - https://myanimelist.net/anime/31467
Grisaia no Meikyuu: Caprice no Mayu 0                                                       - 8.04  - 2015 - 1 episode(s)       - 47 min.              - Drama                                                                           - https://myanimelist.net/anime/29093
Gunparade Orchestra OVA                                                                     - 6.04  - 2006 - 3 episode(s)       - 30 min. per ep.      - Mecha                                                                           - https://myanimelist.net/anime/9445
Haha Sange                                                                                  - 5.95  - 2010 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                          - https://myanimelist.net/anime/7612
Hajimete no Gal                                                                             - 6.52  - 2017 - 10 episode(s)      - 23 min. per ep.      - Comedy, Romance, Ecchi, School, Shounen                                         - https://myanimelist.net/anime/34403
Hakata Tonkotsu Ramens                                                                      - 7.33  - 2018 - 12 episode(s)      - 23 min. per ep.      - Action                                                                          - https://myanimelist.net/anime/35889
Hakumei to Mikochi                                                                          - 7.16  - 2018 - 12 episode(s)      - 24 min. per ep.      - Slice of Life, Fantasy, Seinen                                                  - https://myanimelist.net/anime/36094
Hakyuu Houshin Engi                                                                         - 5.24  - 2018 - 23 episode(s)      - 23 min. per ep.      - Adventure, Demons, Supernatural, Fantasy, Shounen                               - https://myanimelist.net/anime/36029
Hanakappa Movie: Hana-sake! Pakkaan Chou no Kuni no Daibouken                               - 6.88  - 2013 - 1 episode(s)       - Unknown              - Comedy, Kids                                                                    - https://myanimelist.net/anime/17263
Hanaukyou Maid-tai                                                                          - 6.70  - 2001 - 12 episode(s)      - 14 min. per ep.      - Comedy, Ecchi, Harem, Romance                                                   - https://myanimelist.net/anime/403
Hatsukoi Limited.                                                                           - 7.41  - 2009 - 12 episode(s)      - 24 min. per ep.      - Comedy, Romance, School, Shounen                                                - https://myanimelist.net/anime/5150
Heisa Byouin                                                                                - 6.07  - 2003 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                          - https://myanimelist.net/anime/2195
Hello! Lady Lynn                                                                            - 7.78  - 1988 - 36 episode(s)      - 20 min. per ep.      - Drama                                                                           - https://myanimelist.net/anime/2405
Hermes: Ai wa Kaze no Gotoku                                                                - 5.28  - 1997 - 1 episode(s)       - 1 hr. 54 min.        - Drama, Fantasy                                                                  - https://myanimelist.net/anime/6937
