Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Akai Kutsu! Onnanoko!                                                                               - 4.09  - 1 episode(s)       - 16 sec.               - Dementia                                                                                                                                                       - https://myanimelist.net/anime/30396
Akakichi no Eleven                                                                                  - 6.85  - 52 episode(s)      - 25 min. per ep.       - Sports                                                                                                                                                         - https://myanimelist.net/anime/2316
Akane-chan no Wasuremono                                                                            - 3.42  - 1 episode(s)       - 4 min.                -                                                                                                                                                                - https://myanimelist.net/anime/36977
Akazukin Chanto Manabou! Koutsuu Rule                                                               - 4.85  - 1 episode(s)       - 14 min.               - Drama, Kids                                                                                                                                                    - https://myanimelist.net/anime/30926
Akazukin to Kenkou                                                                                  - 5.36  - 1 episode(s)       - 5 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/30446
Akiba-chan                                                                                          - 5.34  - 10 episode(s)      - 5 min. per ep.        - Comedy, Kids, Slice of Life                                                                                                                                    - https://myanimelist.net/anime/5304
Akichi Asobi: Playground                                                                            - 6.26  - 1 episode(s)       - 5 min.                -                                                                                                                                                                - https://myanimelist.net/anime/35706
Akiko                                                                                               - 5.40  - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2979
Akubi Girl                                                                                          - 6.17  - 26 episode(s)      - 4 min. per ep.        - Comedy, Fantasy                                                                                                                                                - https://myanimelist.net/anime/6077
Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode                                            - 4.06  - 1 episode(s)       - 1 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29889
Akuei to Gacchinpo The Movie: Chelsea no Gyakushuu/Akuei to Mahou no Hammer                         - 4.44  - 1 episode(s)       - 1 hr. 45 min.         - Kids, Magic, Comedy                                                                                                                                            - https://myanimelist.net/anime/29842
Akuei to Gacchinpo: Tenkomori                                                                       - 4.16  - 12 episode(s)      - 25 min. per ep.       - Kids, Comedy                                                                                                                                                   - https://myanimelist.net/anime/29843
Akuei to Gacchinpo                                                                                  - 4.39  - 13 episode(s)      - 25 min. per ep.       - Kids, Comedy                                                                                                                                                   - https://myanimelist.net/anime/29836
Akuma-kun (Movie)                                                                                   - 6.02  - 1 episode(s)       - 40 min.               - Adventure, Horror, Supernatural, Magic, Fantasy                                                                                                                - https://myanimelist.net/anime/8226
Akuma-kun: Youkoso Akuma Land e!!                                                                   - 5.13  - 1 episode(s)       - 25 min.               - Adventure, Fantasy, Horror, Magic, Supernatural                                                                                                                - https://myanimelist.net/anime/8227
Aladdin to Mahou no Lamp no Koutsuu Anzen                                                           - 6.86  - 1 episode(s)       - 12 min.               - Drama, Fantasy, Kids                                                                                                                                           - https://myanimelist.net/anime/30929
Alexander Senki Movie                                                                               - 6.07  - 1 episode(s)       - 1 hr. 40 min.         - Action, Adventure, Dementia, Historical, Military, Mystery, Shounen, Supernatural                                                                              - https://myanimelist.net/anime/5157
Alexander Senki                                                                                     - 5.81  - 13 episode(s)      - 20 min. per ep.       - Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural                                                                                                   - https://myanimelist.net/anime/1442
Alexandros no Ketsudan                                                                              - 5.76  - 1 episode(s)       - 45 min.               - Historical                                                                                                                                                     - https://myanimelist.net/anime/10112
Ali Baba to 40-hiki no Touzoku                                                                      - 5.79  - 1 episode(s)       - 55 min.               - Action, Fantasy                                                                                                                                                - https://myanimelist.net/anime/3843
