Title                                                                                                - Score - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Akagami no Shirayuki-hime                                                                            - 7.92  - 12 episode(s)      - 24 min. per ep.       - Drama, Fantasy, Romance, Shoujo                                                                          - https://myanimelist.net/anime/30123
Akai Kiba: Blue Sonnet                                                                               - 6.11  - 5 episode(s)       - 29 min. per ep.       - Action, Drama, Sci-Fi, Shoujo, Super Power                                                               - https://myanimelist.net/anime/2051
Akatsuki no Yona OVA                                                                                 - 8.14  - 3 episode(s)       - 23 min. per ep.       - Action, Comedy, Fantasy, Shoujo                                                                          - https://myanimelist.net/anime/30370
Akazukin Chacha OVA                                                                                  - 7.18  - 3 episode(s)       - 24 min. per ep.       - Comedy, Fantasy, Magic                                                                                   - https://myanimelist.net/anime/367
Akazukin Chacha                                                                                      - 7.46  - 74 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Magic, Romance, Shoujo                                                       - https://myanimelist.net/anime/103
Akebi no Hana: Maho                                                                                  - 5.79  - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/10552
Aki-Sora: Yume no Naka                                                                               - 6.34  - 2 episode(s)       - 25 min. per ep.       - Ecchi, Romance, Seinen, Yuri                                                                             - https://myanimelist.net/anime/8577
Aki-Sora                                                                                             - 6.24  - 1 episode(s)       - 21 min.               - Ecchi, Romance, Seinen                                                                                   - https://myanimelist.net/anime/6987
Akira                                                                                                - 8.16  - 1 episode(s)       - 2 hr. 4 min.          - Action, Military, Sci-Fi, Adventure, Horror, Supernatural                                                - https://myanimelist.net/anime/47
Akkun to Kanojo                                                                                      - N/A   - Unknown episode(s) - Unknown               - Comedy, Romance, School, Josei                                                                           - https://myanimelist.net/anime/36864
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test                                                      - 6.65  - 1 episode(s)       - 23 min.               - Action, Ecchi, Comedy, Shoujo Ai                                                                         - https://myanimelist.net/anime/24751
Akuma-kun                                                                                            - 6.38  - 42 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Horror, Magic, Supernatural                                                          - https://myanimelist.net/anime/8194
Al Caral no Isan                                                                                     - 5.78  - 1 episode(s)       - 1 hr. 10 min.         - Sci-Fi, Space, Seinen                                                                                    - https://myanimelist.net/anime/6078
Alice to Zouroku                                                                                     - 7.20  - 12 episode(s)      - 23 min. per ep.       - Adventure, Mystery, Seinen                                                                               - https://myanimelist.net/anime/34350
