Title                                                             - Score - Num Eps            - Duration             - Genre(s)                                                              - Link
Genji Monogatari                                                  - 6.68  - 1 episode(s)       - 1 hr. 46 min.        - Drama, Historical, Romance                                            - https://myanimelist.net/anime/3488
Ghost Hunt                                                        - 7.93  - 25 episode(s)      - 25 min. per ep.      - Comedy, Horror, Mystery, Shoujo, Supernatural                         - https://myanimelist.net/anime/1571
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa                     - 6.34  - 1 episode(s)       - 59 min.              - Action, Drama, Military, Sci-Fi, Shounen, Space                       - https://myanimelist.net/anime/3015
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari    - 8.17  - 24 episode(s)      - 26 min. per ep.      - Action, Military, Sci-Fi, Space                                       - https://myanimelist.net/anime/3371
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture              - 8.18  - 1 episode(s)       - 1 hr. 30 min.        - Action, Space, Military, Drama, Sci-Fi                                - https://myanimelist.net/anime/3016
Ginga Eiyuu Densetsu: Die Neue These - Kaikou                     - N/A   - 12 episode(s)      - Unknown              - Action, Military, Sci-Fi, Space, Drama                                - https://myanimelist.net/anime/31433
Ginga Eiyuu Densetsu: Die Neue These Seiran 1                     - N/A   - 1 episode(s)       - 2 hr.                - Action, Military, Sci-Fi, Space, Drama                                - https://myanimelist.net/anime/36369
Ginga Eiyuu Densetsu: Die Neue These Seiran 2                     - N/A   - 1 episode(s)       - 2 hr.                - Action, Military, Sci-Fi, Space, Drama                                - https://myanimelist.net/anime/36370
Ginga Eiyuu Densetsu: Die Neue These Seiran 3                     - N/A   - 1 episode(s)       - 2 hr.                - Action, Military, Sci-Fi, Space, Drama                                - https://myanimelist.net/anime/36371
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai                - 8.04  - 1 episode(s)       - 59 min.              - Action, Military, Sci-Fi, Space                                       - https://myanimelist.net/anime/3014
Ginga Eiyuu Densetsu                                              - 9.10  - 110 episode(s)     - 26 min. per ep.      - Military, Sci-Fi, Space, Drama                                        - https://myanimelist.net/anime/820
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars Special     - 6.33  - 1 episode(s)       - 22 min.              - Drama, Fantasy, Mystery                                               - https://myanimelist.net/anime/33717
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars             - 6.57  - 1 episode(s)       - 48 min.              - Drama, Fantasy, Mystery                                               - https://myanimelist.net/anime/7112
Ginga Tetsudou no Yoru                                            - 7.36  - 1 episode(s)       - 1 hr. 45 min.        - Drama, Fantasy, Historical, Kids, Mystery                             - https://myanimelist.net/anime/1441
Guomin Laogong Dai Huijia 3rd Season                              - N/A   - 12 episode(s)      - 12 min. per ep.      - Drama, Romance                                                        - https://myanimelist.net/anime/37181
Guskou Budori no Denki                                            - 6.44  - 1 episode(s)       - 1 hr. 25 min.        - Drama                                                                 - https://myanimelist.net/anime/8450
HaruChika: Haruta to Chika wa Seishun suru                        - 6.44  - 12 episode(s)      - 24 min. per ep.      - Music, Slice of Life, Mystery, Romance, School                        - https://myanimelist.net/anime/30895
Hashire Melos (1981)                                              - 5.79  - 1 episode(s)       - 1 hr. 7 min.         - Historical, Drama                                                     - https://myanimelist.net/anime/8554
Hashire Melos (Movie)                                             - 7.03  - 1 episode(s)       - 1 hr. 50 min.        - Action, Adventure, Historical                                         - https://myanimelist.net/anime/4876
Hello Kitty no Oyayubi-hime                                       - 5.82  - 1 episode(s)       - 43 min.              - Adventure, Fantasy, Kids                                              - https://myanimelist.net/anime/32622
Hermes: Ai wa Kaze no Gotoku                                      - 5.28  - 1 episode(s)       - 1 hr. 54 min.        - Drama, Fantasy                                                        - https://myanimelist.net/anime/6937
Hibike! Euphonium Movie: 2-nensei ni Natta Kumiko-tachi           - N/A   - 1 episode(s)       - Unknown              - Music, Drama, School                                                  - https://myanimelist.net/anime/35678
Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso   - 7.44  - 1 episode(s)       - 1 hr. 43 min.        - Music, School                                                         - https://myanimelist.net/anime/31989
Hibike! Euphonium Movie: Todoketai Melody                         - 7.35  - 1 episode(s)       - 1 hr. 55 min.        - Music, Drama, School                                                  - https://myanimelist.net/anime/35082
Hibike! Euphonium: Kakedasu Monaka                                - 7.47  - 1 episode(s)       - 23 min.              - Drama, Music, School                                                  - https://myanimelist.net/anime/31665
Hibike! Euphonium                                                 - 8.02  - 13 episode(s)      - 23 min. per ep.      - Music, Drama, School                                                  - https://myanimelist.net/anime/27989
Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki               - 6.74  - 1 episode(s)       - 1 hr. 7 min.         - Adventure, Historical                                                 - https://myanimelist.net/anime/9095
Hoshi no Oujisama Petit Prince                                    - 6.96  - 35 episode(s)      - 24 min. per ep.      - Adventure                                                             - https://myanimelist.net/anime/3811
Hotaru no Haka                                                    - 8.56  - 1 episode(s)       - 1 hr. 28 min.        - Drama, Historical                                                     - https://myanimelist.net/anime/578
Huckleberry Finn Monogatari                                       - 6.53  - 26 episode(s)      - 20 min. per ep.      - Adventure                                                             - https://myanimelist.net/anime/4800
Hyouka                                                            - 8.15  - 22 episode(s)      - 25 min. per ep.      - Mystery, School, Slice of Life                                        - https://myanimelist.net/anime/12189
Ie Naki Ko Remi                                                   - 8.04  - 23 episode(s)      - 23 min. per ep.      - Adventure, Slice of Life, Historical, Drama                           - https://myanimelist.net/anime/2829
Ie Naki Ko                                                        - 7.85  - 51 episode(s)      - 24 min. per ep.      - Adventure, Drama, Historical, Kids, Slice of Life                     - https://myanimelist.net/anime/2828
