Title                                                                                          - Score - Year    - Num Eps            - Duration             - Genre(s)                                                                 - Link
Ecchan no Sensou                                                                               - 6.38  - 2002    - 1 episode(s)       - 1 hr. 20 min.        - Historical, Drama                                                        - https://myanimelist.net/anime/19907
Fate/Zero 2nd Season                                                                           - 8.66  - 2012    - 12 episode(s)      - 24 min. per ep.      - Action, Supernatural, Magic, Fantasy                                     - https://myanimelist.net/anime/11741
Fate/Zero                                                                                      - 8.44  - 2011    - 13 episode(s)      - 28 min. per ep.      - Action, Supernatural, Magic, Fantasy                                     - https://myanimelist.net/anime/10087
Fengshen Bang                                                                                  - 4.22  - 1976    - 1 episode(s)       - 1 hr. 18 min.        - Action, Fantasy, Martial Arts                                            - https://myanimelist.net/anime/35379
Final Fantasy VII: On the Way to a Smile - Episode: Denzel                                     - 7.20  - 2009    - 1 episode(s)       - 28 min.              - Action, Fantasy, Super Power                                             - https://myanimelist.net/anime/6151
Flanders no Inu (Movie)                                                                        - 8.01  - 1997    - 1 episode(s)       - 1 hr. 42 min.        - Drama, Historical                                                        - https://myanimelist.net/anime/2623
Flanders no Inu, Boku no Patrasche                                                             - 7.26  - 1992    - 26 episode(s)      - 25 min. per ep.      - Drama, Historical                                                        - https://myanimelist.net/anime/2624
Flanders no Inu                                                                                - 7.46  - 1975    - 52 episode(s)      - 26 min. per ep.      - Drama, Historical, Slice of Life                                         - https://myanimelist.net/anime/2553
Fortune Quest L                                                                                - 6.57  - 1997    - 26 episode(s)      - 23 min. per ep.      - Adventure, Comedy, Fantasy, Magic                                        - https://myanimelist.net/anime/3185
Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi                                            - 6.30  - 1993    - 4 episode(s)       - 25 min. per ep.      - Adventure, Comedy, Fantasy, Magic                                        - https://myanimelist.net/anime/6557
Fune wo Amu                                                                                    - 7.68  - 2016    - 11 episode(s)      - 22 min. per ep.      - Slice of Life, Drama, Romance                                            - https://myanimelist.net/anime/32948
Gamba no Bouken                                                                                - 7.12  - 1975    - 26 episode(s)      - 24 min. per ep.      - Adventure, Kids                                                          - https://myanimelist.net/anime/5267
Gamba: Gamba to Nakama-tachi                                                                   - 5.88  - 2015    - 1 episode(s)       - 1 hr. 34 min.        - Adventure, Kids                                                          - https://myanimelist.net/anime/30738
Gankutsuou                                                                                     - 8.22  - 2004    - 24 episode(s)      - 24 min. per ep.      - Drama, Mystery, Sci-Fi, Supernatural, Thriller                           - https://myanimelist.net/anime/239
Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season                                          - 7.91  - 2016    - 12 episode(s)      - 23 min. per ep.      - Action, Military, Adventure, Fantasy                                     - https://myanimelist.net/anime/31637
Gate: Jieitai Kanochi nite, Kaku Tatakaeri                                                     - 7.89  - 2015    - 12 episode(s)      - 23 min. per ep.      - Action, Military, Adventure, Fantasy                                     - https://myanimelist.net/anime/28907
Gedo Senki                                                                                     - 7.13  - 2006    - 1 episode(s)       - 1 hr. 55 min.        - Adventure, Fantasy, Magic                                                - https://myanimelist.net/anime/1829
Genji Monogatari Sennenki                                                                      - 7.01  - 2009    - 11 episode(s)      - 22 min. per ep.      - Drama, Historical, Romance                                               - https://myanimelist.net/anime/5155
Genji Monogatari                                                                               - 6.65  - 1987    - 1 episode(s)       - 1 hr. 46 min.        - Drama, Historical, Romance                                               - https://myanimelist.net/anime/3488
Ghost Hunt                                                                                     - 7.92  - 2006    - 25 episode(s)      - 25 min. per ep.      - Comedy, Horror, Mystery, Shoujo, Supernatural                            - https://myanimelist.net/anime/1571
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa                                                  - 6.32  - 1992    - 1 episode(s)       - 59 min.              - Action, Drama, Military, Sci-Fi, Shounen, Space                          - https://myanimelist.net/anime/3015
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu                                                     - 8.07  - 1999    - 28 episode(s)      - 26 min. per ep.      - Drama, Military, Sci-Fi, Space                                           - https://myanimelist.net/anime/3665
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari                                 - 8.17  - 1998    - 24 episode(s)      - 26 min. per ep.      - Action, Military, Sci-Fi, Space                                          - https://myanimelist.net/anime/3371
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture                                           - 8.17  - 1993    - 1 episode(s)       - 1 hr. 30 min.        - Action, Space, Military, Drama, Sci-Fi                                   - https://myanimelist.net/anime/3016
Ginga Eiyuu Densetsu: Die Neue These - Kaikou                                                  - 7.52  - 2018    - 12 episode(s)      - 25 min. per ep.      - Action, Military, Sci-Fi, Space, Drama                                   - https://myanimelist.net/anime/31433
Ginga Eiyuu Densetsu: Die Neue These Seiran 1                                                  - N/A   - Unknown - 1 episode(s)       - 2 hr.                - Action, Military, Sci-Fi, Space, Drama                                   - https://myanimelist.net/anime/36369
Ginga Eiyuu Densetsu: Die Neue These Seiran 2                                                  - N/A   - Unknown - 1 episode(s)       - 2 hr.                - Action, Military, Sci-Fi, Space, Drama                                   - https://myanimelist.net/anime/36370
Ginga Eiyuu Densetsu: Die Neue These Seiran 3                                                  - N/A   - Unknown - 1 episode(s)       - 2 hr.                - Action, Military, Sci-Fi, Space, Drama                                   - https://myanimelist.net/anime/36371
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai                                             - 8.03  - 1988    - 1 episode(s)       - 59 min.              - Action, Military, Sci-Fi, Space                                          - https://myanimelist.net/anime/3014
Ginga Eiyuu Densetsu                                                                           - 9.11  - 1988    - 110 episode(s)     - 26 min. per ep.      - Military, Sci-Fi, Space, Drama                                           - https://myanimelist.net/anime/820
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars Special                                  - 6.11  - 2007    - 1 episode(s)       - 22 min.              - Drama, Fantasy, Mystery                                                  - https://myanimelist.net/anime/33717
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars                                          - 6.55  - 2006    - 1 episode(s)       - 48 min.              - Drama, Fantasy, Mystery                                                  - https://myanimelist.net/anime/7112
Ginga Tetsudou no Yoru                                                                         - 7.36  - 1985    - 1 episode(s)       - 1 hr. 45 min.        - Drama, Fantasy, Historical, Kids, Mystery                                - https://myanimelist.net/anime/1441
Ginga e Kickoff!!                                                                              - 7.36  - 2012    - 39 episode(s)      - 25 min. per ep.      - Sports, Shounen                                                          - https://myanimelist.net/anime/12875
Guomin Laogong Dai Huijia 2nd season                                                           - 6.80  - 2017    - 12 episode(s)      - 11 min. per ep.      - Drama, Romance, School                                                   - https://myanimelist.net/anime/37044
Guomin Laogong Dai Huijia 3rd Season                                                           - 6.80  - 2017    - 12 episode(s)      - 12 min. per ep.      - Drama, Romance                                                           - https://myanimelist.net/anime/37181
Guomin Laogong Dai Huijia                                                                      - 6.23  - 2016    - 12 episode(s)      - 11 min. per ep.      - Drama, Romance, School                                                   - https://myanimelist.net/anime/34602
Guskou Budori no Denki (2012)                                                                  - 6.34  - 2012    - 1 episode(s)       - 1 hr. 46 min.        - Slice of Life, Kids, Drama, Fantasy                                      - https://myanimelist.net/anime/13215
Guskou Budori no Denki                                                                         - 6.38  - 1994    - 1 episode(s)       - 1 hr. 25 min.        - Drama                                                                    - https://myanimelist.net/anime/8450
Gyakusatsu Kikan                                                                               - 7.25  - 2017    - 1 episode(s)       - 1 hr. 54 min.        - Military, Sci-Fi, Psychological                                          - https://myanimelist.net/anime/23279
H. P. Lovecraft's The Dunwich Horror and Other Stories                                         - 6.33  - 2007    - 1 episode(s)       - 46 min.              - Horror                                                                   - https://myanimelist.net/anime/3906
Hakata Tonkotsu Ramens                                                                         - 7.55  - 2018    - 12 episode(s)      - 23 min. per ep.      - Action                                                                   - https://myanimelist.net/anime/35889
Happy Pasta Story                                                                              - 5.59  - 2010    - 8 episode(s)       - 5 min. per ep.       - Slice of Life, Magic                                                     - https://myanimelist.net/anime/37423
Harmony                                                                                        - 7.10  - 2015    - 1 episode(s)       - 1 hr. 59 min.        - Sci-Fi, Psychological                                                    - https://myanimelist.net/anime/28211
HaruChika: Haruta to Chika wa Seishun suru                                                     - 6.44  - 2016    - 12 episode(s)      - 24 min. per ep.      - Music, Slice of Life, Mystery, Romance, School                           - https://myanimelist.net/anime/30895
Hashire Melos (1981)                                                                           - 5.79  - 1981    - 1 episode(s)       - 1 hr. 7 min.         - Historical, Drama                                                        - https://myanimelist.net/anime/8554
Hashire Melos (Movie)                                                                          - 7.02  - 1992    - 1 episode(s)       - 1 hr. 50 min.        - Action, Adventure, Historical                                            - https://myanimelist.net/anime/4876
Hello Kitty no Oyayubi-hime                                                                    - 5.79  - 1990    - 1 episode(s)       - 43 min.              - Adventure, Fantasy, Kids                                                 - https://myanimelist.net/anime/32622
Hermes: Ai wa Kaze no Gotoku                                                                   - 5.27  - 1997    - 1 episode(s)       - 1 hr. 54 min.        - Drama, Fantasy                                                           - https://myanimelist.net/anime/6937
Hibike! Euphonium 2                                                                            - 8.29  - 2016    - 13 episode(s)      - 23 min. per ep.      - Music, School, Drama                                                     - https://myanimelist.net/anime/31988
Hibike! Euphonium Movie: 2-nensei ni Natta Kumiko-tachi                                        - N/A   - 2018    - 1 episode(s)       - Unknown              - Music, Drama, School                                                     - https://myanimelist.net/anime/35678
Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso                                - 7.45  - 2016    - 1 episode(s)       - 1 hr. 43 min.        - Music, School                                                            - https://myanimelist.net/anime/31989
Hibike! Euphonium Movie: Todoketai Melody                                                      - 7.56  - 2017    - 1 episode(s)       - 1 hr. 55 min.        - Music, School, Drama                                                     - https://myanimelist.net/anime/35082
Hibike! Euphonium: Kakedasu Monaka                                                             - 7.47  - 2015    - 1 episode(s)       - 23 min.              - Drama, Music, School                                                     - https://myanimelist.net/anime/31665
Hibike! Euphonium                                                                              - 8.02  - 2015    - 13 episode(s)      - 23 min. per ep.      - Music, School, Drama                                                     - https://myanimelist.net/anime/27989
Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki                                            - 6.70  - 1987    - 1 episode(s)       - 1 hr. 7 min.         - Adventure, Historical                                                    - https://myanimelist.net/anime/9095
Hoshi no Oujisama Petit Prince                                                                 - 6.95  - 1978    - 35 episode(s)      - 24 min. per ep.      - Adventure                                                                - https://myanimelist.net/anime/3811
Hotaru no Haka                                                                                 - 8.55  - 1988    - 1 episode(s)       - 1 hr. 28 min.        - Drama, Historical                                                        - https://myanimelist.net/anime/578
Howl no Ugoku Shiro                                                                            - 8.73  - 2004    - 1 episode(s)       - 1 hr. 57 min.        - Adventure, Drama, Fantasy, Romance                                       - https://myanimelist.net/anime/431
Huckleberry Finn Monogatari                                                                    - 6.55  - 1994    - 26 episode(s)      - 20 min. per ep.      - Adventure                                                                - https://myanimelist.net/anime/4800
Huckleberry no Bouken                                                                          - 6.22  - 1976    - 26 episode(s)      - 25 min. per ep.      - Adventure, Historical, Drama                                             - https://myanimelist.net/anime/2545
Hyouka: Motsubeki Mono wa                                                                      - 7.40  - 2012    - 1 episode(s)       - 25 min.              - Slice of Life, Mystery, School                                           - https://myanimelist.net/anime/13469
Ie Naki Ko Remy                                                                                - 8.04  - 1996    - 23 episode(s)      - 23 min. per ep.      - Adventure, Slice of Life, Historical, Drama                              - https://myanimelist.net/anime/2829
Ie Naki Ko                                                                                     - 7.84  - 1977    - 51 episode(s)      - 24 min. per ep.      - Adventure, Drama, Historical, Kids, Slice of Life                        - https://myanimelist.net/anime/2828
Jian Wangchao 2                                                                                - N/A   - 2017    - 12 episode(s)      - 15 min. per ep.      - Action                                                                   - https://myanimelist.net/anime/37058
Jian Wangchao                                                                                  - 6.37  - 2017    - 12 episode(s)      - 15 min. per ep.      - Action, Historical                                                       - https://myanimelist.net/anime/36996
Joker Game: Kuroneko Yoru no Bouken                                                            - 6.69  - 2016    - 2 episode(s)       - 4 min. per ep.       - Military, Historical, Drama                                              - https://myanimelist.net/anime/33129
Joker Game                                                                                     - 7.13  - 2016    - 12 episode(s)      - 23 min. per ep.      - Military, Historical, Drama                                              - https://myanimelist.net/anime/31405
Junkers Come Here                                                                              - 7.25  - 1994    - 1 episode(s)       - 1 hr. 39 min.        - Slice of Life, Drama                                                     - https://myanimelist.net/anime/1116
Juugo Shounen Hyouryuuki                                                                       - 6.22  - 1982    - 1 episode(s)       - 1 hr. 25 min.        - Adventure, Historical, Drama                                             - https://myanimelist.net/anime/5013
Juuni Kokuki                                                                                   - 8.13  - 2002    - 45 episode(s)      - 25 min. per ep.      - Action, Adventure, Fantasy, Magic, Supernatural                          - https://myanimelist.net/anime/153
Juuni Taisen                                                                                   - 6.72  - 2017    - 12 episode(s)      - 24 min. per ep.      - Action                                                                   - https://myanimelist.net/anime/35076
Kabuki-bu!: Oogiri "Chiyocolate-gassen"                                                        - 5.41  - 2017    - 1 episode(s)       - Unknown              - School                                                                   - https://myanimelist.net/anime/35416
Kabuki-bu!                                                                                     - 6.65  - 2017    - 12 episode(s)      - 24 min. per ep.      - School                                                                   - https://myanimelist.net/anime/33840
Kaitei Daisensou: Ai no 20,000 Miles                                                           - 5.94  - 1981    - 1 episode(s)       - 1 hr. 13 min.        - Action, Adventure                                                        - https://myanimelist.net/anime/5581
Kakuriyo no Yadomeshi                                                                          - 7.12  - 2018    - 26 episode(s)      - 23 min. per ep.      - Demons, Supernatural                                                     - https://myanimelist.net/anime/36754
Kamui no Ken                                                                                   - 6.69  - 1985    - 1 episode(s)       - 2 hr. 12 min.        - Adventure, Fantasy, Historical, Drama, Shounen                           - https://myanimelist.net/anime/496
