Title                                                                                               - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Air Gear Special                                                                                    - 7.40  - 2007    - 1 episode(s)       - 24 min.               - Sports, Shounen                                                                                                                                                - https://myanimelist.net/anime/3791
Aisubeki Mirai e                                                                                    - 6.40  - 2009    - 1 episode(s)       - 8 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/7659
Ajin 2nd Season OVA                                                                                 - N/A   - 2017    - 1 episode(s)       - 21 min.               - Action, Horror, Mystery, Seinen, Supernatural                                                                                                                  - https://myanimelist.net/anime/36625
Ajin Senshi                                                                                         - 6.34  - 1990    - 1 episode(s)       - 1 hr. 40 min.         - Fantasy, Sci-Fi                                                                                                                                                - https://myanimelist.net/anime/17325
Ajjishin da Tsunami wa? Jibun no Inochi wa Jibun de Mamoru                                          - 5.14  - 2012    - 1 episode(s)       - 14 min.               - Drama, Kids                                                                                                                                                    - https://myanimelist.net/anime/28585
Akadou Suzunosuke                                                                                   - 5.93  - 1972    - 52 episode(s)      - 24 min. per ep.       - Adventure, Historical                                                                                                                                          - https://myanimelist.net/anime/11275
Akage no Anne: Green Gables e no Michi                                                              - 6.69  - 2010    - 1 episode(s)       - 1 hr. 39 min.         - Adventure, Slice of Life, Historical, Shoujo                                                                                                                   - https://myanimelist.net/anime/8950
Akai Boushi                                                                                         - 5.46  - 1984    - 1 episode(s)       - 2 min.                - Music, Slice of Life                                                                                                                                           - https://myanimelist.net/anime/8731
Akai Koudan Zillion: Utahime Yakyoku                                                                - 6.04  - 1988    - 1 episode(s)       - 45 min.               - Adventure, Sci-Fi, Shounen                                                                                                                                     - https://myanimelist.net/anime/2689
Akai Kutsu! Onnanoko!                                                                               - 4.04  - 2009    - 1 episode(s)       - 16 sec.               - Dementia                                                                                                                                                       - https://myanimelist.net/anime/30396
Akakichi no Eleven                                                                                  - 6.83  - 1970    - 52 episode(s)      - 25 min. per ep.       - Sports                                                                                                                                                         - https://myanimelist.net/anime/2316
Akane-chan no Wasuremono                                                                            - 3.56  - 2012    - 1 episode(s)       - 4 min.                -                                                                                                                                                                - https://myanimelist.net/anime/36977
Akane-chan                                                                                          - 5.88  - 1968    - 26 episode(s)      - 26 min. per ep.       - Slice of Life, Comedy, School, Shoujo                                                                                                                          - https://myanimelist.net/anime/18635
Akazukin Chanto Manabou! Koutsuu Rule                                                               - 4.93  - 2014    - 1 episode(s)       - 14 min.               - Drama, Kids                                                                                                                                                    - https://myanimelist.net/anime/30926
Akazukin to Kenkou                                                                                  - 5.24  - 2007    - 1 episode(s)       - 5 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/30446
Akiba-chan                                                                                          - 5.32  - 2008    - 10 episode(s)      - 5 min. per ep.        - Comedy, Kids, Slice of Life                                                                                                                                    - https://myanimelist.net/anime/5304
Akichi Asobi: Playground                                                                            - 6.17  - 2013    - 1 episode(s)       - 5 min.                -                                                                                                                                                                - https://myanimelist.net/anime/35706
Akiko                                                                                               - 5.41  - 1996    - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/2979
Akubi Girl                                                                                          - 6.16  - 2006    - 26 episode(s)      - 4 min. per ep.        - Comedy, Fantasy                                                                                                                                                - https://myanimelist.net/anime/6077
Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode                                            - 4.12  - 2005    - 1 episode(s)       - 1 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29889
