Title                                                                                              - Score - Year    - Num Eps      - Duration           - Genre(s)                                                                                   - Link

#Compass 2.0: Sentou Setsuri Kaiseki System                                                        - None  - 2025    - Ongoing      - Unknown            -                                                                                            - https://myanimelist.net/anime/53762
#Compass                                                                                           - None  - 2018    - 10 episodes  - 4 min per ep       - Strategy Game                                                                              - https://myanimelist.net/anime/38603
Beng Huai: Xing Qiong Tiedao: Fei Guang                                                            - None  - 2023    - 1 episode    - 4 min              - Action, Martial Arts, Sci-Fi                                                               - https://myanimelist.net/anime/55303
Benghuai 3: Du Chen                                                                                - None  - 2021    - 1 episode    - 6 min              - Action, Fantasy                                                                            - https://myanimelist.net/anime/56193
Benghuai 3rd: Dong Zhi Jiyi                                                                        - None  - 2022    - 1 episode    - 1 min              - Performing Arts, Sports                                                                    - https://myanimelist.net/anime/52771
Bigbang Reflection!!                                                                               - None  - 2020    - 1 episode    - 2 min              - Idols (Male), Music                                                                        - https://myanimelist.net/anime/48531
Bio Sekai Meisaku Gekijou                                                                          - 6.71  - 2023    - 3 episodes   - 56 sec per ep      - Comedy, Horror, Video Game                                                                 - https://myanimelist.net/anime/54782
Biohazard 4: Incubate                                                                              - 6.09  - 2006    - 1 episode    - 1 hr 22 min        - Action, Detective, Horror, Military, Mystery, Mythology, Supernatural, Suspense            - https://myanimelist.net/anime/8278
Biohazard 4D-Executer                                                                              - 5.42  - 2000    - 1 episode    - 20 min             - Action, Adventure, Gore, Horror, Military                                                  - https://myanimelist.net/anime/5624
Biohazard: Damnation                                                                               - 7.12  - 2012    - 1 episode    - 1 hr 40 min        - Action, Horror, Sci-Fi                                                                     - https://myanimelist.net/anime/9544
Biohazard: Death Island                                                                            - 6.69  - 2023    - 1 episode    - 1 hr 29 min        - Action, Horror, Sci-Fi                                                                     - https://myanimelist.net/anime/54398
Biohazard: Degeneration                                                                            - 6.96  - 2008    - 1 episode    - 1 hr 36 min        - Action, Horror, Sci-Fi                                                                     - https://myanimelist.net/anime/3446
Biohazard: Infinite Darkness                                                                       - 6.24  - 2021    - 4 episodes   - 26 min per ep      - Action, Horror, Sci-Fi                                                                     - https://myanimelist.net/anime/42976
Biohazard: Vendetta                                                                                - 6.97  - 2017    - 1 episode    - 1 hr 37 min        - Action, Horror, Sci-Fi                                                                     - https://myanimelist.net/anime/31853
Bishoujo Mobage: Mobami-chan                                                                       - 5.35  - 2014    - 1 episode    - 1 min              - Music, Video Game                                                                          - https://myanimelist.net/anime/25991
Blade & Soul Specials                                                                              - 5.78  - 2014    - 7 episodes   - 2 min per ep       - Comedy                                                                                     - https://myanimelist.net/anime/23781
Blade & Soul                                                                                       - 6.05  - 2014    - 13 episodes  - 24 min per ep      - Action, Adventure, Fantasy, Martial Arts                                                   - https://myanimelist.net/anime/22547
BlazBlue: Alter Memory Specials                                                                    - 6.04  - 2013    - 6 episodes   - 17 min per ep      - Comedy                                                                                     - https://myanimelist.net/anime/32502
BlazBlue: Alter Memory                                                                             - 6.09  - 2013    - 12 episodes  - 24 min per ep      - Action, Fantasy                                                                            - https://myanimelist.net/anime/18767
Bloom Up                                                                                           - None  - 2022    - 1 episode    - 3 min              - Fantasy, Music                                                                             - https://myanimelist.net/anime/54329
Blooming World                                                                                     - None  - 2020    - 1 episode    - 2 min              - Idols (Male), Music                                                                        - https://myanimelist.net/anime/48529
Bloomy*Cafe                                                                                        - None  - 2021    - 25 episodes  - 5 min per ep       - Kids, Shoujo                                                                               - https://myanimelist.net/anime/51348
Blue Archive the Animation                                                                         - None  - Unknown - Ongoing      - 20 min             - Action, Sci-Fi                                                                             - https://myanimelist.net/anime/54309
Blue Archive: 1.5-shuunen Kinen Short Animation                                                    - 6.86  - 2022    - 1 episode    - 9 min              - Fantasy, Video Game                                                                        - https://myanimelist.net/anime/52420
Blue Archive: Beautiful Day Dreamer                                                                - 6.84  - 2022    - 1 episode    - 9 min              - Fantasy, Sports, Video Game                                                                - https://myanimelist.net/anime/53670
Blue Archive                                                                                       - 7.04  - 2021    - Ongoing      - 1 min              - Fantasy, Video Game                                                                        - https://myanimelist.net/anime/48824
Blue Dragon: Tenkai no Shichi Ryuu                                                                 - 6.53  - 2008    - 51 episodes  - 20 min per ep      - Adventure, Comedy, Fantasy, Supernatural                                                   - https://myanimelist.net/anime/4197
Blue Dragon                                                                                        - 6.38  - 2007    - 51 episodes  - 25 min per ep      - Adventure, Comedy, Fantasy, Supernatural                                                   - https://myanimelist.net/anime/2142
Blue Reflection Ray Special                                                                        - 5.72  - 2021    - 1 episode    - 24 min             - Fantasy, Mahou Shoujo, School                                                              - https://myanimelist.net/anime/49348
Blue Reflection Ray!                                                                               - 5.79  - 2021    - 24 episodes  - 48 sec per ep      - Comedy                                                                                     - https://myanimelist.net/anime/48610
Blue Reflection Ray                                                                                - 5.81  - 2021    - 24 episodes  - 24 min per ep      - Fantasy, Mahou Shoujo, School                                                              - https://myanimelist.net/anime/47639
Bomberman B-Daman Bakugaiden Victory                                                               - 6.42  - 1999    - 50 episodes  - 26 min per ep      - Sci-Fi                                                                                     - https://myanimelist.net/anime/1673
Bomberman B-Daman Bakugaiden                                                                       - 6.83  - 1998    - 48 episodes  - 26 min per ep      - Comedy, Sci-Fi                                                                             - https://myanimelist.net/anime/1672
Bomberman Jetters                                                                                  - 6.92  - 2002    - 52 episodes  - 23 min per ep      - Action, Adventure, Comedy, Sci-Fi                                                          - https://myanimelist.net/anime/751
Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru                                             - None  - 1995    - 1 episode    - 26 min             - Drama, Kids, Strategy Game                                                                 - https://myanimelist.net/anime/40301
Bonjour♪Koiaji Pâtisserie                                                                          - 6.09  - 2014    - 24 episodes  - 5 min per ep       - Gourmet, Reverse Harem, Romance, School, Shoujo                                            - https://myanimelist.net/anime/25839
Brotherhood: Final Fantasy XV                                                                      - 6.91  - 2016    - 5 episodes   - 14 min per ep      - Action                                                                                     - https://myanimelist.net/anime/33080
Bug tte Honey: Megarom Shoujo Mai 4622                                                             - None  - 1987    - 1 episode    - 48 min             - Adventure, Comedy                                                                          - https://myanimelist.net/anime/31868
Bug tte Honey                                                                                      - 7.05  - 1986    - 51 episodes  - 25 min per ep      - Adventure, Comedy                                                                          - https://myanimelist.net/anime/10210
Bungou to Alchemist: Shinpan no Haguruma                                                           - 6.50  - 2020    - 13 episodes  - 24 min per ep      - Adventure, Fantasy                                                                         - https://myanimelist.net/anime/40934
Caligula (TV)                                                                                      - 6.00  - 2018    - 12 episodes  - 23 min per ep      - Action, Sci-Fi                                                                             - https://myanimelist.net/anime/36828
Cap Kakumei Bottleman DX: Side Story                                                               - None  - 2022    - 8 episodes   - 5 min per ep       - Action, Kids, Strategy Game                                                                - https://myanimelist.net/anime/52867
Cap Kakumei Bottleman DX                                                                           - None  - 2022    - 51 episodes  - 12 min per ep      - Action, Kids, Strategy Game                                                                - https://myanimelist.net/anime/51155
Cap Kakumei Bottleman                                                                              - 5.48  - 2020    - 25 episodes  - 5 min per ep       - Action, Kids, Strategy Game                                                                - https://myanimelist.net/anime/42890
Carnival Phantasm: Onseitsuki Fuuun Illya-jou                                                      - None  - 2011    - 1 episode    - 8 min              - Comedy                                                                                     - https://myanimelist.net/anime/56252
Castelvania                                                                                        - None  - 2017    - 4 episodes   - 24 sec per ep      - Action, Adult Cast, Adventure, Drama, Fantasy, Gore, Historical, Horror, Military, Vampire - https://myanimelist.net/anime/55951
Castlevania                                                                                        - None  - 2017    - Ongoing      - 20 min             - Action, Fantasy, Gore, Horror, Seinen, Supernatural, Vampire                               - https://myanimelist.net/anime/56209
Castlevania                                                                                        - None  - Unknown - 32 episodes  - 27 sec per ep      - Action, Adventure, Drama, Gore, Horror, Martial Arts, Mythology, Supernatural, Vampire     - https://myanimelist.net/anime/55906
Chain Chronicle: Haecceitas no Hikari Part 1                                                       - 7.00  - 2016    - 1 episode    - 1 hr 26 min        - Action, Adventure, Fantasy                                                                 - https://myanimelist.net/anime/33728
Chain Chronicle: Haecceitas no Hikari Part 2                                                       - 7.00  - 2017    - 1 episode    - 1 hr 29 min        - Action, Adventure, Fantasy                                                                 - https://myanimelist.net/anime/33729
Chain Chronicle: Haecceitas no Hikari Part 3                                                       - 7.01  - 2017    - 1 episode    - 1 hr 33 min        - Action, Adventure, Fantasy                                                                 - https://myanimelist.net/anime/33730
Chain Chronicle: Haecceitas no Hikari                                                              - 6.56  - 2017    - 12 episodes  - 24 min per ep      - Action, Adventure, Fantasy                                                                 - https://myanimelist.net/anime/28833
