Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Ace wo Nerae!                                                                                        - 7.04  - 1973    - 26 episode(s)      - 24 min. per ep.       - Sports, Drama, Romance, School, Shoujo                                                                   - https://myanimelist.net/anime/311
Adachi-ga Hara                                                                                       - 6.05  - 1991    - 1 episode(s)       - 30 min.               - Sci-Fi                                                                                                   - https://myanimelist.net/anime/8181
Ahiru no Sora                                                                                        - N/A   - Unknown - Unknown episode(s) - Unknown               - Drama, School, Shounen, Sports                                                                           - https://myanimelist.net/anime/37403
Ai Tenshi Densetsu Wedding Peach                                                                     - 6.77  - 1995    - 51 episode(s)      - 24 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                                - https://myanimelist.net/anime/1533
Ai Yori Aoshi: Enishi - Miyuki                                                                       - 7.02  - 2003    - 1 episode(s)       - 15 min.               - Comedy, Drama, Romance                                                                                   - https://myanimelist.net/anime/3266
Ai Yori Aoshi: Enishi                                                                                - 7.23  - 2003    - 12 episode(s)      - 23 min. per ep.       - Comedy, Drama, Harem, Romance, Slice of Life                                                             - https://myanimelist.net/anime/394
Ai Yori Aoshi: Yumegatari                                                                            - 6.87  - 2002    - 1 episode(s)       - 4 min.                - Comedy, Harem, Romance, Slice of Life                                                                    - https://myanimelist.net/anime/6709
Ai Yori Aoshi                                                                                        - 7.21  - 2002    - 24 episode(s)      - 23 min. per ep.       - Comedy, Drama, Harem, Romance, Slice of Life                                                             - https://myanimelist.net/anime/53
Ai no Wakakusa Yama Monogatari                                                                       - 6.34  - 1999    - 12 episode(s)      - 4 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/6075
Ai to Yuuki no Pig Girl Tonde Buurin                                                                 - 6.68  - 1994    - 51 episode(s)      - 25 min. per ep.       - Parody, Adventure, Fantasy, Magic, Comedy, Romance, School, Shoujo                                       - https://myanimelist.net/anime/2041
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky                                          - 7.73  - 2010    - 3 episode(s)       - 28 min. per ep.       - Action, Comedy, Ecchi, Shounen, Sports                                                                   - https://myanimelist.net/anime/9201
Air Gear                                                                                             - 7.64  - 2006    - 25 episode(s)      - 24 min. per ep.       - Action, Comedy, Ecchi, Shounen, Sports                                                                   - https://myanimelist.net/anime/857
Air Master                                                                                           - 7.10  - 2003    - 27 episode(s)      - 24 min. per ep.       - Action, Comedy, Martial Arts, Seinen                                                                     - https://myanimelist.net/anime/230
Aishite Knight                                                                                       - 6.77  - 1983    - 42 episode(s)      - 25 min. per ep.       - Comedy, Romance, Shoujo                                                                                  - https://myanimelist.net/anime/2221
Aishiteruze Baby★★                                                                                   - 7.55  - 2004    - 26 episode(s)      - 25 min. per ep.       - Comedy, Drama, Romance, Shoujo                                                                           - https://myanimelist.net/anime/102
Aitsu to Lullaby: Suiyobi no Cinderella                                                              - 5.85  - 1987    - 1 episode(s)       - 50 min.               - Romance, Drama, Shounen                                                                                  - https://myanimelist.net/anime/14183
Ajin 2nd Season                                                                                      - 7.91  - 2016    - 13 episode(s)      - 24 min. per ep.       - Action, Mystery, Horror, Supernatural, Seinen                                                            - https://myanimelist.net/anime/33253
Ajin OVA                                                                                             - 7.41  - 2016    - 3 episode(s)       - 21 min. per ep.       - Action, Mystery, Horror, Supernatural, Seinen                                                            - https://myanimelist.net/anime/32015
Ajin Part 1: Shoudou                                                                                 - 7.70  - 2015    - 1 episode(s)       - 1 hr. 44 min.         - Action, Horror, Mystery, Seinen, Supernatural                                                            - https://myanimelist.net/anime/30868
Ajin Part 2: Shoutotsu                                                                               - 7.46  - 2016    - 1 episode(s)       - 1 hr. 45 min.         - Action, Horror, Mystery, Seinen, Supernatural                                                            - https://myanimelist.net/anime/30869
Ajin Part 3: Shougeki                                                                                - 7.46  - 2016    - 1 episode(s)       - 2 hr.                 - Action, Horror, Mystery, Seinen, Supernatural                                                            - https://myanimelist.net/anime/30870
Ajin                                                                                                 - 7.68  - 2016    - 13 episode(s)      - 24 min. per ep.       - Action, Mystery, Horror, Supernatural, Seinen                                                            - https://myanimelist.net/anime/31580
