Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Marude Dameo                                                                                         - 6.44  - 1991    - 47 episode(s)      - 25 min. per ep.       - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/19873
Masamune-kun no Revenge OVA                                                                          - N/A   - 2018    - 1 episode(s)       - 30 min.               - Harem, Comedy, Romance, School, Shounen                                                                  - https://myanimelist.net/anime/37377
Masamune-kun no Revenge                                                                              - 7.03  - 2017    - 12 episode(s)      - 24 min. per ep.       - Harem, Comedy, Romance, School, Shounen                                                                  - https://myanimelist.net/anime/33487
Massugu ni Ikou. 2nd Season                                                                          - 6.82  - 2004    - 5 episode(s)       - 22 min. per ep.       - Comedy, Josei, Romance, Slice of Life                                                                    - https://myanimelist.net/anime/3182
Massugu ni Ikou.                                                                                     - 6.65  - 2003    - 4 episode(s)       - 21 min. per ep.       - Comedy, Josei, Romance, Slice of Life                                                                    - https://myanimelist.net/anime/1617
Master Keaton OVA                                                                                    - 7.88  - 1999    - 15 episode(s)      - 24 min. per ep.       - Adventure, Mystery                                                                                       - https://myanimelist.net/anime/1910
Master Keaton                                                                                        - 7.70  - 1998    - 24 episode(s)      - 23 min. per ep.       - Adventure, Mystery                                                                                       - https://myanimelist.net/anime/1483
Master Mosquiton '99                                                                                 - 6.67  - 1997    - 26 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Supernatural, Vampire                                                         - https://myanimelist.net/anime/1806
Master Mosquiton                                                                                     - 6.82  - 1996    - 6 episode(s)       - 27 min. per ep.       - Action, Adventure, Comedy, Demons, Supernatural, Vampire                                                 - https://myanimelist.net/anime/1805
Masuda Kousuke Gekijou Gag Manga Biyori +                                                            - 7.28  - 2010    - 12 episode(s)      - 5 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/7761
Masuda Kousuke Gekijou Gag Manga Biyori 2                                                            - 7.42  - 2006    - 12 episode(s)      - 5 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/2518
Masuda Kousuke Gekijou Gag Manga Biyori 3                                                            - 7.25  - 2008    - 12 episode(s)      - 5 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/4056
Masuda Kousuke Gekijou Gag Manga Biyori                                                              - 7.33  - 2005    - 12 episode(s)      - 5 min. per ep.        - Comedy, Parody                                                                                           - https://myanimelist.net/anime/1196
Matantei Loki Ragnarok                                                                               - 7.39  - 2003    - 26 episode(s)      - 24 min. per ep.       - Comedy, Magic, Mystery, Shounen, Supernatural                                                            - https://myanimelist.net/anime/335
Match Shoujo                                                                                         - 5.65  - 2016    - 1 episode(s)       - 1 min.                -                                                                                                          - https://myanimelist.net/anime/32695
Matsumotokiyoshi x Osomatsu-san                                                                      - 6.18  - 2016    - Unknown episode(s) - 42 sec.               - Comedy                                                                                                   - https://myanimelist.net/anime/36664
Mayoiga no Oneesan The Animation                                                                     - 7.05  - 2017    - 1 episode(s)       - 16 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/35727
Maze☆Bakunetsu Jikuu (TV)                                                                            - 6.76  - 1997    - 25 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Mecha, Shounen                                                               - https://myanimelist.net/anime/1161
Maze☆Bakunetsu Jikuu: Hot Springs                                                                    - 6.38  - 2004    - 1 episode(s)       - 22 min.               - Action, Comedy, Ecchi, Fantasy                                                                           - https://myanimelist.net/anime/3884
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant                                                          - 6.15  - 1998    - 1 episode(s)       - 42 min.               - Adventure, Comedy, Fantasy, Mecha, Shounen                                                               - https://myanimelist.net/anime/8442
Maze☆Bakunetsu Jikuu                                                                                 - 6.20  - 1996    - 2 episode(s)       - 30 min. per ep.       - Adventure, Comedy, Fantasy, Mecha, Shounen                                                               - https://myanimelist.net/anime/1162
Mazinger Z Movie: Infinity                                                                           - 6.98  - 2018    - 1 episode(s)       - 1 hr. 35 min.         - Action, Sci-Fi, Comedy, Super Power, Mecha, Shounen                                                      - https://myanimelist.net/anime/34820
Mazinger Z                                                                                           - 7.42  - 1972    - 92 episode(s)      - 25 min. per ep.       - Action, Drama, Mecha, Sci-Fi, Shounen                                                                    - https://myanimelist.net/anime/2253
Mazinkaiser: Shitou! Ankoku Dai Shogun                                                               - 7.30  - 2003    - 1 episode(s)       - 56 min.               - Action, Mecha                                                                                            - https://myanimelist.net/anime/2734
Mazinkaiser                                                                                          - 7.43  - 2001    - 7 episode(s)       - 30 min. per ep.       - Adventure, Comedy, Mecha, Sci-Fi, Shounen                                                                - https://myanimelist.net/anime/1064
Mechiku                                                                                              - 5.16  - 1999    - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/3542
Medaka Box Abnormal                                                                                  - 7.57  - 2012    - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power                                        - https://myanimelist.net/anime/14527
Medaka Box                                                                                           - 7.17  - 2012    - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power                                        - https://myanimelist.net/anime/11761
Medamayaki no Kimi Itsu Tsubusu?                                                                     - 5.92  - 2014    - 4 episode(s)       - 18 min. per ep.       - Comedy, Seinen                                                                                           - https://myanimelist.net/anime/24275
Megami Kouhosei                                                                                      - 6.51  - 2000    - 12 episode(s)      - 24 min. per ep.       - Action, Mecha, Military, Sci-Fi, Space                                                                   - https://myanimelist.net/anime/888
Megami Tantei Vinus File                                                                             - 5.52  - 2003    - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/6015
Megane na Kanojo                                                                                     - 6.74  - 2010    - 4 episode(s)       - 14 min. per ep.       - Comedy, Romance, School, Shounen                                                                         - https://myanimelist.net/anime/9335
Meiou Project Zeorymer                                                                               - 6.29  - 1988    - 4 episode(s)       - 25 min. per ep.       - Action, Sci-Fi, Psychological, Drama, Mecha                                                              - https://myanimelist.net/anime/1832
Meisou! Underworld                                                                                   - 5.77  - 2014    - 1 episode(s)       - 2 min.                - Action, Supernatural, Thriller                                                                           - https://myanimelist.net/anime/23837
Meisou-Ou Border                                                                                     - 5.66  - 1991    - 1 episode(s)       - 43 min.               - Adventure, Seinen                                                                                        - https://myanimelist.net/anime/16255
Memories                                                                                             - 7.81  - 1995    - 3 episode(s)       - 37 min. per ep.       - Sci-Fi, Horror, Psychological, Drama                                                                     - https://myanimelist.net/anime/1462
Menkui!                                                                                              - 7.24  - 2011    - 2 episode(s)       - 28 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/10419
Mermaid Forest OVA                                                                                   - 6.93  - 1991    - 1 episode(s)       - 55 min.               - Drama, Fantasy, Horror, Mystery                                                                          - https://myanimelist.net/anime/2016
Mermaid Melody Pichi Pichi Pitch Pure                                                                - 7.18  - 2004    - 39 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Magic, Romance, Shoujo                                                                - https://myanimelist.net/anime/1110
Mermaid Melody Pichi Pichi Pitch                                                                     - 7.11  - 2003    - 52 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Magic, Romance, Shoujo                                                                - https://myanimelist.net/anime/521
Mermaid's Scar                                                                                       - 6.99  - 1993    - 1 episode(s)       - 45 min.               - Drama, Fantasy, Horror, Mystery                                                                          - https://myanimelist.net/anime/2017
Mesu Nochi Torare                                                                                    - 6.12  - 2013    - 2 episode(s)       - 14 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/17539
Mesu Saga: Persona                                                                                   - 6.66  - 2013    - 1 episode(s)       - 24 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/19103
Metal Fight Beyblade 4D                                                                              - 6.88  - 2011    - 52 episode(s)      - 24 min. per ep.       - Adventure, Sports                                                                                        - https://myanimelist.net/anime/10370
Metal Fight Beyblade Zero G Specials                                                                 - 6.22  - 2013    - 7 episode(s)       - 25 min. per ep.       - Adventure, Sports                                                                                        - https://myanimelist.net/anime/21479
Metal Fight Beyblade Zero G                                                                          - 6.43  - 2012    - 38 episode(s)      - 12 min. per ep.       - Adventure, Sports                                                                                        - https://myanimelist.net/anime/13231
Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze                                - 6.74  - 2010    - 1 episode(s)       - 1 hr. 16 min.         - Adventure, Comedy, Sports                                                                                - https://myanimelist.net/anime/8245
Metal Fight Beyblade: Baku                                                                           - 6.85  - 2010    - 51 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Sports                                                                                - https://myanimelist.net/anime/8410
Metal Fight Beyblade                                                                                 - 6.70  - 2009    - 51 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Sports                                                                                - https://myanimelist.net/anime/5962
Metropolis                                                                                           - 7.60  - 2001    - 1 episode(s)       - 1 hr. 49 min.         - Adventure, Drama, Police, Romance, Sci-Fi, Shounen                                                       - https://myanimelist.net/anime/522
Miami Guns                                                                                           - 6.58  - 2000    - 13 episode(s)      - 23 min. per ep.       - Comedy, Ecchi, Police, Shounen                                                                           - https://myanimelist.net/anime/783
Midnight Eye: Gokuu II                                                                               - 6.38  - 1989    - 1 episode(s)       - 53 min.               - Action, Sci-Fi, Adventure, Mystery, Super Power, Seinen                                                  - https://myanimelist.net/anime/1880
Midnight Eye: Gokuu                                                                                  - 6.52  - 1989    - 1 episode(s)       - 50 min.               - Action, Sci-Fi, Mystery, Seinen                                                                          - https://myanimelist.net/anime/1879
Midnight Panther                                                                                     - 5.82  - 1998    - 2 episode(s)       - 30 min. per ep.       - Action, Adventure, Fantasy, Hentai                                                                       - https://myanimelist.net/anime/1763
Midori no Hibi                                                                                       - 7.39  - 2004    - 13 episode(s)      - 24 min. per ep.       - Comedy, Drama, Romance, Ecchi, Shounen                                                                   - https://myanimelist.net/anime/330
Midori no Makibao Compilation OVA                                                                    - 5.92  - Unknown - 1 episode(s)       - 38 min.               - Sports, Comedy                                                                                           - https://myanimelist.net/anime/30723
Midori no Makibao                                                                                    - 6.62  - 1996    - 61 episode(s)      - 24 min. per ep.       - Sports, Comedy                                                                                           - https://myanimelist.net/anime/3550
Midori no Neko                                                                                       - 5.55  - 1983    - 1 episode(s)       - 24 min.               - Mystery                                                                                                  - https://myanimelist.net/anime/11799
Mikan Enikki Specials                                                                                - 6.52  - 1993    - 2 episode(s)       - 20 min. per ep.       - Slice of Life, Comedy, Shoujo                                                                            - https://myanimelist.net/anime/25661
Mikan Enikki                                                                                         - 7.29  - 1992    - 30 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, Romance, Shoujo                                                                   - https://myanimelist.net/anime/3345
Milky Passion: Dougenzaka - Ai no Shiro                                                              - 5.74  - 1990    - 1 episode(s)       - 28 min.               - Romance, Josei                                                                                           - https://myanimelist.net/anime/16954
Mimi wo Sumaseba                                                                                     - 8.30  - 1995    - 1 episode(s)       - 1 hr. 51 min.         - Slice of Life, Drama, Romance, Shoujo                                                                    - https://myanimelist.net/anime/585
Minami Kamakura Koukou Joshi Jitenshabu: Kita yo, Taiwan!                                            - 6.51  - 2017    - 1 episode(s)       - 23 min.               - Sports, School, Shounen                                                                                  - https://myanimelist.net/anime/34734
Minami Kamakura Koukou Joshi Jitenshabu                                                              - 6.22  - 2017    - 12 episode(s)      - 23 min. per ep.       - Sports, School, Shounen                                                                                  - https://myanimelist.net/anime/31422
Minami-ke Betsubara                                                                                  - 7.57  - 2009    - 1 episode(s)       - 25 min.               - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/5713
Minami-ke Natsuyasumi                                                                                - 7.48  - 2013    - 1 episode(s)       - 28 min.               - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/20221
Minami-ke Okaeri                                                                                     - 7.64  - 2009    - 13 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School                                                                            - https://myanimelist.net/anime/5162
Minami-ke Okawari                                                                                    - 7.40  - 2008    - 13 episode(s)      - 24 min. per ep.       - Comedy, School, Slice of Life                                                                            - https://myanimelist.net/anime/3225
Minami-ke Omatase                                                                                    - 7.49  - 2012    - 1 episode(s)       - 25 min.               - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/14575
Minami-ke Tadaima                                                                                    - 7.76  - 2013    - 13 episode(s)      - 24 min. per ep.       - Comedy, School, Slice of Life                                                                            - https://myanimelist.net/anime/14511
Minami-ke                                                                                            - 7.77  - 2007    - 13 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School                                                                            - https://myanimelist.net/anime/2963
Mind Game                                                                                            - 7.85  - 2004    - 1 episode(s)       - 1 hr. 44 min.         - Adventure, Comedy, Dementia, Psychological, Romance                                                      - https://myanimelist.net/anime/875
Minori Scramble!                                                                                     - 6.32  - 2012    - 1 episode(s)       - 39 min.               - Comedy                                                                                                   - https://myanimelist.net/anime/9523
Miracle Train: Chuo-sen e Youkoso                                                                    - 6.17  - 2009    - 1 episode(s)       - 1 min.                - Fantasy, Shoujo                                                                                          - https://myanimelist.net/anime/6327
Miracle☆Girls                                                                                        - 7.24  - 1993    - 51 episode(s)      - 24 min. per ep.       - Drama, Magic, Shoujo                                                                                     - https://myanimelist.net/anime/2834
Mirai Keisatsu Urashiman                                                                             - 6.83  - 1983    - 50 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Comedy, Police                                                                           - https://myanimelist.net/anime/2933
Mirai Nikki (TV): Ura Mirai Nikki                                                                    - 6.70  - 2012    - 10 episode(s)      - 2 min. per ep.        - Action, Comedy, Supernatural                                                                             - https://myanimelist.net/anime/12503
Mirai Nikki (TV)                                                                                     - 7.90  - 2011    - 26 episode(s)      - 23 min. per ep.       - Action, Psychological, Supernatural, Thriller, Mystery, Shounen                                          - https://myanimelist.net/anime/10620
Mirai Nikki: Redial                                                                                  - 7.62  - 2013    - 1 episode(s)       - 29 min.               - Action, Psychological, Supernatural, Shounen                                                             - https://myanimelist.net/anime/16762
Mirai Nikki                                                                                          - 7.47  - 2010    - 1 episode(s)       - 8 min.                - Action, Shounen, Supernatural                                                                            - https://myanimelist.net/anime/8460
Misute♡naide Daisy                                                                                   - 5.67  - 1997    - 12 episode(s)      - 24 min. per ep.       - Sci-Fi, Comedy, Romance, Shounen                                                                         - https://myanimelist.net/anime/1936
Misuzu: Ikenai Koto                                                                                  - 5.64  - 2016    - 1 episode(s)       - 14 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/33515
Mitsu x Mitsu Drops                                                                                  - 6.12  - 2006    - 2 episode(s)       - 27 min. per ep.       - Drama, Romance, School, Shoujo                                                                           - https://myanimelist.net/anime/1838
Mitsuami no Kamisama                                                                                 - 6.87  - 2015    - 1 episode(s)       - 28 min.               - Slice of Life, Drama, Seinen                                                                             - https://myanimelist.net/anime/32461
Mitsuboshi Colors                                                                                    - 7.52  - 2018    - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, Shounen                                                                           - https://myanimelist.net/anime/35078
Mitsudomoe                                                                                           - 7.69  - 2010    - 13 episode(s)      - 24 min. per ep.       - Comedy, School, Slice of Life                                                                            - https://myanimelist.net/anime/7627
Mitsume ga Tooru                                                                                     - 6.77  - 1990    - 48 episode(s)      - 24 min. per ep.       - Adventure                                                                                                - https://myanimelist.net/anime/5249
Miyakawa-ke no Kuufuku                                                                               - 6.57  - 2013    - 10 episode(s)      - 5 min. per ep.        - Slice of Life                                                                                            - https://myanimelist.net/anime/17637
Miyazaki Maya Daizukan                                                                               - 5.92  - 2010    - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/9599
Miyori no Mori                                                                                       - 7.02  - 2007    - 1 episode(s)       - 1 hr. 47 min.         - Slice of Life, Fantasy, Drama                                                                            - https://myanimelist.net/anime/2751
Miyuki                                                                                               - 6.86  - 1983    - 37 episode(s)      - 25 min. per ep.       - Romance, School, Shounen                                                                                 - https://myanimelist.net/anime/2231
Mizugi Kanojo: The Animation                                                                         - 7.44  - 2009    - 4 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/5959
Mizuiro Jidai                                                                                        - 6.98  - 1996    - 47 episode(s)      - 25 min. per ep.       - Slice of Life, Drama, Romance, School, Shoujo                                                            - https://myanimelist.net/anime/1040
Mobile Suit Gundam Thunderbolt 2nd Season                                                            - 7.41  - 2017    - 4 episode(s)       - 21 min. per ep.       - Action, Military, Sci-Fi, Space, Drama, Mecha                                                            - https://myanimelist.net/anime/34391
Mobile Suit Gundam Thunderbolt: Bandit Flower                                                        - 7.34  - 2017    - 1 episode(s)       - 1 hr. 29 min.         - Action, Military, Sci-Fi, Space, Drama, Mecha                                                            - https://myanimelist.net/anime/35949
Mobile Suit Gundam Thunderbolt: December Sky                                                         - 7.95  - 2016    - 1 episode(s)       - 1 hr. 9 min.          - Action, Military, Sci-Fi, Space, Drama, Mecha                                                            - https://myanimelist.net/anime/33221
Mobile Suit Gundam Thunderbolt                                                                       - 7.97  - 2015    - 4 episode(s)       - 18 min. per ep.       - Action, Military, Sci-Fi, Space, Drama, Mecha                                                            - https://myanimelist.net/anime/31973
Mobile Suit Gundam: The Origin                                                                       - 8.39  - 2015    - 6 episode(s)       - 1 hr. 3 min. per ep.  - Action, Military, Sci-Fi, Space, Mecha, Shounen                                                          - https://myanimelist.net/anime/10937
Moeru! Oniisan (OVA)                                                                                 - 5.76  - 1989    - 2 episode(s)       - 35 min. per ep.       - Comedy                                                                                                   - https://myanimelist.net/anime/11959
Moeru! Oniisan                                                                                       - 7.22  - 1988    - 24 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy                                                                                - https://myanimelist.net/anime/6067
Mokkai Shiyo?                                                                                        - 6.33  - 2014    - 1 episode(s)       - 17 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/24357
Momoiro Bouenkyou Anime Edition                                                                      - 5.76  - 2017    - 1 episode(s)       - 15 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/34758
Momoiro Milk                                                                                         - 6.46  - 2015    - 2 episode(s)       - 21 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/30269
Monkey Turn V                                                                                        - 6.57  - 2004    - 25 episode(s)      - 24 min. per ep.       - Action, Sports, Drama, Shounen                                                                           - https://myanimelist.net/anime/2741
Monkey Turn                                                                                          - 6.38  - 2004    - 25 episode(s)      - 23 min. per ep.       - Action, Sports, Drama, Shounen                                                                           - https://myanimelist.net/anime/2740
Monochrome Factor                                                                                    - 7.10  - 2008    - 24 episode(s)      - 24 min. per ep.       - Action, Shounen Ai, Supernatural                                                                         - https://myanimelist.net/anime/3656
Monster Extra                                                                                        - 6.75  - 2004    - 1 episode(s)       - 24 min.               - Drama, Horror, Mystery, Seinen                                                                           - https://myanimelist.net/anime/1109
Monster Musume no Iru Nichijou OVA                                                                   - 7.33  - 2016    - 2 episode(s)       - 24 min. per ep.       - Harem, Comedy, Romance, Ecchi, Fantasy, Seinen                                                           - https://myanimelist.net/anime/32698
Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga                                     - 6.61  - 2015    - 60 episode(s)      - 25 sec. per ep.       - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/31121
Monster Musume no Iru Nichijou                                                                       - 7.30  - 2015    - 12 episode(s)      - 23 min. per ep.       - Harem, Comedy, Romance, Ecchi, Fantasy, Seinen                                                           - https://myanimelist.net/anime/30307
Monster                                                                                              - 8.69  - 2004    - 74 episode(s)      - 24 min. per ep.       - Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller                                          - https://myanimelist.net/anime/19
Moonlight Mile 1st Season: Lift Off                                                                  - 7.25  - 2007    - 12 episode(s)      - 25 min. per ep.       - Adventure, Drama, Sci-Fi, Space                                                                          - https://myanimelist.net/anime/1941
Moonlight Mile 2nd Season: Touch Down                                                                - 7.46  - 2007    - 14 episode(s)      - 25 min. per ep.       - Adventure, Drama, Sci-Fi, Space                                                                          - https://myanimelist.net/anime/2929
Moonrakers                                                                                           - 5.66  - 2014    - 1 episode(s)       - 2 min.                - Drama, Sci-Fi, Space                                                                                     - https://myanimelist.net/anime/23835
Moshimoshi, Terumi Desu.                                                                             - N/A   - Unknown - Unknown episode(s) - Unknown               - Seinen, Slice of Life                                                                                    - https://myanimelist.net/anime/37246
Motto To LOVE-Ru                                                                                     - 7.52  - 2010    - 12 episode(s)      - 24 min. per ep.       - Sci-Fi, Harem, Comedy, Ecchi, School, Shounen                                                            - https://myanimelist.net/anime/9181
Mou Hasamazu ni wa Irarenai♥: Hoshi ni Onegai shitara Konnani Okkiku Nacchatta!                      - 6.82  - 2014    - 1 episode(s)       - 22 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/22039
Mouretsu Atarou (1990)                                                                               - 6.73  - 1990    - 34 episode(s)      - 24 min. per ep.       - Comedy, Kids, Slice of Life                                                                              - https://myanimelist.net/anime/12391
Mouretsu Atarou                                                                                      - 6.38  - 1969    - 90 episode(s)      - 25 min. per ep.       - Comedy, Kids, Slice of Life                                                                              - https://myanimelist.net/anime/20001
Mouryou Senki Madara                                                                                 - 6.24  - 1991    - 2 episode(s)       - 1 hr. per ep.         - Adventure, Demons, Supernatural, Shounen                                                                 - https://myanimelist.net/anime/1580
Mouse                                                                                                - 6.14  - 2003    - 12 episode(s)      - 14 min. per ep.       - Action, Comedy, Ecchi, Harem, Shounen                                                                    - https://myanimelist.net/anime/624
Moyashimon Returns                                                                                   - 7.25  - 2012    - 11 episode(s)      - 23 min. per ep.       - Comedy, School, Supernatural                                                                             - https://myanimelist.net/anime/13409
Moyashimon                                                                                           - 7.65  - 2007    - 11 episode(s)      - 23 min. per ep.       - Comedy, School, Supernatural                                                                             - https://myanimelist.net/anime/3001
Mudazumo Naki Kaikaku: The Legend of Koizumi                                                         - 7.05  - 2010    - 3 episode(s)       - 8 min. per ep.        - Comedy, Game, Parody, Seinen                                                                             - https://myanimelist.net/anime/6946
Mugen Shinshi: Bouken Katsugeki-hen                                                                  - 5.59  - 1987    - 1 episode(s)       - 49 min.               - Fantasy, Horror, Mystery                                                                                 - https://myanimelist.net/anime/8162
Muhyo to Rouji no Mahouritsu Soudan Jimusho                                                          - N/A   - 2018    - Unknown episode(s) - Unknown               - Action, Comedy, Supernatural, Mystery, Shounen                                                           - https://myanimelist.net/anime/37487
Mujaki no Rakuen                                                                                     - 6.06  - 2014    - 3 episode(s)       - 26 min. per ep.       - Comedy, Ecchi, Romance, School, Seinen                                                                   - https://myanimelist.net/anime/23423
Murder Princess                                                                                      - 7.10  - 2007    - 6 episode(s)       - 24 min. per ep.       - Action, Adventure, Fantasy                                                                               - https://myanimelist.net/anime/1696
Musashi no Ken                                                                                       - 7.35  - 1985    - 72 episode(s)      - 20 min. per ep.       - Shounen, Sports                                                                                          - https://myanimelist.net/anime/4062
Mushibugyou OVA                                                                                      - 7.16  - 2014    - 3 episode(s)       - 23 min. per ep.       - Action, Historical, Super Power, Ecchi, Martial Arts, Samurai, Fantasy, Shounen                          - https://myanimelist.net/anime/24171
Mushibugyou                                                                                          - 7.44  - 2013    - 26 episode(s)      - 23 min. per ep.       - Action, Historical, Super Power, Ecchi, Martial Arts, Samurai, Fantasy, Shounen                          - https://myanimelist.net/anime/17505
Mushishi Special: Hihamukage                                                                         - 8.64  - 2014    - 1 episode(s)       - 45 min.               - Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen                             - https://myanimelist.net/anime/21329
Mushishi Zoku Shou 2nd Season                                                                        - 8.83  - 2014    - 10 episode(s)      - 23 min. per ep.       - Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural                             - https://myanimelist.net/anime/24701
Mushishi Zoku Shou: Odoro no Michi                                                                   - 8.52  - 2014    - 1 episode(s)       - 47 min.               - Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen                             - https://myanimelist.net/anime/24687
Mushishi Zoku Shou: Suzu no Shizuku                                                                  - 8.71  - 2015    - 1 episode(s)       - 47 min.               - Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural                             - https://myanimelist.net/anime/28957
Mushishi Zoku Shou                                                                                   - 8.77  - 2014    - 10 episode(s)      - 24 min. per ep.       - Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen                             - https://myanimelist.net/anime/21939
Mushishi                                                                                             - 8.74  - 2005    - 26 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural                             - https://myanimelist.net/anime/457
Muteki Kanban Musume                                                                                 - 7.19  - 2006    - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Martial Arts, Parody, Shounen                                                            - https://myanimelist.net/anime/1738
Mutsu Enmei Ryuu Gaiden: Shura no Toki                                                               - 7.65  - 2004    - 26 episode(s)      - 23 min. per ep.       - Action, Historical, Martial Arts, Samurai, Shounen                                                       - https://myanimelist.net/anime/340
Mutsugo to Ouma no Monogatari                                                                        - 6.44  - 2016    - 6 episode(s)       - 2 min. per ep.        - Comedy, Parody, Sports                                                                                   - https://myanimelist.net/anime/34239
Muttsuri Dosukebe Tsuyu Gibo Shimai no Honshitsu Minuite Sex Sanmai                                  - N/A   - 2018    - 2 episode(s)       - Unknown               - Hentai                                                                                                   - https://myanimelist.net/anime/37233
My Life As                                                                                           - 5.14  - 1999    - 1 episode(s)       - 30 min.               - Comedy, Hentai, Yuri                                                                                     - https://myanimelist.net/anime/5383
MÄR                                                                                                  - 7.39  - 2005    - 102 episode(s)     - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy, Shounen                                                              - https://myanimelist.net/anime/738
Nabari no Ou                                                                                         - 7.40  - 2008    - 26 episode(s)      - 24 min. per ep.       - Action, Fantasy, Supernatural, Comedy, Drama, Shounen                                                    - https://myanimelist.net/anime/3655
Nagareboshi Lens                                                                                     - 6.75  - 2012    - 1 episode(s)       - 18 min.               - Romance, Shoujo                                                                                          - https://myanimelist.net/anime/13833
Nagasarete Airantou                                                                                  - 7.39  - 2007    - 26 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Fantasy, Harem, Romance                                                                   - https://myanimelist.net/anime/1722
