Title                                                                  - Score - Year    - Num Eps      - Duration           - Genre(s)                                                       - Link

Magic-Kyun! Renaissance                                                - 7.01  - 2016    - 13 episodes  - 23 min per ep      - Fantasy, Music, Reverse Harem, Romance, School, Visual Arts    - https://myanimelist.net/anime/33299
Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation - 6.53  - 2017    - 1 episode    - 20 min             - Fantasy, Idols (Male), Music, Reverse Harem, Romance, School   - https://myanimelist.net/anime/38854
Megaton-kyuu Musashi 2nd Season                                        - 6.47  - 2022    - 15 episodes  - 27 min per ep      - Action, Mecha, School, Sci-Fi                                  - https://myanimelist.net/anime/50559
Megaton-kyuu Musashi                                                   - 6.26  - 2021    - 13 episodes  - 25 min per ep      - Action, Mecha, School, Sci-Fi                                  - https://myanimelist.net/anime/33737
Microphone Soul Spinners: Kotodama Shoujo                              - None  - 2020    - 24 episodes  - 9 min per ep       - Music                                                          - https://myanimelist.net/anime/40121
Mida                                                                   - None  - 2013    - 1 episode    - 1 hr 29 min        - Action, Award Winning, Drama                                   - https://myanimelist.net/anime/54533
Mikagura Gakuen Kumikyoku (TV)                                         - 6.68  - 2015    - 12 episodes  - 24 min per ep      - Action, Comedy, Girls Love, School, Super Power, Visual Arts   - https://myanimelist.net/anime/28817
Mini Hama: Minimum Hamatora Movies                                     - 6.03  - 2015    - 2 episodes   - 5 min per ep       - Comedy, Mystery, School, Super Power                           - https://myanimelist.net/anime/31923
Mini Hama: Minimum Hamatora                                            - 6.23  - 2015    - 8 episodes   - 5 min per ep       - Comedy, Mystery, School, Super Power                           - https://myanimelist.net/anime/30291
Miracle Train: Chuo-sen e Youkoso                                      - 5.90  - 2009    - 1 episode    - 1 min              - Fantasy                                                        - https://myanimelist.net/anime/6327
Miracle☆Train: Oedo-sen e Youkoso                                      - 6.46  - 2009    - 13 episodes  - 23 min per ep      - Fantasy                                                        - https://myanimelist.net/anime/7103
Mou Ichido Luminous                                                    - 6.55  - 2018    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/37955
Nanatsu no Bitoku                                                      - 5.25  - 2018    - 10 episodes  - 4 min per ep       - Ecchi, Fantasy                                                 - https://myanimelist.net/anime/36847
Neo-Aspect                                                             - 7.44  - 2018    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/37954
Neppuu Kairiku Bushi Road: Kibou e no Michi                            - None  - 2014    - 1 episode    - 5 min              - Action, Fantasy, Sci-Fi                                        - https://myanimelist.net/anime/41139
Neppuu Kairiku Bushi Road                                              - 7.16  - 2013    - 1 episode    - 1 hr 33 min        - Action, Fantasy, Mecha, Sci-Fi                                 - https://myanimelist.net/anime/19653
Nico Niconnect!                                                        - 5.84  - 2021    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/48772
Null Peta                                                              - 6.39  - 2019    - 12 episodes  - 5 min per ep       - Comedy, Sci-Fi                                                 - https://myanimelist.net/anime/40178
Nyochio ga Yattekuru☆Yaa☆Yaa☆Yaa☆                                      - None  - 2023    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/55391
One of Us                                                              - 6.40  - 2020    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/45108
Ooyukiumi no Kaina Special                                             - None  - 2023    - Ongoing      - 10 min             - Fantasy, Survival                                              - https://myanimelist.net/anime/54562
Ooyukiumi no Kaina: Hoshi no Kenja                                     - None  - 2023    - 1 episode    - 1 hr 40 min        - Fantasy, Shounen                                               - https://myanimelist.net/anime/54122
Ooyukiumi no Kaina                                                     - 6.67  - 2023    - 11 episodes  - 22 min per ep      - Fantasy, Survival                                              - https://myanimelist.net/anime/50864
Overd                                                                  - None  - 2022    - 1 episode    - 3 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/55954
Paradox Live the Animation                                             - None  - 2023    - Ongoing      - Unknown            - Music                                                          - https://myanimelist.net/anime/51956
Persona (Music)                                                        - 6.46  - 2023    - 1 episode    - 5 min              - Avant Garde, Idols (Female), Psychological                     - https://myanimelist.net/anime/54369
Prima Doll                                                             - 7.11  - 2022    - 12 episodes  - 24 min per ep      - Sci-Fi, Slice of Life                                          - https://myanimelist.net/anime/50917
Project Scard: Praeter no Kizu                                         - 5.88  - 2021    - 13 episodes  - 23 min per ep      - Action, Super Power                                            - https://myanimelist.net/anime/42825
Psychotic Polka                                                        - 6.87  - 2022    - 1 episode    - 4 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52827
Puraore! Pride of Orange                                               - 6.28  - 2021    - 12 episodes  - 23 min per ep      - Sports, Team Sports                                            - https://myanimelist.net/anime/44274
Re:Stage! Dream Days♪                                                  - 6.68  - 2019    - 12 episodes  - 23 min per ep      - Idols (Female), Music, School, Slice of Life                   - https://myanimelist.net/anime/38009
Re:␣Hamatora                                                           - 7.35  - 2014    - 12 episodes  - 24 min per ep      - Action, Detective, Mystery, Super Power, Supernatural          - https://myanimelist.net/anime/23421
Repaint                                                                - 6.52  - 2022    - 1 episode    - 5 min              - Music                                                          - https://myanimelist.net/anime/51087
Rinkai!                                                                - None  - Unknown - Ongoing      - Unknown            - Sports                                                         - https://myanimelist.net/anime/54859
Riyuu tto Kitte Kyuu tsu!!!                                            - 6.30  - 2022    - 1 episode    - 1 min              - Fantasy, Idols (Female), Music                                 - https://myanimelist.net/anime/53075
Sabiiro no Armor: Reimei                                               - 3.84  - 2022    - 12 episodes  - 23 min per ep      - Action, Historical, Samurai                                    - https://myanimelist.net/anime/39917
Saint Beast: Ikusen no Hiru to Yoru-hen                                - 6.22  - 2005    - 2 episodes   - 25 min per ep      - Fantasy                                                        - https://myanimelist.net/anime/3004
Saint Beast: Kouin Jojishi Tenshi Tan                                  - 6.31  - 2007    - 13 episodes  - 25 min per ep      - Fantasy                                                        - https://myanimelist.net/anime/2153
Saint Beast: Seijuu Kourin-hen                                         - 5.97  - 2003    - 6 episodes   - 25 min per ep      - Action, Fantasy, Supernatural                                  - https://myanimelist.net/anime/1037
Sanrio Danshi                                                          - 6.68  - 2018    - 12 episodes  - 24 min per ep      - Drama, Otaku Culture, School                                   - https://myanimelist.net/anime/34839
Sayonara Hero                                                          - 6.20  - 2019    - 1 episode    - 4 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52346
Selection Project                                                      - 7.25  - 2021    - 13 episodes  - 23 min per ep      - Idols (Female), Music                                          - https://myanimelist.net/anime/44275
Selepro-chan! Gekijou                                                  - None  - 2021    - 13 episodes  - 1 min per ep       - Comedy, Idols (Female)                                         - https://myanimelist.net/anime/50882
Senkou                                                                 - 6.73  - 2022    - 1 episode    - 2 min              - Action, Music                                                  - https://myanimelist.net/anime/51378
Shallys                                                                - 6.27  - 2020    - 1 episode    - 4 min              - Music                                                          - https://myanimelist.net/anime/44263
Shark'd                                                                - 7.42  - 2022    - 1 episode    - 3 min              - Comedy, Fantasy, Idols (Female)                                - https://myanimelist.net/anime/53074
Shine Post                                                             - 7.55  - 2022    - 12 episodes  - 22 min per ep      - Drama, Idols (Female), Music                                   - https://myanimelist.net/anime/50221
Shounen Hollywood: Holly Stage for 49                                  - 6.06  - 2014    - 13 episodes  - 24 min per ep      - Idols (Male), Music, Performing Arts                           - https://myanimelist.net/anime/23151
Shounen Hollywood: Holly Stage for 50                                  - 6.49  - 2015    - 13 episodes  - 23 min per ep      - Idols (Male), Music, Performing Arts                           - https://myanimelist.net/anime/27741
Shuwarin☆Dorimin                                                       - 6.31  - 2017    - 1 episode    - 1 min              - Music                                                          - https://myanimelist.net/anime/36919
Sprechchor                                                             - 6.55  - 2021    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/49669
Star Beat!: Hoshi no Kodou                                             - 6.89  - 2016    - 1 episode    - 6 min              - Music                                                          - https://myanimelist.net/anime/34252
Starry Regrets                                                         - 5.88  - 2019    - 1 episode    - 5 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52343
Summer Ghost                                                           - 7.88  - 2021    - 1 episode    - 39 min             - Supernatural                                                   - https://myanimelist.net/anime/48171
Survival of the Illest                                                 - 6.55  - 2020    - 1 episode    - 5 min              - Music                                                          - https://myanimelist.net/anime/48533
Synduality: Kagaku Kouza                                               - None  - 2023    - Ongoing      - 2 min              - Comedy, Sci-Fi                                                 - https://myanimelist.net/anime/55939
Synduality: Noir                                                       - 6.79  - 2023    - 24 episodes  - 24 min per ep      - Sci-Fi                                                         - https://myanimelist.net/anime/53026
Takt Op. Destiny                                                       - 7.15  - 2021    - 12 episodes  - 23 min per ep      - Action, Fantasy, Music, Sci-Fi                                 - https://myanimelist.net/anime/48556
Technoroid: Overmind                                                   - 6.52  - 2023    - 12 episodes  - 24 min per ep      - Idols (Male), Music, Mystery, Sci-Fi                           - https://myanimelist.net/anime/50284
Tell Your World                                                        - 6.87  - 2012    - 1 episode    - 4 min              - Music                                                          - https://myanimelist.net/anime/15673
That Is How I Roll!                                                    - 6.30  - 2017    - 1 episode    - 1 min              - Music                                                          - https://myanimelist.net/anime/36921
The Circle Of Butterflies                                              - 6.38  - 2022    - 1 episode    - 4 min              - Music                                                          - https://myanimelist.net/anime/53330
The Snack World (TV)                                                   - None  - 2017    - 50 episodes  - 23 min per ep      - Adventure, Comedy, Fantasy, Kids                               - https://myanimelist.net/anime/32596
The Snack World: Hitogirai no Renny                                    - None  - 2016    - 1 episode    - 10 min             - Adventure, Comedy, Fantasy, Kids                               - https://myanimelist.net/anime/34416
The Snack World                                                        - None  - 2015    - 1 episode    - 8 min              - Adventure, Comedy, Fantasy, Kids                               - https://myanimelist.net/anime/32593
Title Idol                                                             - 6.50  - 2020    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/45109
Tribe Nine                                                             - 6.08  - 2022    - 12 episodes  - 23 min per ep      - Sci-Fi, Sports, Team Sports                                    - https://myanimelist.net/anime/49969
Tsukipro The Animation 2                                               - 6.38  - 2021    - 13 episodes  - 23 min per ep      - Idols (Male), Music                                            - https://myanimelist.net/anime/37008
Tsukipro The Animation                                                 - 6.69  - 2017    - 13 episodes  - 23 min per ep      - Idols (Male), Music                                            - https://myanimelist.net/anime/34474
Tsunagu, Soramoyou                                                     - 6.40  - 2018    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/38392
