Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                      - Link
Aoi Sekai no Chuushin de                                                                             - 5.95  - 2012 - 3 episode(s)       - 23 min. per ep.       - Action, Adventure, Ecchi, Fantasy, Parody, Shounen                                            - https://myanimelist.net/anime/15133
Aoi Taiken                                                                                           - 4.81  - 1984 - 2 episode(s)       - 25 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/8574
Aoki Hagane no Arpeggio: Ars Nova Cadenza                                                            - 8.03  - 2015 - 1 episode(s)       - 1 hr. 45 min.         - Action, Sci-Fi, Seinen                                                                        - https://myanimelist.net/anime/24921
Aoki Hagane no Arpeggio: Ars Nova                                                                    - 7.50  - 2013 - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Seinen                                                                        - https://myanimelist.net/anime/18893
Aoki Ryuusei SPT Layzner                                                                             - 7.40  - 1985 - 38 episode(s)      - 24 min. per ep.       - Space, Mecha, Military, Sci-Fi                                                                - https://myanimelist.net/anime/3079
Aozora Shoujo-tai                                                                                    - 6.57  - 1994 - 7 episode(s)       - 28 min. per ep.       - Action, Comedy, Military, Romance, Shounen                                                    - https://myanimelist.net/anime/1233
Apache Yakyuugun                                                                                     - 6.08  - 1971 - 26 episode(s)      - 25 min. per ep.       - Action, Sports, School                                                                        - https://myanimelist.net/anime/3844
Appleseed Saga Ex Machina                                                                            - 7.44  - 2007 - 1 episode(s)       - 1 hr. 44 min.         - Action, Mecha, Military, Sci-Fi                                                               - https://myanimelist.net/anime/2969
Appleseed XIII Remix Movie 2: Yogen                                                                  - 6.56  - 2011 - 1 episode(s)       - 1 hr. 24 min.         - Action, Mecha, Military, Sci-Fi, Police                                                       - https://myanimelist.net/anime/10693
Apron Hero                                                                                           - 3.93  - 1995 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                   - https://myanimelist.net/anime/36292
Arabian Nights: Sindbad no Bouken (TV)                                                               - 7.25  - 1975 - 52 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Magic, Romance                                                            - https://myanimelist.net/anime/2825
Arakawa Under the Bridge x Bridge                                                                    - 7.82  - 2010 - 13 episode(s)      - 23 min. per ep.       - Comedy, Romance, Seinen                                                                       - https://myanimelist.net/anime/9074
Arata naru Sekai: World's/Start/Load/End                                                             - 6.42  - 2012 - 1 episode(s)       - 30 min.               - Sci-Fi                                                                                        - https://myanimelist.net/anime/14373
Argento Soma                                                                                         - 6.88  - 2000 - 25 episode(s)      - 25 min. per ep.       - Action, Adventure, Drama, Mecha, Military, Sci-Fi                                             - https://myanimelist.net/anime/285
Aria The Animation                                                                                   - 7.75  - 2005 - 13 episode(s)      - 24 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                                       - https://myanimelist.net/anime/477
Aries: Shinwa no Seizakyuu                                                                           - 4.81  - 1990 - 1 episode(s)       - 45 min.               - Fantasy, Romance, Shoujo, Supernatural                                                        - https://myanimelist.net/anime/22271
Asa ga Kuru mae ni: Sasurai Version                                                                  - 5.49  - 2010 - 1 episode(s)       - 5 min.                - Romance, Music                                                                                - https://myanimelist.net/anime/22411
Asatte no Houkou.                                                                                    - 7.13  - 2006 - 12 episode(s)      - 25 min. per ep.       - Supernatural, Drama                                                                           - https://myanimelist.net/anime/1554
Asgaldh: The Distortion Testament                                                                    - 5.85  - 2001 - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/2872
Ashinaga Ojisan                                                                                      - 5.56  - 1979 - 1 episode(s)       - 1 hr.                 - Comedy, Drama, Shoujo                                                                         - https://myanimelist.net/anime/20587
Ashita Aou ne                                                                                        - 3.19  - 2008 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                   - https://myanimelist.net/anime/36055
Ashita Tenki ni Naare                                                                                - 6.32  - 1984 - 47 episode(s)      - 22 min. per ep.       - Sports, Shounen                                                                               - https://myanimelist.net/anime/3131
Ashita no Joe 2                                                                                      - 8.60  - 1980 - 47 episode(s)      - 24 min. per ep.       - Action, Drama, Shounen, Slice of Life, Sports                                                 - https://myanimelist.net/anime/2921
Asobot Senki Gokuu                                                                                   - 6.83  - 2002 - 52 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Adventure, Comedy, Shounen                                                    - https://myanimelist.net/anime/3193
Astroganger                                                                                          - 6.84  - 1972 - 26 episode(s)      - 24 min. per ep.       - Action, Mecha, Sci-Fi                                                                         - https://myanimelist.net/anime/5311
Asura Cryin' 2                                                                                       - 7.41  - 2009 - 13 episode(s)      - 24 min. per ep.       - Action, Supernatural, Mecha                                                                   - https://myanimelist.net/anime/6676
Atagoal wa Neko no Mori                                                                              - 6.02  - 2006 - 1 episode(s)       - 1 hr. 21 min.         - Kids                                                                                          - https://myanimelist.net/anime/5503
Avenger                                                                                              - 5.97  - 2003 - 13 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Sci-Fi, Shounen                                                           - https://myanimelist.net/anime/56
Avignon no Hashi de                                                                                  - 4.99  - 1970 - 1 episode(s)       - 2 min.                - Music, Kids                                                                                   - https://myanimelist.net/anime/8778
B Who I Want 2 B                                                                                     - 5.53  - 2015 - 1 episode(s)       - 2 min.                - Music                                                                                         - https://myanimelist.net/anime/31880
BaBuKa: Gokudou no Tsuma                                                                             - 5.75  - 2011 - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/11469
Babel Nisei (2001)                                                                                   - 5.84  - 2001 - 13 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Adventure, Mystery, Supernatural, Shounen                                     - https://myanimelist.net/anime/1664
Baby Felix                                                                                           - 5.54  - 2000 - 65 episode(s)      - 12 min. per ep.       - Comedy, Kids                                                                                  - https://myanimelist.net/anime/8220
Backstage Idol Story                                                                                 - 5.63  - 2012 - 8 episode(s)       - 10 min. per ep.       - Music                                                                                         - https://myanimelist.net/anime/15787
Bad Badtz-Maru no Ore wa Yuutousei                                                                   - 4.56  - 1995 - 1 episode(s)       - 9 min.                - Kids, Comedy                                                                                  - https://myanimelist.net/anime/30124
Bad Badtz-Maru no Otoko Dokyou no Omoiyari                                                           - 4.79  - 1995 - 1 episode(s)       - 14 min.               - Comedy                                                                                        - https://myanimelist.net/anime/30125
Bad End                                                                                              - 5.46  - 2002 - 2 episode(s)       - 28 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/2821
Baguda-jou no Touzoku                                                                                - 5.30  - 1926 - 1 episode(s)       - 15 min.               - Adventure, Historical, Romance                                                                - https://myanimelist.net/anime/28041
Baja no Studio                                                                                       - 6.99  - 2017 - 1 episode(s)       - 21 min.               - Fantasy, Magic                                                                                - https://myanimelist.net/anime/35965
Baka Baka Baka na Sekai                                                                              - 4.34  - 1968 - 1 episode(s)       - 5 min.                - Military, Comedy, Dementia                                                                    - https://myanimelist.net/anime/29777
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi                                            - 7.31  - 2011 - 1 episode(s)       - 3 min.                - Comedy, Magic                                                                                 - https://myanimelist.net/anime/24727
Bakabon Osomatsu no Karee wo Tazunete Sansenri                                                       - 6.37  - 1991 - 1 episode(s)       - 44 min.               - Comedy                                                                                        - https://myanimelist.net/anime/24373
Bakuhatsu Sunzen!! Tenshi no Countdown                                                               - 5.63  - 2001 - 1 episode(s)       - 30 min.               - Comedy, Hentai, Yuri                                                                          - https://myanimelist.net/anime/3040
Bakuman. 2nd Season                                                                                  - 8.49  - 2011 - 25 episode(s)      - 24 min. per ep.       - Comedy, Drama, Romance, Shounen                                                               - https://myanimelist.net/anime/10030
Bakuman. 3rd Season                                                                                  - 8.67  - 2012 - 25 episode(s)      - 24 min. per ep.       - Comedy, Drama, Romance, Shounen                                                               - https://myanimelist.net/anime/12365
Bakuman.                                                                                             - 8.32  - 2010 - 25 episode(s)      - 24 min. per ep.       - Comedy, Drama, Romance, Shounen                                                               - https://myanimelist.net/anime/7674
Bakumatsu Kikansetsu Irohanihoheto                                                                   - 7.19  - 2006 - 26 episode(s)      - 24 min. per ep.       - Action, Drama, Historical, Samurai                                                            - https://myanimelist.net/anime/1576
Bakunyuu Bomb                                                                                        - 6.16  - 2009 - 3 episode(s)       - 17 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/7573
Bakuretsu Hunters                                                                                    - 6.82  - 1995 - 26 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen, Supernatural                               - https://myanimelist.net/anime/495
Bamboo Blade                                                                                         - 7.40  - 2007 - 26 episode(s)      - 24 min. per ep.       - Comedy, School, Seinen, Sports                                                                - https://myanimelist.net/anime/2986
Bannou Bunka Neko-Musume                                                                             - 6.76  - 1992 - 6 episode(s)       - 28 min. per ep.       - Sci-Fi, Adventure, Comedy, Mecha, Seinen                                                      - https://myanimelist.net/anime/373
Barbapapa                                                                                            - 6.18  - 1974 - 45 episode(s)      - 5 min. per ep.        - Fantasy, Comedy                                                                               - https://myanimelist.net/anime/2823
Bartender                                                                                            - 7.46  - 2006 - 11 episode(s)      - 23 min. per ep.       - Drama, Seinen, Slice of Life                                                                  - https://myanimelist.net/anime/1589
Battle Athletess Daiundoukai (TV)                                                                    - 7.00  - 1997 - 26 episode(s)      - 22 min. per ep.       - Action, Sci-Fi, Adventure, Comedy, Sports, Drama, School, Shounen                             - https://myanimelist.net/anime/1186
Battle Programmer Shirase                                                                            - 7.02  - 2003 - 15 episode(s)      - 12 min. per ep.       - Comedy, Ecchi, Sci-Fi                                                                         - https://myanimelist.net/anime/579
Bavel no Hon                                                                                         - 5.69  - 1996 - 1 episode(s)       - 5 min.                - Kids                                                                                          - https://myanimelist.net/anime/4458
Beck                                                                                                 - 8.37  - 2004 - 26 episode(s)      - 25 min. per ep.       - Comedy, Drama, Music, Shounen, Slice of Life                                                  - https://myanimelist.net/anime/57
Beelzebub: Hirotta Akachan wa Daimaou!?                                                              - 7.33  - 2010 - 1 episode(s)       - 30 min.               - Action, Supernatural, Comedy, School, Demons, Shounen                                         - https://myanimelist.net/anime/9120
Beet the Vandel Buster Excellion                                                                     - 6.80  - 2005 - 25 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Shounen, Supernatural                                                     - https://myanimelist.net/anime/1123
