Title                                                                                     - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Chao Zhi Neng Zu Qiu                                                                      - 7.13  - 2010 - 52 episode(s)      - 22 min. per ep.       - Comedy, Sports                                                                    - https://myanimelist.net/anime/36993
Chel-in sacheon-wang                                                                      - 4.55  - 1999 - 1 episode(s)       - 1 hr. 15 min.         - Action, Sci-Fi                                                                    - https://myanimelist.net/anime/30228
Cherry &amp; Gal&#039;s↑↑                                                                 - 6.46  - 2018 - 2 episode(s)       - 16 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/37089
Chi-Sui Maru                                                                              - 5.42  - 2010 - 41 episode(s)      - 1 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/8025
Chikan Densha                                                                             - 6.27  - 2003 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/4363
Chinpui                                                                                   - 6.18  - 1989 - 56 episode(s)      - 25 min. per ep.       - Comedy                                                                            - https://myanimelist.net/anime/5908
Chobits Recap                                                                             - 7.06  - 2003 - 1 episode(s)       - 24 min.               - Ecchi, Romance, Comedy, Sci-Fi, Drama                                             - https://myanimelist.net/anime/1311
Choco to Watashi                                                                          - 4.74  - 2014 - 1 episode(s)       - 3 min.                - Kids, Music                                                                       - https://myanimelist.net/anime/33526
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors                                  - 6.20  - 2010 - 1 episode(s)       - 13 min.               - Action, Mecha, Historical                                                         - https://myanimelist.net/anime/8132
Chou Hatsumei Boy Kanipan                                                                 - 6.91  - 1999 - 21 episode(s)      - 30 min. per ep.       - Adventure, Comedy, Mecha, Romance                                                 - https://myanimelist.net/anime/3690
Chou Kousoku Galvion                                                                      - 6.27  - 1984 - 22 episode(s)      - 25 min. per ep.       - Action, Military, Sci-Fi, Police, Mecha                                           - https://myanimelist.net/anime/6636
Choubatsu Yobikou                                                                         - 6.06  - 2004 - 2 episode(s)       - 30 min. per ep.       - Hentai, School                                                                    - https://myanimelist.net/anime/2435
Chouon Senshi Borgman: Madnight☆Gigs!                                                     - 5.00  - 1989 - 1 episode(s)       - 28 min.               - Action, Demons, Music, Sci-Fi, Shounen                                            - https://myanimelist.net/anime/30571
Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou                                     - 7.04  - 2013 - 2 episode(s)       - 29 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/16914
Cine Mileage Card x Asa da yo! Kaishain                                                   - 4.22  - 2017 - Unknown episode(s) - 15 sec.               - Music, Comedy                                                                     - https://myanimelist.net/anime/34911
Circus                                                                                    - 4.46  - 2018 - 1 episode(s)       - 1 min.                - Music                                                                             - https://myanimelist.net/anime/37404
Clarinet Kowashichatta                                                                    - 4.91  - 1963 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/24843
Cleavage                                                                                  - 6.75  - 2006 - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/3537
Cocktail Prince: Shaking Night!!                                                          - N/A   - 2018 - 1 episode(s)       - 1 min.                - Harem, Music                                                                      - https://myanimelist.net/anime/37316
Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e                                     - 7.27  - 2016 - 1 episode(s)       - 59 min.               - Action, Mecha, Military                                                           - https://myanimelist.net/anime/30711
Code Geass: Hangyaku no Lelouch II - Handou                                               - 7.65  - 2018 - 1 episode(s)       - Unknown               - Action, Military, Sci-Fi, Super Power, Mecha, School                              - https://myanimelist.net/anime/34439
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion                           - 7.73  - 2008 - 1 episode(s)       - 1 hr. 57 min.         - Action, Military, Super Power, Mecha, School                                      - https://myanimelist.net/anime/4596
Crayon Shin-chan Gaiden: Kazokuzure Ookami                                                - 6.61  - 2017 - 13 episode(s)      - 7 min. per ep.        - Action, Comedy, Ecchi, Samurai, Seinen                                            - https://myanimelist.net/anime/34835
Cross Road                                                                                - 7.50  - 2014 - 1 episode(s)       - 2 min.                - Slice of Life, School                                                             - https://myanimelist.net/anime/22839
Crush Gear Nitro                                                                          - 6.46  - 2003 - 50 episode(s)      - 23 min. per ep.       - Cars, Shounen, Sports                                                             - https://myanimelist.net/anime/7048
Crusher Joe OVA                                                                           - 6.66  - 1989 - 2 episode(s)       - 57 min. per ep.       - Action, Sci-Fi, Adventure                                                         - https://myanimelist.net/anime/2696
Cutey Honey F                                                                             - 6.66  - 1997 - 39 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo                         - https://myanimelist.net/anime/1853
Cynical Hysterie Hour: Henshin!                                                           - 5.18  - 1989 - 1 episode(s)       - 8 min.                - Comedy                                                                            - https://myanimelist.net/anime/6760
DC Super Heroes vs Taka no Tsume Dan Promotion Eizou                                      - 4.10  - 2018 - 1 episode(s)       - 2 min.                - Comedy, Parody, Super Power                                                       - https://myanimelist.net/anime/37249
DNA² OVA                                                                                  - 6.68  - 1995 - 3 episode(s)       - 23 min. per ep.       - Comedy, Drama, Sci-Fi                                                             - https://myanimelist.net/anime/1187
Dame Oyaji                                                                                - 6.11  - 1974 - 26 episode(s)      - 25 min. per ep.       - Slice of Life, Comedy                                                             - https://myanimelist.net/anime/10887
Danball Senki Wars: All Star Battle                                                       - 6.58  - 2014 - 1 episode(s)       - 9 min.                - Action, Kids, Mecha, School                                                       - https://myanimelist.net/anime/33957
Dance in the Vampire Bund Recap                                                           - 6.62  - 2010 - 1 episode(s)       - 24 min.               - Action, Supernatural, Vampire                                                     - https://myanimelist.net/anime/8211
Darling                                                                                   - 6.58  - 2003 - 3 episode(s)       - 26 min. per ep.       - Hentai, Comedy                                                                    - https://myanimelist.net/anime/3058
Decorator                                                                                 - 6.12  - 2014 - 1 episode(s)       - 3 min.                - Music                                                                             - https://myanimelist.net/anime/23483
