Title                                                                                         - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Arslan Senki (TV) Specials                                                                    - 6.74  - 2015 - 8 episode(s)       - 1 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/30953
Arslan Senki (TV): Dakkan no Yaiba                                                            - 6.55  - 2015 - 1 episode(s)       - 24 min.               - Action, Adventure, Fantasy, Supernatural, Historical, Drama                                              - https://myanimelist.net/anime/31128
Aru Zombie Shoujo no Sainan                                                                   - 4.79  - 2012 - 1 episode(s)       - 45 sec.               - Action, Horror                                                                                           - https://myanimelist.net/anime/31014
Asa kara Zusshiri Milk Pot                                                                    - 6.12  - 2011 - 2 episode(s)       - 19 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/10697
Asagiri no Miko                                                                               - 6.27  - 2002 - 26 episode(s)      - 12 min. per ep.       - Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural - https://myanimelist.net/anime/231
Ashita no Joe 2 (Movie)                                                                       - 7.45  - 1981 - 1 episode(s)       - 1 hr. 52 min.         - Drama, Sports                                                                                            - https://myanimelist.net/anime/2922
Asobi Asobase                                                                                 - N/A   - 2018 - Unknown episode(s) - Unknown               - Comedy, Drama, School                                                                                    - https://myanimelist.net/anime/37171
Asobi ni Iku yo!                                                                              - 6.81  - 2010 - 12 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Harem, Romance, Sci-Fi                                                                    - https://myanimelist.net/anime/6166
Asylum Session                                                                                - 5.13  - 2009 - 1 episode(s)       - 1 hr. 5 min.          - Sci-Fi, Seinen                                                                                           - https://myanimelist.net/anime/6281
Azumi Mamma★Mia                                                                               - 5.36  - 1997 - 60 episode(s)      - 5 min. per ep.        - Comedy, Kids                                                                                             - https://myanimelist.net/anime/22247
B-Project: Kodou*Ambitious                                                                    - 6.76  - 2016 - 12 episode(s)      - 24 min. per ep.       - Music, Shoujo                                                                                            - https://myanimelist.net/anime/33046
Baby Gamba                                                                                    - 4.43  - 2014 - 13 episode(s)      - 2 min. per ep.        - Comedy, Kids                                                                                             - https://myanimelist.net/anime/35710
Baby Princess 3D Paradise 0 [Love]                                                            - 6.56  - 2011 - 1 episode(s)       - 30 min.               - Ecchi, Harem, Seinen                                                                                     - https://myanimelist.net/anime/10196
Baccano!                                                                                      - 8.49  - 2007 - 13 episode(s)      - 24 min. per ep.       - Action, Mystery, Comedy, Historical, Supernatural                                                        - https://myanimelist.net/anime/2251
Back Street Girls                                                                             - N/A   - 2018 - Unknown episode(s) - Unknown               - Comedy, Ecchi, Seinen                                                                                    - https://myanimelist.net/anime/36873
Bad Badtz-Maru no Ookami ga Kita!                                                             - 5.65  - 2001 - 1 episode(s)       - 10 min.               - Kids, Fantasy                                                                                            - https://myanimelist.net/anime/22451
Bakemonogatari                                                                                - 8.36  - 2009 - 15 episode(s)      - 24 min. per ep.       - Mystery, Supernatural, Romance, Vampire                                                                  - https://myanimelist.net/anime/5081
Bakumatsu Rock                                                                                - 6.15  - 2014 - 12 episode(s)      - 23 min. per ep.       - Action, Music, Comedy, Historical, Shoujo                                                                - https://myanimelist.net/anime/23037
Bakusou Kyoudai Let's & Go!! WGP Bousou Mini Yonku Daitsuiseki                                - 6.71  - 1997 - 1 episode(s)       - 1 hr. 20 min.         - Adventure, Cars, Shounen, Sports                                                                         - https://myanimelist.net/anime/9858
Balgwanghaneun Hyeondaesa                                                                     - 6.24  - 2014 - 1 episode(s)       - 3 hr. 51 min.         - Drama                                                                                                    - https://myanimelist.net/anime/30249
Ballroom e Youkoso                                                                            - 8.35  - 2017 - 24 episode(s)      - 24 min. per ep.       - Comedy, Sports, Drama, Romance, School, Shounen                                                          - https://myanimelist.net/anime/34636
Banana Fish                                                                                   - N/A   - 2018 - Unknown episode(s) - Unknown               - Action, Adventure, Drama                                                                                 - https://myanimelist.net/anime/36649
Barakamon: Mijikamon                                                                          - 6.91  - 2014 - 13 episode(s)      - 2 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/25045
Barakamon                                                                                     - 8.47  - 2014 - 12 episode(s)      - 22 min. per ep.       - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/22789
Barbapapa Sekai wo Mawaru                                                                     - 6.03  - 1999 - 50 episode(s)      - 5 min. per ep.        - Adventure, Comedy                                                                                        - https://myanimelist.net/anime/2824
Batman: Gotham Knight                                                                         - 7.08  - 2008 - 6 episode(s)       - 12 min. per ep.       - Action, Adventure, Martial Arts                                                                          - https://myanimelist.net/anime/4094
Battery                                                                                       - 5.79  - 2016 - 11 episode(s)      - 23 min. per ep.       - Slice of Life, Sports, Drama                                                                             - https://myanimelist.net/anime/32947
Benkei tai Ushiwaka                                                                           - 5.33  - 1939 - 1 episode(s)       - 13 min.               - Action, Comedy                                                                                           - https://myanimelist.net/anime/12561
Benpiyaku Colace                                                                              - 3.75  - 2014 - 7 episode(s)       - 24 sec. per ep.       - Slice of Life                                                                                            - https://myanimelist.net/anime/34711
Berserk                                                                                       - 6.70  - 2016 - 12 episode(s)      - 24 min. per ep.       - Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural               - https://myanimelist.net/anime/32379
Bible Black Only Version                                                                      - 6.95  - 2005 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/2873
Bible Black: Imari Ryoujoku Genba                                                             - 6.67  - 2005 - 1 episode(s)       - 10 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/5347
Bible Black                                                                                   - 6.84  - 2001 - 6 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/368
Bijukubo                                                                                      - 6.47  - 2010 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/8655
Bikini Warriors                                                                               - 5.30  - 2015 - 12 episode(s)      - 4 min. per ep.        - Comedy, Ecchi, Fantasy, Parody                                                                           - https://myanimelist.net/anime/30782
Bikkuriman: Moen Zone no Himitsu                                                              - 5.41  - 1988 - 1 episode(s)       - 45 min.               - Action, Adventure, Kids                                                                                  - https://myanimelist.net/anime/10200
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!                                                     - 7.21  - 2016 - 12 episode(s)      - 24 min. per ep.       - Comedy, Magic, Parody, School, Slice of Life                                                             - https://myanimelist.net/anime/31417
Binbougami ga!                                                                                - 7.83  - 2012 - 13 episode(s)      - 23 min. per ep.       - Comedy, Parody, Shounen, Supernatural                                                                    - https://myanimelist.net/anime/13535
Biriken                                                                                       - 4.92  - 1988 - 32 episode(s)      - 13 min. per ep.       - Kids, Comedy                                                                                             - https://myanimelist.net/anime/8520
Birth                                                                                         - 6.04  - 1984 - 1 episode(s)       - 1 hr. 19 min.         - Action, Sci-Fi, Adventure, Comedy                                                                        - https://myanimelist.net/anime/2607
Bishoujo Senshi Sailor Moon Crystal                                                           - 7.01  - 2014 - 26 episode(s)      - 24 min. per ep.       - Demons, Magic, Romance, Shoujo                                                                           - https://myanimelist.net/anime/14751
Black Cat Special                                                                             - 7.25  - 2006 - 1 episode(s)       - 24 min.               - Action, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/2589
Black Gate: Kanin no Gakuen                                                                   - 5.96  - 2004 - 2 episode(s)       - 30 min. per ep.       - Fantasy, Hentai, Supernatural                                                                            - https://myanimelist.net/anime/2145
Black Jack (TV): Hizouban Specials                                                            - 7.25  - 2006 - 2 episode(s)       - 23 min. per ep.       - Adventure                                                                                                - https://myanimelist.net/anime/4071
Black★Rock Shooter (OVA)                                                                      - 7.21  - 2010 - 1 episode(s)       - 52 min.               - Action, Slice of Life, Drama, School                                                                     - https://myanimelist.net/anime/7059
Blade of the Immortal                                                                         - 6.90  - 2008 - 13 episode(s)      - 24 min. per ep.       - Action, Adventure, Historical, Samurai, Supernatural                                                     - https://myanimelist.net/anime/4151
Blade                                                                                         - 6.31  - 2011 - 12 episode(s)      - 24 min. per ep.       - Action, Drama, Horror, Vampire                                                                           - https://myanimelist.net/anime/6920
Blood Lad                                                                                     - 7.51  - 2013 - 10 episode(s)      - 24 min. per ep.       - Action, Comedy, Demons, Seinen, Supernatural, Vampire                                                    - https://myanimelist.net/anime/11633
Bloods: Inraku no Ketsuzoku 2                                                                 - 7.05  - 2011 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/10694
Blue Seed 2                                                                                   - 6.55  - 1996 - 3 episode(s)       - 28 min. per ep.       - Action, Comedy, Drama, Ecchi, Horror, Mystery, Sci-Fi, Supernatural                                      - https://myanimelist.net/anime/999
Boku no Son Gokuu                                                                             - 6.02  - 2003 - 1 episode(s)       - 1 hr. 35 min.         - Kids, Adventure, Fantasy                                                                                 - https://myanimelist.net/anime/20189
Boku no Yayoi-san 2                                                                           - 6.09  - 2016 - 2 episode(s)       - 20 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/33750
Bokura ga Ita                                                                                 - 7.47  - 2006 - 26 episode(s)      - 25 min. per ep.       - Slice of Life, Drama, Romance, Shoujo                                                                    - https://myanimelist.net/anime/1222
Bokurano Recap                                                                                - 6.21  - 2007 - 1 episode(s)       - 23 min.               - Drama, Mecha, Psychological, Sci-Fi                                                                      - https://myanimelist.net/anime/12877
Boo Boo Boy                                                                                   - 4.76  - 2015 - 26 episode(s)      - 2 min. per ep.        - Cars, Kids                                                                                               - https://myanimelist.net/anime/30892
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi                                       - 7.65  - 2016 - 1 episode(s)       - 10 min.               - Action, Comedy, Super Power, Martial Arts, Shounen                                                       - https://myanimelist.net/anime/32365
Bounen no Xamdou                                                                              - 7.78  - 2008 - 26 episode(s)      - 24 min. per ep.       - Action, Military, Sci-Fi                                                                                 - https://myanimelist.net/anime/4177
Brave Story                                                                                   - 7.54  - 2006 - 1 episode(s)       - 1 hr. 52 min.         - Action, Adventure, Fantasy, Kids, Magic, Supernatural                                                    - https://myanimelist.net/anime/1681
Break Blade Picture Drama                                                                     - 6.80  - 2010 - 6 episode(s)       - 2 min. per ep.        - Fantasy, Comedy                                                                                          - https://myanimelist.net/anime/8648
Brigadoon: Marin to Melan                                                                     - 7.40  - 2000 - 26 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Drama, Mecha, Sci-Fi                                                                  - https://myanimelist.net/anime/1450
Bronze: Kouji Nanjo Cathexis                                                                  - 6.42  - 1994 - 1 episode(s)       - 30 min.               - Music, Shounen Ai                                                                                        - https://myanimelist.net/anime/3007
Brothers Conflict                                                                             - 6.52  - 2013 - 12 episode(s)      - 24 min. per ep.       - Harem, Romance, Shoujo                                                                                   - https://myanimelist.net/anime/15605
Bug tte Honey: Megarom Shoujo Mai 4622                                                        - 3.67  - 1987 - 1 episode(s)       - 48 min.               - Adventure, Comedy                                                                                        - https://myanimelist.net/anime/31868
Buki yo Saraba                                                                                - 7.08  - 2013 - 1 episode(s)       - 25 min.               - Action, Drama, Sci-Fi                                                                                    - https://myanimelist.net/anime/17677
Bunbuku Chagama                                                                               - 6.00  - 1928 - 1 episode(s)       - 15 min.               - Kids                                                                                                     - https://myanimelist.net/anime/24881
Buzzer Beater 2nd Season                                                                      - 6.95  - 2007 - 13 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Sports, Shounen                                                                          - https://myanimelist.net/anime/2684
California Crisis: Tsuigeki no Juuka                                                          - 5.70  - 1986 - 1 episode(s)       - 45 min.               - Action, Adventure, Comedy                                                                                - https://myanimelist.net/anime/3127
Call Me Tonight                                                                               - 5.39  - 1986 - 1 episode(s)       - 30 min.               - Comedy, Horror, Romance, Sci-Fi                                                                          - https://myanimelist.net/anime/2147
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou                                        - 7.29  - 2012 - 13 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Fantasy, Harem, Magic, Romance                                                            - https://myanimelist.net/anime/12293
Canaan                                                                                        - 7.36  - 2009 - 13 episode(s)      - 23 min. per ep.       - Action                                                                                                   - https://myanimelist.net/anime/5356
Candy Candy: Candy no Natsu Yasumi                                                            - 6.79  - 1978 - 1 episode(s)       - 18 min.               - Slice of Life, Drama, Shoujo                                                                             - https://myanimelist.net/anime/2802
Captain Tsubasa: Europe Daikessen                                                             - 7.01  - 1985 - 1 episode(s)       - 42 min.               - Action, Sports, Shounen                                                                                  - https://myanimelist.net/anime/2118
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup                                              - 6.97  - 1986 - 1 episode(s)       - 57 min.               - Action, Shounen, Sports                                                                                  - https://myanimelist.net/anime/2121
Captain the Movie                                                                             - 6.71  - 1981 - 1 episode(s)       - 1 hr. 38 min.         - Sports, Shounen                                                                                          - https://myanimelist.net/anime/18759
Cardcaptor Sakura Movie 2: Fuuin Sareta Card                                                  - 8.29  - 2000 - 1 episode(s)       - 1 hr. 22 min.         - Comedy, Drama, Fantasy, Magic, Romance, Shoujo                                                           - https://myanimelist.net/anime/372
Cardcaptor Sakura: Kero-chan ni Omakase!                                                      - 7.45  - 2000 - 1 episode(s)       - 10 min.               - Comedy, Shoujo                                                                                           - https://myanimelist.net/anime/1078
Carnival Phantasm: HibiChika Special                                                          - 7.44  - 2012 - 1 episode(s)       - 26 min.               - Comedy, Supernatural                                                                                     - https://myanimelist.net/anime/15927
Cat Shit One                                                                                  - 7.14  - 2010 - 1 episode(s)       - 22 min.               - Action, Fantasy, Military                                                                                - https://myanimelist.net/anime/6280
Cat's Eye                                                                                     - 7.24  - 1983 - 73 episode(s)      - 25 min. per ep.       - Action, Adventure, Comedy, Mystery, Romance                                                              - https://myanimelist.net/anime/2043
Catchy-kun no Nice Catch!                                                                     - 4.00  - 2017 - 13 episode(s)      - Unknown               - Comedy                                                                                                   - https://myanimelist.net/anime/35914
Cencoroll                                                                                     - 7.31  - 2009 - 1 episode(s)       - 26 min.               - Action, Sci-Fi                                                                                           - https://myanimelist.net/anime/3087
Change Our Mirai!                                                                             - 5.69  - 2015 - 1 episode(s)       - 2 min.                - Music                                                                                                    - https://myanimelist.net/anime/31300
Changjiang Qi Hao Ai Diqiu                                                                    - 6.48  - 2010 - 1 episode(s)       - 1 hr. 23 min.         - Kids                                                                                                     - https://myanimelist.net/anime/9558
Channel 5.5 3rd Season Prologue                                                               - 4.92  - 2014 - 1 episode(s)       - 3 min.                - Comedy                                                                                                   - https://myanimelist.net/anime/29861
Channel 5.5 3rd Season                                                                        - 5.98  - 2014 - 4 episode(s)       - 5 min. per ep.        - Parody, Comedy                                                                                           - https://myanimelist.net/anime/29823
Chaos Dragon: Sekiryuu Seneki                                                                 - 5.80  - 2015 - 12 episode(s)      - 24 min. per ep.       - Action, Fantasy, Supernatural                                                                            - https://myanimelist.net/anime/30091
Charlotte                                                                                     - 7.92  - 2015 - 13 episode(s)      - 24 min. per ep.       - Drama, School, Super Power                                                                               - https://myanimelist.net/anime/28999
Cheer Danshi!!                                                                                - 6.85  - 2016 - 12 episode(s)      - 24 min. per ep.       - Sports, Drama, School                                                                                    - https://myanimelist.net/anime/32483
Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuu Anzen                                 - 6.30  - 2016 - 6 episode(s)       - 1 min. per ep.        - Sports, Shounen                                                                                          - https://myanimelist.net/anime/33522
Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon                      - 5.08  - 1999 - 1 episode(s)       - 31 min.               - Action, Adventure, Mecha, Sci-Fi, Shounen, Super Power                                                   - https://myanimelist.net/anime/24269
Chikan Juunin-tai The Animation                                                               - 6.08  - 2004 - 5 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/4562
Chikasugi Idol Akae-chan Specials                                                             - N/A   - 2014 - 3 episode(s)       - 2 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/37168
Chio-chan no Tsuugakuro                                                                       - N/A   - 2018 - Unknown episode(s) - Unknown               - Comedy, Seinen                                                                                           - https://myanimelist.net/anime/35821
