Title                                                                            - Score - Year - Num Eps            - Duration              - Genre(s)                                                                     - Link
Burning Village                                                                  - 5.71  - 1989 - 10 episode(s)      - 12 min. per ep.       - Fantasy, Horror                                                              - https://myanimelist.net/anime/10245
C.L.A.Y.                                                                         - 3.49  - 2012 - 1 episode(s)       - 1 min.                - Horror                                                                       - https://myanimelist.net/anime/16606
Cakes                                                                            - 3.54  - 2016 - 1 episode(s)       - 49 sec.               - Comedy                                                                       - https://myanimelist.net/anime/33863
Calihara no Uta                                                                  - 5.57  - 2014 - 1 episode(s)       - 4 min.                - Music, Kids                                                                  - https://myanimelist.net/anime/34908
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life             - 7.02  - 2008 - 7 episode(s)       - 15 min. per ep.       - Romance, School, Shoujo Ai                                                   - https://myanimelist.net/anime/4535
Capsule Boy                                                                      - 5.14  - 2016 - 26 episode(s)      - 24 min. per ep.       - Sci-Fi, Kids                                                                 - https://myanimelist.net/anime/34664
Cardfight!! Vanguard (2018)                                                      - N/A   - 2018 - Unknown episode(s) - Unknown               - Action, Game, Shounen                                                        - https://myanimelist.net/anime/37476
Chance Triangle Session                                                          - 6.71  - 2001 - 13 episode(s)      - 24 min. per ep.       - Slice of Life, Music, Drama                                                  - https://myanimelist.net/anime/2495
Chichiiro Toiki                                                                  - 7.18  - 2014 - 2 episode(s)       - 14 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/21925
Chijoku Shinsatsushitsu                                                          - 6.38  - 2003 - 2 episode(s)       - 26 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/753
Chijoku no Seifuku                                                               - 6.94  - 2016 - 2 episode(s)       - 13 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/32895
Chika Gentou Gekiga: Shoujo Tsubaki                                              - 6.16  - 1992 - 1 episode(s)       - 47 min.               - Drama, Historical, Horror                                                    - https://myanimelist.net/anime/2981
Chikatetsu ni Noru                                                               - 3.25  - 2017 - 1 episode(s)       - 12 min.               - Slice of Life                                                                - https://myanimelist.net/anime/36888
Chiruran: Nibun no Ichi Special                                                  - 5.77  - 2017 - 1 episode(s)       - 2 min.                - Action, Comedy, Historical                                                   - https://myanimelist.net/anime/35301
