Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Amatsuki                                                                                             - 7.00  - 2008 - 13 episode(s)      - 23 min. per ep.       - Action, Historical, Demons, Supernatural, Fantasy, Josei                                                                                                       - https://myanimelist.net/anime/3359
Ame-iro Cocoa                                                                                        - 4.78  - 2015 - 12 episode(s)      - 2 min. per ep.        - Comedy, Slice of Life                                                                                                                                          - https://myanimelist.net/anime/28981
Anata wa Watashi no Mono                                                                             - 6.29  - 2017 - 2 episode(s)       - 18 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/34530
Android Ana Maico 2010                                                                               - 6.56  - 1998 - 24 episode(s)      - 14 min. per ep.       - Comedy, Drama, Sci-Fi, Seinen                                                                                                                                  - https://myanimelist.net/anime/810
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials                         - 5.34  - 2014 - 3 episode(s)       - 5 min. per ep.        - Comedy, Ecchi                                                                                                                                                  - https://myanimelist.net/anime/30739
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue                                  - 6.20  - 2014 - 6 episode(s)       - 3 min. per ep.        - Comedy, Ecchi, Romance, Shounen, Slice of Life                                                                                                                 - https://myanimelist.net/anime/27619
Angel Beats!                                                                                         - 8.32  - 2010 - 13 episode(s)      - 24 min. per ep.       - Action, Comedy, Drama, School, Supernatural                                                                                                                    - https://myanimelist.net/anime/6547
Angel's Feather                                                                                      - 5.58  - 2006 - 2 episode(s)       - 30 min. per ep.       - Sci-Fi, Supernatural, Drama, Romance, Fantasy, Shounen Ai                                                                                                      - https://myanimelist.net/anime/1640
Ani ni Tsukeru Kusuri wa Nai!                                                                        - 7.38  - 2017 - 12 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy, School                                                                                                                                  - https://myanimelist.net/anime/35015
Animation Kikou: Marco Polo no Bouken                                                                - 6.45  - 1979 - 43 episode(s)      - 20 min. per ep.       - Adventure, Historical                                                                                                                                          - https://myanimelist.net/anime/5935
Anime Document: München e no Michi                                                                   - 5.50  - 1972 - 16 episode(s)      - 25 min. per ep.       - Sports                                                                                                                                                         - https://myanimelist.net/anime/20237
Anime Himitsu no Hanazono                                                                            - 7.13  - 1991 - 39 episode(s)      - 25 min. per ep.       - Kids, Historical, Drama, Shoujo                                                                                                                                - https://myanimelist.net/anime/2810
Anime Koukyoushi: Jungle Taitei                                                                      - 6.73  - 1991 - 1 episode(s)       - 51 min.               - Adventure, Kids, Shounen                                                                                                                                       - https://myanimelist.net/anime/13047
Anime-ban Little★Nicky: Henachoko Akuma Nicky no NY Taikenki                                         - 4.75  - 2001 - 6 episode(s)       - 1 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/35576
Animegatari                                                                                          - 6.03  - 2015 - 6 episode(s)       - 1 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/30617
Animentary: Ketsudan                                                                                 - 6.61  - 1971 - 26 episode(s)      - 25 min. per ep.       - Historical, Military                                                                                                                                           - https://myanimelist.net/anime/8436
Aniyome wa Ijippari                                                                                  - 7.12  - 2008 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/4358
Anne Happy♪                                                                                          - 7.08  - 2016 - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School                                                                                                                                  - https://myanimelist.net/anime/31080
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.                                             - 8.55  - 2011 - 11 episode(s)      - 22 min. per ep.       - Slice of Life, Supernatural, Drama                                                                                                                             - https://myanimelist.net/anime/9989
Anokoro no Namida wa                                                                                 - 5.67  - 1997 - 1 episode(s)       - 2 min.                - Music, Slice of Life                                                                                                                                           - https://myanimelist.net/anime/8669
Ao no Exorcist Movie Special                                                                         - 7.15  - 2012 - 1 episode(s)       - 3 min.                - Parody, Comedy                                                                                                                                                 - https://myanimelist.net/anime/13677
