Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page                                                  - 7.71  - 2016 - 1 episode     - 24 min             - Drama, Fantasy, Romance, Shoujo                                                             - https://myanimelist.net/anime/31483
Akage no Anne                                                                                                - 7.77  - 1979 - 50 episodes   - 25 min per ep      - Drama, Historical                                                                           - https://myanimelist.net/anime/283
Akazukin Chacha                                                                                              - 7.51  - 1994 - 74 episodes   - 24 min per ep      - Adventure, Comedy, Fantasy, Romance, Shoujo                                                 - https://myanimelist.net/anime/103
Akebi-chan no Sailor-fuku                                                                                    - 7.69  - 2022 - 12 episodes   - 23 min per ep      - CGDCT, School, Slice of Life                                                                - https://myanimelist.net/anime/48553
Akiba's Trip The Animation                                                                                   - 6.50  - 2017 - 13 episodes   - 23 min per ep      - Action, Comedy, Ecchi, Otaku Culture, Supernatural                                          - https://myanimelist.net/anime/34051
Akikan no Tuna                                                                                               - None  - 2022 - Ongoing       - 5 min              - Comedy, Kids                                                                                - https://myanimelist.net/anime/52076
Akikan!                                                                                                      - 6.12  - 2009 - 12 episodes   - 23 min per ep      - Anthropomorphic, Comedy, Ecchi, Fantasy, Romance                                            - https://myanimelist.net/anime/5112
Akuei to Gacchinpo: Tenkomori                                                                                - None  - 2005 - 12 episodes   - 24 min per ep      - Comedy, Kids                                                                                - https://myanimelist.net/anime/29843
Akuma no Memumemu-chan                                                                                       - 5.58  - 2018 - 1 episode     - 5 min              - Comedy, Ecchi, Mythology, Shounen                                                           - https://myanimelist.net/anime/36875
Akuu Daisakusen Srungle                                                                                      - 6.30  - 1983 - 53 episodes   - 25 min per ep      - Action, Mecha, Sci-Fi                                                                       - https://myanimelist.net/anime/6452
Aldnoah.Zero Extra Archives                                                                                  - 6.61  - 2015 - 1 episode     - 48 min             - Action, Mecha, Sci-Fi                                                                       - https://myanimelist.net/anime/29223
Aldnoah.Zero Part 2                                                                                          - 6.92  - 2015 - 12 episodes   - 23 min per ep      - Action, Mecha, Sci-Fi, Space                                                                - https://myanimelist.net/anime/27655
Ali Tonghua Gushi                                                                                            - None  - 2020 - 13 episodes   - 5 min per ep       - Fantasy, Kids                                                                               - https://myanimelist.net/anime/44727
Alphard x Taka no Tsume                                                                                      - 4.94  - 2018 - 3 episodes    - 3 min per ep       - Parody, Racing                                                                              - https://myanimelist.net/anime/37143
Alps Monogatari: Watashi no Annette                                                                          - 6.75  - 1983 - 48 episodes   - 25 min per ep      - Drama, Historical, Slice of Life                                                            - https://myanimelist.net/anime/2546
Alps no Shoujo Heidi                                                                                         - 7.37  - 1974 - 52 episodes   - 25 min per ep      - Drama, Historical                                                                           - https://myanimelist.net/anime/2225
Amaenaide yo!! Katsu!!                                                                                       - 6.65  - 2006 - 12 episodes   - 24 min per ep      - Comedy, Ecchi, Harem, Romance, Seinen, Supernatural                                         - https://myanimelist.net/anime/886
Amagami SS+ Plus                                                                                             - 7.39  - 2012 - 13 episodes   - 24 min per ep      - Harem, Romance, School                                                                      - https://myanimelist.net/anime/11235
Ame-iro Cocoa: Side G                                                                                        - 4.85  - 2019 - 12 episodes   - 2 min per ep       - Comedy, Slice of Life, Workplace                                                            - https://myanimelist.net/anime/37747
Amnesia                                                                                                      - 5.99  - 2013 - 12 episodes   - 23 min per ep      - Fantasy, Josei, Mystery, Reverse Harem, Romance                                             - https://myanimelist.net/anime/15085
Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da.                                          - 6.23  - 2022 - 1 episode     - 5 min              - Workplace                                                                                   - https://myanimelist.net/anime/50762
Andersen Monogatari (TV)                                                                                     - 6.27  - 1971 - 52 episodes   - 24 min per ep      - Drama, Fantasy, Kids                                                                        - https://myanimelist.net/anime/7779
Angel Core: Tenshi-tachi no Sumika                                                                           - 5.57  - 2003 - 2 episodes    - 28 min per ep      - Action, Hentai, Historical, Mecha, Military                                                 - https://myanimelist.net/anime/2946
Angelique: Seichi yori Ai wo Komete                                                                          - 6.06  - 2001 - 3 episodes    - 30 min per ep      - Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi, Shoujo                                  - https://myanimelist.net/anime/2535
Animation Seisaku Shinkou Kuromi-chan 2                                                                      - 6.92  - 2004 - 1 episode     - 45 min             - Comedy, Drama, Otaku Culture, Parody                                                        - https://myanimelist.net/anime/1798
Animatope                                                                                                    - 5.04  - 2011 - 1 episode     - 30 sec             - Avant Garde, Music                                                                          - https://myanimelist.net/anime/40003
Anime 80-nichikan Sekai Isshuu                                                                               - 6.83  - 1984 - 26 episodes   - 25 min per ep      - Adventure, Anthropomorphic, Historical, Kids, Romance                                       - https://myanimelist.net/anime/2579
Ankoku Cat VS                                                                                                - 5.64  - 2011 - 3 episodes    - 5 min per ep       - Action, Comedy                                                                              - https://myanimelist.net/anime/36636
Ankoku Shinwa                                                                                                - 4.16  - 1990 - 2 episodes    - 49 min per ep      - Fantasy, Horror, Mystery, Mythology, Psychological, Supernatural                            - https://myanimelist.net/anime/1966
Annyeong Jadoo: Eondeo Deo Ssi                                                                               - None  - 2019 - 1 episode     - Unknown            - Adventure, Comedy, Fantasy, Kids                                                            - https://myanimelist.net/anime/48284
Ano Natsu de Matteru                                                                                         - 7.41  - 2012 - 12 episodes   - 23 min per ep      - Drama, Love Polygon, Romance, Sci-Fi                                                        - https://myanimelist.net/anime/11433
Ano Yume wo Nazotte                                                                                          - 7.39  - 2020 - 1 episode     - 3 min              - Music, Romance                                                                              - https://myanimelist.net/anime/50055
Anon Sentai Ranger 5                                                                                         - 4.74  - 2000 - 1 episode     - 2 min              - Music, Parody, Super Power                                                                  - https://myanimelist.net/anime/39038
Another                                                                                                      - 7.48  - 2012 - 12 episodes   - 24 min per ep      - Gore, Horror, Mystery, School, Supernatural                                                 - https://myanimelist.net/anime/11111
Ansatsu Kyoushitsu 2nd Season                                                                                - 8.49  - 2016 - 25 episodes   - 23 min per ep      - Action, Comedy, School, Shounen                                                             - https://myanimelist.net/anime/30654
Ansatsu Kyoushitsu                                                                                           - 8.09  - 2015 - 22 episodes   - 23 min per ep      - Action, Comedy, School, Shounen                                                             - https://myanimelist.net/anime/24833
Antihero                                                                                                     - None  - 2023 - 1 episode     - 2 min              - Music                                                                                       - https://myanimelist.net/anime/55667
Ao no Exorcist: Kyoto Fujouou-hen                                                                            - 7.35  - 2017 - 12 episodes   - 24 min per ep      - Action, Fantasy, Mythology, School, Shounen                                                 - https://myanimelist.net/anime/33506
