Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
Majutsushi Orphen Hagure Tabi: Urbanrama-hen                                                                 - 6.15  - 2023 - 12 episodes   - 23 min per ep      - Action, Adventure, Drama, Fantasy, Martial Arts                                             - https://myanimelist.net/anime/53162
Majutsushi Orphen Hagure Tabi                                                                                - 5.84  - 2020 - 13 episodes   - 23 min per ep      - Action, Adventure, Drama, Fantasy, Martial Arts                                             - https://myanimelist.net/anime/37576
Maken-Ki! Two                                                                                                - 6.14  - 2014 - 10 episodes   - 24 min per ep      - Action, Ecchi, Harem, Martial Arts, School, Shounen, Super Power                            - https://myanimelist.net/anime/15565
Makiba no Shoujo Katri                                                                                       - 6.96  - 1984 - 49 episodes   - 25 min per ep      - Adventure, Drama, Historical, Slice of Life                                                 - https://myanimelist.net/anime/3162
Mama wa Shougaku 4 Nensei                                                                                    - 7.43  - 1992 - 51 episodes   - 24 min per ep      - Award Winning, Childcare, Comedy, Drama, Sci-Fi                                             - https://myanimelist.net/anime/333
Mameneko                                                                                                     - 6.05  - 2018 - 12 episodes   - 3 min per ep       - Pets, Slice of Life                                                                         - https://myanimelist.net/anime/36728
Man Shu Lan Liuliu                                                                                           - None  - 2019 - 24 episodes   - 3 min per ep       - Anthropomorphic, Fantasy, Kids                                                              - https://myanimelist.net/anime/47941
Manaria Friends                                                                                              - 6.67  - 2019 - 10 episodes   - 15 min per ep      - Fantasy, Iyashikei, School, Slice of Life                                                   - https://myanimelist.net/anime/31537
Manga Nippon Mukashibanashi (1976)                                                                           - 6.19  - 1976 - 1471 episodes - 25 min per ep      - Fantasy, Historical                                                                         - https://myanimelist.net/anime/6277
Manga Nippon Mukashibanashi                                                                                  - 6.13  - 1975 - 12 episodes   - 25 min per ep      - Historical                                                                                  - https://myanimelist.net/anime/10282
Mangirl!                                                                                                     - 5.80  - 2013 - 13 episodes   - 3 min per ep       - CGDCT, Comedy, Otaku Culture, Slice of Life                                                 - https://myanimelist.net/anime/14045
Mannaka no Rikkun@Kin Tele                                                                                   - None  - 2019 - 12 episodes   - 5 min per ep       - Comedy, Seinen                                                                              - https://myanimelist.net/anime/37560
Mao Xian Dong De Shou!                                                                                       - None  - 2022 - 15 episodes   - 4 min per ep       - Comedy, Slice of Life                                                                       - https://myanimelist.net/anime/50797
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II - 6.86  - 2023 - 12 episodes   - 23 min per ep      - Action, Fantasy, Mythology, Reincarnation, School                                           - https://myanimelist.net/anime/48417
Maou no Yakata wa Oosawagi                                                                                   - None  - 2017 - 1 episode     - 5 min              - Music                                                                                       - https://myanimelist.net/anime/53170
Maoyuu Maou Yuusha                                                                                           - 7.24  - 2013 - 12 episodes   - 23 min per ep      - Adventure, Fantasy, Mythology, Romance                                                      - https://myanimelist.net/anime/14833
Maple Town Monogatari                                                                                        - 6.94  - 1986 - 52 episodes   - 24 min per ep      - Fantasy, Slice of Life                                                                      - https://myanimelist.net/anime/2223
Marginal#4: Kiss kara Tsukuru Big Bang                                                                       - 6.67  - 2017 - 12 episodes   - 23 min per ep      - Comedy, Idols (Male), Music, School                                                         - https://myanimelist.net/anime/33788
Mari Iyagi                                                                                                   - 6.26  - 2002 - 1 episode     - 1 hr 18 min        - Drama, Fantasy, Slice of Life                                                               - https://myanimelist.net/anime/2133
Maria-sama ga Miteru 4th                                                                                     - 7.76  - 2009 - 13 episodes   - 25 min per ep      - Drama, Girls Love, School                                                                   - https://myanimelist.net/anime/3750
Maria-sama ga Miteru                                                                                         - 7.29  - 2004 - 13 episodes   - 24 min per ep      - Drama, Girls Love                                                                           - https://myanimelist.net/anime/158
Maria†Holic                                                                                                  - 7.01  - 2009 - 12 episodes   - 24 min per ep      - Comedy, Crossdressing, Girls Love, Parody, School                                           - https://myanimelist.net/anime/5030
Marulk-chan no Nichijou                                                                                      - 6.77  - 2020 - 4 episodes    - 3 min per ep       - Adventure, Fantasy                                                                          - https://myanimelist.net/anime/40897
Maruman Loose Leaf                                                                                           - 4.82  - 2017 - 1 episode     - 47 sec             - Music                                                                                       - https://myanimelist.net/anime/38772
Marumaru Manul                                                                                               - None  - 2020 - 50 episodes   - 1 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/40939
Masamune-kun no Revenge                                                                                      - 6.74  - 2017 - 12 episodes   - 24 min per ep      - Comedy, Harem, Romance, School, Shounen                                                     - https://myanimelist.net/anime/33487
Mashiro no Oto Mini                                                                                          - 5.71  - 2021 - 33 episodes   - 1 min per ep       - Slice of Life                                                                               - https://myanimelist.net/anime/46119
Mashiro-iro Symphony: Airi ga Anata no Kanojo ni!?                                                           - 6.12  - 2012 - 1 episode     - 14 min             - Harem, Romance                                                                              - https://myanimelist.net/anime/14049
Mashle 2nd Season                                                                                            - None  - 2024 - Ongoing       - Unknown            - Action, Comedy, Fantasy, Gag Humor, Parody, School                                          - https://myanimelist.net/anime/55813
Master of Epic: The Animation Age                                                                            - 5.94  - 2007 - 12 episodes   - 24 min per ep      - Comedy, Fantasy, Video Game                                                                 - https://myanimelist.net/anime/1885
Masuda Kousuke Gekijou Gag Manga Biyori +                                                                    - 6.96  - 2010 - 12 episodes   - 5 min per ep       - Comedy, Gag Humor                                                                           - https://myanimelist.net/anime/7761
Mato Seihei no Slave                                                                                         - None  - 2024 - Ongoing       - Unknown            - Action, Ecchi, Fantasy, Harem, Shounen                                                      - https://myanimelist.net/anime/50392
Mattaku Mi ni Naranai Hibi                                                                                   - None  - 2018 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/51433
Mazinger Z Movie: Infinity                                                                                   - 6.88  - 2018 - 1 episode     - 1 hr 35 min        - Action, Comedy, Mecha, Sci-Fi, Shounen, Super Power                                         - https://myanimelist.net/anime/34820
Mazinger Z x Hello Kitty x Chogokin                                                                          - 5.75  - 2016 - 1 episode     - 2 min              - Mecha, Sci-Fi                                                                               - https://myanimelist.net/anime/51431
Megami Kouhosei                                                                                              - 6.35  - 2000 - 12 episodes   - 24 min per ep      - Action, Mecha, Military, Sci-Fi, Space                                                      - https://myanimelist.net/anime/888
Mei Hou Wang (2010)                                                                                          - None  - 2010 - 52 episodes   - 22 min per ep      - Adventure, Fantasy, Kids                                                                    - https://myanimelist.net/anime/44176
Meiji Tokyo Renka                                                                                            - 7.03  - 2019 - 12 episodes   - 23 min per ep      - Historical, Reverse Harem, Romance, Shoujo, Supernatural, Time Travel                       - https://myanimelist.net/anime/34209
Meiken Lassie                                                                                                - 6.77  - 1996 - 25 episodes   - 25 min per ep      - Adventure, Kids, Pets, Slice of Life                                                        - https://myanimelist.net/anime/3425
Meishi Da Maoxian: Huore Zhi Lu                                                                              - None  - 2015 - 55 episodes   - 13 min per ep      - Adventure, Anthropomorphic, Fantasy, Kids                                                   - https://myanimelist.net/anime/45050
Meishi Da Maoxian: Wenming Zhi Lu                                                                            - None  - 2017 - 52 episodes   - 13 min per ep      - Adventure, Anthropomorphic, Fantasy, Kids                                                   - https://myanimelist.net/anime/45051
Meitantei Rascal                                                                                             - None  - 2014 - 12 episodes   - 5 min per ep       - Adventure, Kids, Mystery                                                                    - https://myanimelist.net/anime/21447
Mekakucity V's                                                                                               - 7.35  - 2014 - 4 episodes    - 4 min per ep       - Music, Romance, Super Power, Supernatural                                                   - https://myanimelist.net/anime/34318
Melody Line                                                                                                  - 5.93  - 2011 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/40703
Melody                                                                                                       - 5.80  - 2008 - 1 episode     - 8 min              - Drama                                                                                       - https://myanimelist.net/anime/8936
Melty                                                                                                        - None  - 2022 - 1 episode     - 3 min              - Music, Psychological                                                                        - https://myanimelist.net/anime/54195
Memories Off 2nd                                                                                             - 6.15  - 2003 - 3 episodes    - 30 min per ep      - Drama, Romance                                                                              - https://myanimelist.net/anime/362
Menghuan Shuyuan: Huxi Jiankang Kepu                                                                         - None  - 2021 - 13 episodes   - 3 min per ep       - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/51758
Meoteoldosawa 108 Yogoe                                                                                      - None  - 1990 - 1 episode     - 1 hr 20 min        - Action, Adventure, Fantasy                                                                  - https://myanimelist.net/anime/18331
Metallic Rouge                                                                                               - None  - 2024 - Ongoing       - Unknown            - Action, Sci-Fi                                                                              - https://myanimelist.net/anime/54794
Metamon to! Oyasumi Mokurou                                                                                  - 5.79  - 2022 - 1 episode     - 2 min              - Comedy, Kids                                                                                - https://myanimelist.net/anime/50840
Mezzo DSA                                                                                                    - 6.65  - 2004 - 13 episodes   - 25 min per ep      - Action, Adventure, Comedy, Mystery, Sci-Fi                                                  - https://myanimelist.net/anime/222
Mi-da-ra                                                                                                     - 5.56  - 2002 - 3 episodes    - 28 min per ep      - Hentai                                                                                      - https://myanimelist.net/anime/3384
Mianhua Tang He Yunduo Mama: Fu Shu Song Ji                                                                  - None  - 2020 - 1 episode     - 47 min             - Comedy, Kids                                                                                - https://myanimelist.net/anime/44185
Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita                                                 - 6.96  - 2013 - 1 episode     - 22 min             - Hentai                                                                                      - https://myanimelist.net/anime/16189
Micchiri Neko                                                                                                - 6.85  - 2018 - 39 episodes   - 1 min per ep       - Comedy, Kids                                                                                - https://myanimelist.net/anime/36982
Microphone Soul Spinners: Kotodama Shoujo                                                                    - None  - 2020 - 24 episodes   - 9 min per ep       - Music                                                                                       - https://myanimelist.net/anime/40121
Midnight Eye: Gokuu                                                                                          - 6.43  - 1989 - 1 episode     - 50 min             - Action, Mystery, Sci-Fi, Seinen                                                             - https://myanimelist.net/anime/1879
Miira no Kaikata                                                                                             - 7.47  - 2018 - 12 episodes   - 24 min per ep      - Fantasy, Mythology, Pets, School, Slice of Life                                             - https://myanimelist.net/anime/35828
Mikakunin de Shinkoukei                                                                                      - 7.37  - 2014 - 12 episodes   - 23 min per ep      - Comedy, Romance, School, Supernatural                                                       - https://myanimelist.net/anime/20541
Military!                                                                                                    - 5.79  - 2015 - 12 episodes   - 3 min per ep       - Comedy, Ecchi, Military, Slice of Life                                                      - https://myanimelist.net/anime/26085
Minami Kamakura Koukou Joshi Jitensha-bu                                                                     - 6.34  - 2017 - 12 episodes   - 23 min per ep      - CGDCT, School, Shounen, Sports                                                              - https://myanimelist.net/anime/31422
Minami no Niji no Lucy                                                                                       - 7.13  - 1982 - 50 episodes   - 25 min per ep      - Adventure, Drama, Slice of Life                                                             - https://myanimelist.net/anime/2573
Minami-ke Okaeri                                                                                             - 7.55  - 2009 - 13 episodes   - 24 min per ep      - CGDCT, Comedy, School, Seinen, Slice of Life                                                - https://myanimelist.net/anime/5162
Minami-ke Okawari                                                                                            - 7.33  - 2008 - 13 episodes   - 24 min per ep      - CGDCT, Comedy, School, Seinen, Slice of Life                                                - https://myanimelist.net/anime/3225
Minami-ke Tadaima                                                                                            - 7.65  - 2013 - 13 episodes   - 24 min per ep      - CGDCT, Comedy, School, Seinen, Slice of Life                                                - https://myanimelist.net/anime/14511
Mini Toji: Kanami-Mihono no "Toji Miko Taidou-hen" 205-byou de Shoukai Tokuban!                              - 5.48  - 2019 - 1 episode     - 3 min              - Action, CGDCT, Parody                                                                       - https://myanimelist.net/anime/38981
Mini Toji                                                                                                    - 6.13  - 2019 - 10 episodes   - 5 min per ep       - Action, CGDCT, Comedy, Fantasy                                                              - https://myanimelist.net/anime/38673
Minna Atsumare! Falcom Gakuen SC                                                                             - 6.03  - 2015 - 12 episodes   - 2 min per ep       - Comedy, Parody, School, Seinen                                                              - https://myanimelist.net/anime/25999
Minna Atsumare! Falcom Gakuen                                                                                - 5.94  - 2014 - 13 episodes   - 2 min per ep       - Comedy, Parody, School, Seinen                                                              - https://myanimelist.net/anime/21427
Minna e wo Check!                                                                                            - 5.29  - 2020 - 1 episode     - 2 min              - Music                                                                                       - https://myanimelist.net/anime/41092
Miracle☆Girls                                                                                                - 7.35  - 1993 - 51 episodes   - 24 min per ep      - Drama, Shoujo                                                                               - https://myanimelist.net/anime/2834
Mirage Code                                                                                                  - None  - 2023 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55909
Mirai Kara Kita Shounen Super Jetter                                                                         - 6.10  - 1965 - 52 episodes   - 25 min per ep      - Action, Comedy, Sci-Fi, Super Power                                                         - https://myanimelist.net/anime/16159
Mirai Keisatsu Urashiman                                                                                     - 7.22  - 1983 - 50 episodes   - 23 min per ep      - Action, Comedy, Detective, Sci-Fi                                                           - https://myanimelist.net/anime/2933
Mirai Nikki (TV): Ura Mirai Nikki                                                                            - 6.47  - 2012 - 10 episodes   - 2 min per ep       - Comedy, Shounen, Supernatural                                                               - https://myanimelist.net/anime/12503
Mirai no Hito e                                                                                              - 5.68  - 2018 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/37212
Mitsuboshi Colors                                                                                            - 7.41  - 2018 - 12 episodes   - 23 min per ep      - CGDCT, Iyashikei, Shounen, Slice of Life                                                    - https://myanimelist.net/anime/35078
Mitsudomoe Zouryouchuu!                                                                                      - 7.66  - 2011 - 8 episodes    - 24 min per ep      - Comedy, Gag Humor, School, Shounen, Slice of Life                                           - https://myanimelist.net/anime/9510
Mizugi Kanojo The Animation                                                                                  - 7.28  - 2009 - 4 episodes    - 30 min per ep      - Hentai                                                                                      - https://myanimelist.net/anime/5959
Mizugumo Monmon                                                                                              - 6.49  - 2006 - 1 episode     - 15 min             - Fantasy, Kids, Romance                                                                      - https://myanimelist.net/anime/4306
Mo Di Qiyu Ji                                                                                                - None  - 2004 - 26 episodes   - 24 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/45904
Mo Jing Lieren 5th Season                                                                                    - None  - 2020 - 26 episodes   - 13 min per ep      - Adventure, Fantasy                                                                          - https://myanimelist.net/anime/44623
Mo Lin Chuanqi                                                                                               - None  - 2011 - 26 episodes   - 22 min per ep      - Adventure, Kids                                                                             - https://myanimelist.net/anime/46223
Mob Psycho 100 II                                                                                            - 8.80  - 2019 - 13 episodes   - 24 min per ep      - Action, Comedy, Super Power, Supernatural                                                   - https://myanimelist.net/anime/37510
Moegaku★5                                                                                                    - 5.45  - 2008 - 40 episodes   - 7 min per ep       - Mahou Shoujo, Parody                                                                        - https://myanimelist.net/anime/3573
Mofa Shu Leyuan                                                                                              - None  - 2021 - 1 episode     - 1 hr 21 min        - Comedy, Kids                                                                                - https://myanimelist.net/anime/48129
Moguai Che Xiaodui                                                                                           - None  - 2021 - 52 episodes   - 5 min per ep       - Kids                                                                                        - https://myanimelist.net/anime/48017
Mokke Specials                                                                                               - 6.83  - 2008 - 2 episodes    - 23 min per ep      - Iyashikei, Mystery, Slice of Life, Supernatural                                             - https://myanimelist.net/anime/4202
Momone                                                                                                       - 5.23  - 1998 - 1 episode     - 27 min             - Hentai                                                                                      - https://myanimelist.net/anime/3563
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?                                                              - 7.44  - 2013 - 10 episodes   - 23 min per ep      - Action, Comedy, Fantasy, Isekai                                                             - https://myanimelist.net/anime/15315
Monkey Turn                                                                                                  - 6.81  - 2004 - 25 episodes   - 23 min per ep      - Action, Drama, Racing, Shounen                                                              - https://myanimelist.net/anime/2740
Monmusu Quest!                                                                                               - 6.56  - 2017 - 2 episodes    - 16 min per ep      - Hentai, Mythology                                                                           - https://myanimelist.net/anime/34899
Mononogatari                                                                                                 - 7.24  - 2023 - 12 episodes   - 23 min per ep      - Action, Adult Cast, Mythology, Seinen, Supernatural                                         - https://myanimelist.net/anime/50384
Moom: Hajimari no Monogatari                                                                                 - 5.80  - 2017 - 1 episode     - 3 min              - Kids                                                                                        - https://myanimelist.net/anime/38029
Mori no Andou                                                                                                - 5.93  - 2006 - 1 episode     - 5 min              - Comedy                                                                                      - https://myanimelist.net/anime/33281
Mori no Youki na Kobito-tachi: Belfy to Lillibit                                                             - 6.29  - 1980 - 26 episodes   - 25 min per ep      - Adventure, Comedy, Fantasy                                                                  - https://myanimelist.net/anime/3810
Morimori Shima no Mogu to Perol                                                                              - 5.95  - 2018 - 1 episode     - 8 min              - Kids                                                                                        - https://myanimelist.net/anime/37145
Morita-san wa Mukuchi. Specials                                                                              - 6.42  - 2012 - 2 episodes    - 3 min per ep       - Comedy, School, Slice of Life                                                               - https://myanimelist.net/anime/12921
Mosh Race                                                                                                    - None  - 2023 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55367
Mou Ippon!                                                                                                   - 7.16  - 2023 - 13 episodes   - 23 min per ep      - Combat Sports, School, Shounen, Sports                                                      - https://myanimelist.net/anime/49376
Mouretsu Pirates                                                                                             - 7.15  - 2012 - 26 episodes   - 24 min per ep      - Award Winning, Sci-Fi, Space                                                                - https://myanimelist.net/anime/8917
Mouse                                                                                                        - 5.98  - 2003 - 12 episodes   - 14 min per ep      - Action, Comedy, Ecchi, Harem, Seinen                                                        - https://myanimelist.net/anime/624
Mousou Teikoku Chikuonki                                                                                     - 5.72  - 2018 - 1 episode     - 4 min              - Avant Garde, Fantasy, Music                                                                 - https://myanimelist.net/anime/39690
Move to the Future                                                                                           - 5.75  - 2020 - Ongoing       - 3 min              - Sci-Fi                                                                                      - https://myanimelist.net/anime/39222
Mr. Shadow                                                                                                   - None  - 2019 - 10 episodes   - 2 min per ep       - Supernatural                                                                                - https://myanimelist.net/anime/39029
Mu Qi Ling 2: Sheng Tian Ling Zhong                                                                          - None  - 2016 - 52 episodes   - 10 min per ep      - Fantasy, Kids                                                                               - https://myanimelist.net/anime/44471
Mumu Xiong Huanqiu Tansuo                                                                                    - None  - 2012 - 365 episodes  - 12 min per ep      - Adventure, Anthropomorphic, Fantasy, Kids                                                   - https://myanimelist.net/anime/46745
Murenase! Seton Gakuen                                                                                       - 6.95  - 2020 - 12 episodes   - 23 min per ep      - Anthropomorphic, Comedy, Ecchi, School                                                      - https://myanimelist.net/anime/40483
Musaigen no Phantom World                                                                                    - 6.86  - 2016 - 13 episodes   - 24 min per ep      - Action, Comedy, Ecchi, Fantasy, Harem, School                                               - https://myanimelist.net/anime/31442
Musekinin Kanchou Tylor                                                                                      - 7.87  - 1993 - 26 episodes   - 23 min per ep      - Adult Cast, Comedy, Military, Parody, Sci-Fi, Space                                         - https://myanimelist.net/anime/569
Mushishi: Hihamukage                                                                                         - 8.54  - 2014 - 1 episode     - 45 min             - Adult Cast, Adventure, Historical, Iyashikei, Mystery, Seinen, Slice of Life, Supernatural  - https://myanimelist.net/anime/21329
Mushoku Tensei: Isekai Ittara Honki Dasu                                                                     - 8.38  - 2021 - 11 episodes   - 23 min per ep      - Drama, Ecchi, Fantasy, Isekai, Reincarnation                                                - https://myanimelist.net/anime/39535
Music                                                                                                        - None  - 2016 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/55706
Muumin (1972)                                                                                                - 6.54  - 1972 - 52 episodes   - 25 min per ep      - Adventure, Comedy, Fantasy, Slice of Life                                                   - https://myanimelist.net/anime/8235
My Song                                                                                                      - 7.06  - 2022 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/50774
Märchen Mädchen                                                                                              - 5.39  - 2018 - 10 episodes   - 23 min per ep      - Fantasy, Isekai, School                                                                     - https://myanimelist.net/anime/35997
Naeil                                                                                                        - None  - 2018 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/54554
Nagisa no Brazilian                                                                                          - None  - 2020 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/54130
Nakazaki Tatsuya Super Gag Theater I                                                                         - None  - 1994 - 1 episode     - 1 hr 10 min        - Adult Cast, Comedy, Gag Humor                                                               - https://myanimelist.net/anime/51459
Namjaloseo                                                                                                   - None  - 2015 - 1 episode     - 4 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/54517
Namui BL Manhwa Animation                                                                                    - 5.32  - 2018 - 12 episodes   - 3 min per ep       - Boys Love, Comedy, Drama, Romance, School, Slice of Life                                    - https://myanimelist.net/anime/50201
Nanaka 6/17                                                                                                  - 6.60  - 2003 - 12 episodes   - 25 min per ep      - Comedy, Drama, Romance, Shounen, Slice of Life                                              - https://myanimelist.net/anime/776
Nanatsu no Bitoku                                                                                            - 5.25  - 2018 - 10 episodes   - 4 min per ep       - Ecchi, Fantasy                                                                              - https://myanimelist.net/anime/36847
Nanatsu no Taizai: Funnu no Shinpan                                                                          - 6.58  - 2021 - 24 episodes   - 24 min per ep      - Action, Adventure, Fantasy, Shounen                                                         - https://myanimelist.net/anime/41491
Nanatsu no Taizai: Imashime no Fukkatsu Joshou                                                               - 7.23  - 2018 - 1 episode     - 24 min             - Action, Adventure, Fantasy, Shounen                                                         - https://myanimelist.net/anime/36923
Nanatsu no Taizai: Imashime no Fukkatsu                                                                      - 7.58  - 2018 - 24 episodes   - 24 min per ep      - Action, Adventure, Fantasy, Shounen                                                         - https://myanimelist.net/anime/34577
Nanatsu no Umi no Tico                                                                                       - 7.42  - 1994 - 39 episodes   - 23 min per ep      - Adventure, Slice of Life                                                                    - https://myanimelist.net/anime/3199
Nanatsumi Project: Sono Ichi                                                                                 - None  - 2012 - 1 episode     - 4 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/53165
Nanbaka 2                                                                                                    - 7.49  - 2017 - 12 episodes   - 23 min per ep      - Action, Comedy, Drama                                                                       - https://myanimelist.net/anime/34414
Nani Yatte mo Umaku Ikanai feat. asmi                                                                        - None  - 2022 - 1 episode     - 2 min              - Music                                                                                       - https://myanimelist.net/anime/54152
Naniwa Yuukyouden: Chou Gokudou! Yoru no Bat wa Manrui-hen                                                   - None  - 1993 - 1 episode     - 59 min             - Action, Comedy, Organized Crime                                                             - https://myanimelist.net/anime/19745
Nanmu Ichibyousokusai                                                                                        - 5.62  - 1973 - 1 episode     - 17 min             - Award Winning, Historical, Music                                                            - https://myanimelist.net/anime/4097
Nanocore SP Lianxi Pian 2015 Xinnian Tebie Ban                                                               - 5.51  - 2015 - 1 episode     - 5 min              - Comedy, Music                                                                               - https://myanimelist.net/anime/34500
Nantokashite Alguard                                                                                         - 4.37  - 2012 - 1 episode     - 1 min              - Music, Super Power                                                                          - https://myanimelist.net/anime/13543
Nanyou Zong Zai Xiuluochang                                                                                  - None  - 2019 - 6 episodes    - 3 min per ep       - Boys Love, Comedy, School                                                                   - https://myanimelist.net/anime/51035
Naruto x UT                                                                                                  - 7.37  - 2011 - 1 episode     - 6 min              - Action, Fantasy, Shounen                                                                    - https://myanimelist.net/anime/10075
Natsume Yuujinchou Shi                                                                                       - 8.65  - 2012 - 13 episodes   - 24 min per ep      - Drama, Iyashikei, Mythology, Shoujo, Slice of Life, Supernatural                            - https://myanimelist.net/anime/11665
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha                                                        - 8.15  - 2021 - 1 episode     - 51 min             - Drama, Iyashikei, Mythology, Shoujo, Slice of Life, Supernatural                            - https://myanimelist.net/anime/42894
Natsunagu!                                                                                                   - 5.86  - 2020 - 12 episodes   - 4 min per ep       - Drama, Slice of Life                                                                        - https://myanimelist.net/anime/40738
Natsuyasumi.                                                                                                 - 5.80  - 2013 - 3 episodes    - 14 min per ep      - Boys Love, Hentai                                                                           - https://myanimelist.net/anime/17371
Naze Nani!? Asterisk                                                                                         - None  - 2016 - 8 episodes    - 1 min per ep       - Fantasy                                                                                     - https://myanimelist.net/anime/41153
Neko no Sakusen                                                                                              - 5.70  - 2012 - 1 episode     - 5 min              - Kids, Sports, Team Sports                                                                   - https://myanimelist.net/anime/29501
Nekopara                                                                                                     - 6.73  - 2020 - 12 episodes   - 23 min per ep      - Anthropomorphic, Comedy, Slice of Life                                                      - https://myanimelist.net/anime/38924
Nendo no Tatakai 2                                                                                           - 3.22  - 2004 - 1 episode     - 1 min              - Action, Comedy                                                                              - https://myanimelist.net/anime/11883
Nendo no Tatakai                                                                                             - 3.29  - 2004 - 1 episode     - 1 min              - Action, Comedy                                                                              - https://myanimelist.net/anime/11897
Nengajou 2021: Mugen Shougatsu                                                                               - 5.55  - 2021 - 1 episode     - 2 min              - Music, Slice of Life                                                                        - https://myanimelist.net/anime/53008
Neo Faust                                                                                                    - 5.59  - 1999 - 1 episode     - 6 min              - Supernatural                                                                                - https://myanimelist.net/anime/30217
Nepos Napos                                                                                                  - None  - 2005 - 26 episodes   - 6 min per ep       - Fantasy, Kids                                                                               - https://myanimelist.net/anime/30409
Nerima Daikon Brothers                                                                                       - 7.27  - 2006 - 12 episodes   - 24 min per ep      - Comedy, Music                                                                               - https://myanimelist.net/anime/1655
Never Fear                                                                                                   - None  - 2023 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55187
New Initial D Movie: Battle Digest                                                                           - 7.36  - 2022 - 1 episode     - 47 min             - Racing, Seinen                                                                              - https://myanimelist.net/anime/50846
New Start de Ready Go!                                                                                       - 5.63  - 2022 - 1 episode     - 2 min              - Music                                                                                       - https://myanimelist.net/anime/52540
New Tribe                                                                                                    - None  - 2019 - 1 episode     - 4 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/42988
