Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                        - Link
Beachside Lover                                                                                      - N/A   - 2016 - 1 episode(s)       - 3 min.                - Music                                                                           - https://myanimelist.net/anime/36489
Beet the Vandel Buster                                                                               - 7.03  - 2004 - 52 episode(s)      - 23 min. per ep.       - Adventure, Fantasy, Shounen, Supernatural                                       - https://myanimelist.net/anime/8
Best Care Group                                                                                      - 5.47  - 2012 - 3 episode(s)       - 3 min. per ep.        - Slice of Life, Drama                                                            - https://myanimelist.net/anime/33940
Big Wars: Kami Utsu Akaki Kouya ni                                                                   - 5.57  - 1993 - 1 episode(s)       - 1 hr. 11 min.         - Action, Military, Sci-Fi, Space                                                 - https://myanimelist.net/anime/2622
Biohazard 4: Incubate                                                                                - 6.36  - 2006 - 1 episode(s)       - 1 hr. 22 min.         - Action, Demons, Horror, Military, Mystery, Police, Supernatural, Thriller       - https://myanimelist.net/anime/8278
Biohazard: Damnation                                                                                 - 7.35  - 2012 - 1 episode(s)       - 1 hr. 37 min.         - Action, Sci-Fi, Horror                                                          - https://myanimelist.net/anime/9544
Black Blood Brothers                                                                                 - 7.24  - 2006 - 12 episode(s)      - 25 min. per ep.       - Action, Comedy, Fantasy, Shounen, Supernatural, Vampire                         - https://myanimelist.net/anime/1498
Blade Runner: Black Out 2022                                                                         - 7.08  - 2017 - 1 episode(s)       - 15 min.               - Sci-Fi, Thriller                                                                - https://myanimelist.net/anime/36308
Blame! Prologue                                                                                      - 5.66  - 2007 - 2 episode(s)       - 4 min. per ep.        - Action, Mecha, Sci-Fi                                                           - https://myanimelist.net/anime/3430
Blazing Teens 5                                                                                      - N/A   - 2014 - 40 episode(s)      - 23 min. per ep.       - Action, Comedy, Kids, Sci-Fi, Shounen, Sports                                   - https://myanimelist.net/anime/35643
Bleach Colorful!: Gotei Juusan Yatai Daisakusen!                                                     - 6.62  - 2008 - 1 episode(s)       - 12 min.               - Comedy, Shounen                                                                 - https://myanimelist.net/anime/35118
Boku dake no Hentai Kanojo Motto♥ The Animation                                                      - 6.27  - 2017 - 1 episode(s)       - 17 min.               - Hentai                                                                          - https://myanimelist.net/anime/36109
Boku no Pico                                                                                         - 4.99  - 2006 - 1 episode(s)       - 34 min.               - Hentai, Yaoi                                                                    - https://myanimelist.net/anime/1639
Boku wa Tomodachi ga Sukunai Episode 0                                                               - 6.83  - 2011 - 1 episode(s)       - 11 min.               - Slice of Life, Comedy, Romance, School                                          - https://myanimelist.net/anime/10897
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai                              - 7.20  - 2012 - 1 episode(s)       - 24 min.               - Harem, Slice of Life, Comedy, Romance, School                                   - https://myanimelist.net/anime/14027
Bonobono: Uchuu kara Kita Tomodachi                                                                  - 5.00  - 2017 - 1 episode(s)       - 22 min.               - Adventure, Comedy, Kids                                                         - https://myanimelist.net/anime/36964
Bouken Shounen Shadar                                                                                - 6.06  - 1967 - 156 episode(s)     - 10 min. per ep.       - Adventure, Horror                                                               - https://myanimelist.net/anime/8182
Bouken! Iczer 3                                                                                      - 5.97  - 1990 - 6 episode(s)       - 30 min. per ep.       - Action, Adventure, Sci-Fi                                                       - https://myanimelist.net/anime/2292
Break-Age                                                                                            - 5.51  - 1999 - 1 episode(s)       - 43 min.               - Sci-Fi, Mecha, Shounen                                                          - https://myanimelist.net/anime/6447
Brilliant Better                                                                                     - 5.50  - 2016 - 1 episode(s)       - 2 min.                - Music                                                                           - https://myanimelist.net/anime/36594
Buddy Complex: Daremo Shiranai Ashita e                                                              - 7.06  - 2014 - 1 episode(s)       - 1 hr. 34 min.         - Action, Mecha, Sci-Fi                                                           - https://myanimelist.net/anime/31105
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de                                             - 7.35  - 2014 - 2 episode(s)       - 26 min. per ep.       - Action, Mecha, Sci-Fi                                                           - https://myanimelist.net/anime/24469
Buddy Spirits                                                                                        - 5.26  - 2013 - 1 episode(s)       - 2 min.                - Action, Mecha                                                                   - https://myanimelist.net/anime/21107
Busou Shinki Moon Angel                                                                              - 6.64  - 2011 - 10 episode(s)      - 5 min. per ep.        - Action, Sci-Fi                                                                  - https://myanimelist.net/anime/11103
Byston Well Monogatari: Garzey no Tsubasa                                                            - 4.14  - 1996 - 3 episode(s)       - 30 min. per ep.       - Action, Fantasy                                                                 - https://myanimelist.net/anime/1657
Byulbyul Iyagi                                                                                       - 5.90  - 2005 - 6 episode(s)       - 12 min. per ep.       - Psychological, Drama                                                            - https://myanimelist.net/anime/7420
Candle                                                                                               - 5.38  - 2013 - 1 episode(s)       - 4 min.                - Music                                                                           - https://myanimelist.net/anime/35294
Captain Herlock                                                                                      - 7.49  - 2013 - 1 episode(s)       - 1 hr. 55 min.         - Action, Sci-Fi, Space, Drama                                                    - https://myanimelist.net/anime/17269
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma                               - 8.14  - 2017 - 1 episode(s)       - 26 min.               - Fantasy, Romance, Shoujo                                                        - https://myanimelist.net/anime/35320
Cardfight!! Vanguard Movie: Neon Messiah                                                             - 7.09  - 2014 - 1 episode(s)       - 1 hr. 12 min.         - Action, Adventure, Game, Demons, Shounen                                        - https://myanimelist.net/anime/23991
Celebration and Chorale                                                                              - 5.78  - 2012 - 1 episode(s)       - 5 min.                - Music                                                                           - https://myanimelist.net/anime/32345
Chain Chronicle: Short Animation                                                                     - 6.08  - 2014 - 8 episode(s)       - 5 min. per ep.        - Action, Adventure, Magic, Fantasy, Shounen                                      - https://myanimelist.net/anime/25431
Chi-Sui Maru Specials                                                                                - 5.33  - 2011 - 2 episode(s)       - 5 min. per ep.        - Comedy                                                                          - https://myanimelist.net/anime/11731
Chibikko Kamu no Bouken                                                                              - 6.40  - 1976 - 1 episode(s)       - 1 hr. 5 min.          - Adventure, Kids                                                                 - https://myanimelist.net/anime/24923
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni                                                 - 7.09  - 2013 - 1 episode(s)       - 22 min.               - Comedy, Josei, School, Slice of Life                                            - https://myanimelist.net/anime/18745
Chiisana Jumbo                                                                                       - 5.88  - 1977 - 1 episode(s)       - 28 min.               - Fantasy, Music, Kids                                                            - https://myanimelist.net/anime/7771
Chijoku Kankin                                                                                       - 5.67  - 2001 - 1 episode(s)       - 27 min.               - Hentai                                                                          - https://myanimelist.net/anime/4717
Chikansha Thomas                                                                                     - 6.12  - 2004 - 1 episode(s)       - 30 min.               - Hentai                                                                          - https://myanimelist.net/anime/3105
Choegang Top Plate                                                                                   - 6.35  - 2013 - 26 episode(s)      - Unknown               - Action, Kids, Sports, Comedy                                                    - https://myanimelist.net/anime/31211
Chotto Ugoku!? "Futeneko"                                                                            - 6.33  - 2012 - 1 episode(s)       - 40 min.               - Comedy                                                                          - https://myanimelist.net/anime/34259
Chou Kidougai-ku: Kashiwa-no-Ha                                                                      - 5.17  - 2015 - 1 episode(s)       - 1 min.                - Mecha                                                                           - https://myanimelist.net/anime/31749
Choujin Gakuen Gowcaizer: The Voltage Fighters                                                       - 5.10  - 1996 - 3 episode(s)       - 30 min. per ep.       - Action, Sci-Fi, Ecchi, Martial Arts, Shounen                                    - https://myanimelist.net/anime/1560
Choukou Tenshi Escalayer                                                                             - 6.65  - 2002 - 3 episode(s)       - 28 min. per ep.       - Demons, Hentai, Sci-Fi, Super Power                                             - https://myanimelist.net/anime/1780
Chuunibyou demo Koi ga Shitai! Lite                                                                  - 7.31  - 2012 - 6 episode(s)       - 6 min. per ep.        - Comedy, School                                                                  - https://myanimelist.net/anime/15687
