Title                                                                                               - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                           - Link
Aterui                                                                                              - 5.73  - 2002 - 1 episode(s)       - 1 hr. 55 min.         - Action, Fantasy, Historical                                                                        - https://myanimelist.net/anime/23523
Attack No.1: Namida no Sekai Senshuken                                                              - 6.37  - 1970 - 1 episode(s)       - 55 min.               - Sports, Drama, Shoujo                                                                              - https://myanimelist.net/anime/9166
Attack No.1                                                                                         - 6.83  - 1969 - 104 episode(s)     - 24 min. per ep.       - Drama, Shoujo, Sports                                                                              - https://myanimelist.net/anime/1550
Auction: Bijo Dorei                                                                                 - 5.34  - 2000 - 1 episode(s)       - 40 min.               - Hentai                                                                                             - https://myanimelist.net/anime/5558
Audition                                                                                            - 5.75  - 2009 - 1 episode(s)       - 1 hr. 36 min.         - Music                                                                                              - https://myanimelist.net/anime/31730
Ayakashi                                                                                            - 6.45  - 2007 - 12 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Horror, Fantasy                                                                    - https://myanimelist.net/anime/3166
Azuki-chan the Movie                                                                                - 6.13  - 1995 - 1 episode(s)       - 30 min.               - Comedy, Romance, Shoujo, Slice of Life                                                             - https://myanimelist.net/anime/6095
Azumanga Daioh: Gekijou Tanpen                                                                      - 7.09  - 2001 - 1 episode(s)       - 6 min.                - Comedy, School, Slice of Life                                                                      - https://myanimelist.net/anime/659
Azumanga Web Daioh                                                                                  - 6.77  - 2000 - 1 episode(s)       - 3 min.                - Comedy, School, Slice of Life                                                                      - https://myanimelist.net/anime/1593
Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai                                - 6.73  - 2009 - 1 episode(s)       - 4 min.                - Comedy, Romance                                                                                    - https://myanimelist.net/anime/7805
Baki                                                                                                - 6.19  - 2016 - 1 episode(s)       - 15 min.               - Action, Martial Arts, Shounen                                                                      - https://myanimelist.net/anime/33566
Bakuretsu Hunters OVA                                                                               - 6.66  - 1996 - 3 episode(s)       - 28 min. per ep.       - Action, Adventure, Harem, Comedy, Super Power, Magic, Romance, Ecchi, Fantasy, Shounen             - https://myanimelist.net/anime/808
Bakusou Kyoudai Let's & Go Special                                                                  - 6.47  - 1996 - 1 episode(s)       - 1 hr. 35 min.         - Adventure, Cars, Shounen, Sports                                                                   - https://myanimelist.net/anime/9857
Barom One                                                                                           - 5.45  - 2002 - 13 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Supernatural, Shounen                                                              - https://myanimelist.net/anime/1667
Battle Break                                                                                        - 5.64  - 2011 - 1 episode(s)       - 18 min.               - Action, Kids                                                                                       - https://myanimelist.net/anime/13041
Battle Royal High School                                                                            - 5.70  - 1987 - 1 episode(s)       - 59 min.               - Action, Horror, Super Power, Demons, Supernatural, Martial Arts                                    - https://myanimelist.net/anime/3625
Battle Spirits: Ryuuko no Ken                                                                       - 4.86  - 1993 - 1 episode(s)       - 49 min.               - Action, Comedy, Martial Arts, Shounen                                                              - https://myanimelist.net/anime/1009
Bavi Stock                                                                                          - 5.27  - 1985 - 2 episode(s)       - 45 min. per ep.       - Action, Sci-Fi, Adventure, Fantasy                                                                 - https://myanimelist.net/anime/10105
Be-Boy Kidnapp'n Idol                                                                               - 5.65  - 1989 - 1 episode(s)       - 26 min.               - Drama, Shounen Ai                                                                                  - https://myanimelist.net/anime/2220
Beanuts                                                                                             - 4.69  - 1997 - 2 episode(s)       - 5 min. per ep.        - Comedy, Kids                                                                                       - https://myanimelist.net/anime/29351
