Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                                                                                                       - Link
Atarashii Sekai                                                                                      - 6.57  - 2008 - 1 episode(s)       - 3 min.               - Music                                                                                                                                                          - https://myanimelist.net/anime/6533
Atashi Tenshi Anata Akuma                                                                            - 1.33  - 1995 - 2 episode(s)       - 30 min. per ep.      -                                                                                                                                                                - https://myanimelist.net/anime/35721
Attack No.1 (1970)                                                                                   - 6.36  - 1970 - 1 episode(s)       - 1 hr. 5 min.         - Sports, Drama, Shoujo                                                                                                                                          - https://myanimelist.net/anime/9163
Attack No.1: Namida no Fushichou                                                                     - 6.23  - 1971 - 1 episode(s)       - 1 hr.                - Sports, Drama, Shoujo                                                                                                                                          - https://myanimelist.net/anime/9164
Avengers Confidential: Black Widow to Punisher                                                       - 6.48  - 2014 - 1 episode(s)       - 1 hr. 22 min.        - Action, Sci-Fi, Seinen                                                                                                                                         - https://myanimelist.net/anime/25457
Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella                                                    - 3.83  - 2017 - 1 episode(s)       - 2 min.               - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/35002
B: The Beginning                                                                                     - 7.69  - 2018 - 12 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Mystery, Police, Psychological, Thriller                                                                                                       - https://myanimelist.net/anime/32827
Ba La La Xiao Mo Xian Zhi: Caihong Xin Shi                                                           - 6.14  - 2011 - 36 episode(s)      - 24 min. per ep.      - Comedy, Magic, Shoujo                                                                                                                                          - https://myanimelist.net/anime/30519
Babel Nisei (OVA)                                                                                    - 5.96  - 1992 - 4 episode(s)       - 29 min. per ep.      - Action, Sci-Fi, Mecha                                                                                                                                          - https://myanimelist.net/anime/1665
Backkom Meogeujan Yeohaeng                                                                           - 6.02  - 2007 - 1 episode(s)       - 1 hr. 16 min.        - Magic, Adventure, Comedy, Kids                                                                                                                                 - https://myanimelist.net/anime/25963
Bakukyuu Renpatsu! Super B-Daman Specials                                                            - 5.00  - 1999 - 2 episode(s)       - 40 min. per ep.      - Adventure, Game                                                                                                                                                - https://myanimelist.net/anime/34005
Bakuon!! OVA                                                                                         - 6.42  - 2016 - 2 episode(s)       - 23 min. per ep.      - Cars, Seinen, Slice of Life, Sports                                                                                                                            - https://myanimelist.net/anime/31883
Bakuretsu Tenshi: Infinity Special                                                                   - 6.89  - 2007 - 1 episode(s)       - 3 min.               - Action, Sci-Fi, Mecha                                                                                                                                          - https://myanimelist.net/anime/2212
